Date	Year	Team	Player	Notes
4/3/2018	2018	Knicks	Frank Ntilikina	returned to lineup
4/3/2018	2018	Magic	Jonathan Isaac	sprained left ankle (out for season)
4/3/2018	2018	Mavericks	Salah Mejri	returned to lineup
4/3/2018	2018	Nets	Isaiah Whitehead	surgery on right wrist (out for season)
4/3/2018	2018	Rockets	Trevor Ariza	rest (DTD)
4/3/2018	2018	Rockets	Chris Paul	returned to lineup
4/3/2018	2018	Suns	Alex Len	returned to lineup
4/4/2018	2018	Grizzlies	MarShon Brooks	returned to lineup
4/4/2018	2018	Hawks	Dewayne Dedmon	returned to lineup
4/4/2018	2018	Nets	DeMarre Carroll	strained left hip (out for season)
4/4/2018	2018	Pistons	James Ennis	returned to lineup
4/4/2018	2018	Rockets	Ryan Anderson	sprained left ankle (DTD)
4/4/2018	2018	Grizzlies	Chandler Parsons	returned to lineup
4/5/2018	2018	Cavaliers	Tyronn Lue	returned as head coach
4/5/2018	2018	Celtics	Kyrie Irving	surgery on left knee to remove 2 screws (out for season) (date approximate)
4/5/2018	2018	Grizzlies	Jarell Martin	left ankle injury (out for season)
4/5/2018	2018	Mavericks	Dirk Nowitzki	surgery on left ankle to remove loose debris (out for season)
4/5/2018	2018	Nets	Dante Cunningham	back injury (DTD)
4/5/2018	2018	Rockets	Trevor Ariza	returned to lineup
4/5/2018	2018	Suns	Alan Williams	sore right knee (out for season)
4/5/2018	2018	Timberwolves	Jeff Teague	returned to lineup
4/6/2018	2018	Magic	Aaron Gordon	sore right calf (DTD)
4/6/2018	2018	Magic	Nikola Vucevic	tightness in lower back (DTD)
4/6/2018	2018	Mavericks	Salah Mejri	rest / knee injury (out for season)
4/6/2018	2018	Pelicans	Ian Clark	sprained right ankle (DTD)
4/6/2018	2018	Suns	Troy Daniels	sprained right ankle (DTD)
4/6/2018	2018	Suns	Jared Dudley	returned to lineup
4/6/2018	2018	Wizards	Ian Mahinmi	concussion (DTD)
4/7/2018	2018	Bucks	Shabazz Muhammad	sprained right ankle (DTD)
4/7/2018	2018	Knicks	Tim Hardaway Jr.	sprained left ankle (out for season)
4/7/2018	2018	Nets	Dante Cunningham	returned to lineup
4/7/2018	2018	Rockets	Tarik Black	sore lower back (DTD)
4/8/2018	2018	Magic	Aaron Gordon	returned to lineup
4/8/2018	2018	Magic	Nikola Vucevic	returned to lineup
4/8/2018	2018	Suns	Josh Jackson	bruised right quadriceps (out for season)
4/8/2018	2018	Suns	Troy Daniels	returned to lineup
4/9/2018	2018	Bucks	Shabazz Muhammad	returned to lineup
4/9/2018	2018	Clippers	Austin Rivers	sore right elbow (out for season)
4/9/2018	2018	Clippers	Lou Williams	sprained right ankle (out for season)
4/9/2018	2018	Grizzlies	Marc Gasol	rest (DTD)
4/9/2018	2018	Hawks	Malcolm Delaney	arthroscopic surgery on left ankle (out for season)
4/9/2018	2018	Kings	Frank Mason	partially torn plantar fascia in left foot (out for season)
4/9/2018	2018	Nets	Joe Harris	sprained left ankle (out for season)
4/9/2018	2018	Pelicans	Ian Clark	returned to lineup
4/10/2018	2018	Mavericks	Doug McDermott	elbow injury (out for season)
4/10/2018	2018	Rockets	Luc Mbah a Moute	dislocated right shoulder (DTD)
4/10/2018	2018	Suns	Troy Daniels	sprained right ankle (DTD)
4/10/2018	2018	Thunder	Alex Abrines	concussion (DTD)
4/10/2018	2018	Wizards	Ian Mahinmi	returned to lineup
4/11/2018	2018	76ers	J.J. Redick	tightness in lower back (DTD)
4/11/2018	2018	Grizzlies	Marc Gasol	rest (DTD)
4/11/2018	2018	Knicks	Courtney Lee	sprained left ankle (out for season)
4/11/2018	2018	Pistons	Jameer Nelson	illness (out for season)
4/11/2018	2018	Rockets	Chris Paul	rest (DTD)
4/11/2018	2018	Rockets	Clint Capela	hand injury (DTD)
4/11/2018	2018	Rockets	Eric Gordon	ankle injury / rest (DTD)
4/11/2018	2018	Rockets	James Harden	rest (DTD)
4/12/2018	2018	Hawks	DeAndre' Bembry	fractured right wrist (out for season)
4/14/2018	2018	76ers	J.J. Redick	returned to lineup
4/15/2018	2018	Rockets	Chris Paul	returned to lineup
4/15/2018	2018	Rockets	Clint Capela	returned to lineup
4/15/2018	2018	Rockets	Eric Gordon	returned to lineup
4/18/2018	2018	Timberwolves	Justin Patton	surgery on left foot (out for season)
4/20/2018	2018	Pacers	Joe Young	illness (DTD)
4/22/2018	2018	Pacers	Joe Young	returned to lineup
4/23/2018	2018	Timberwolves	Tyus Jones	sore right knee (DTD)
4/25/2018	2018	Timberwolves	Tyus Jones	returned to lineup
4/26/2018	2018	Nuggets	Mason Plumlee	surgery to repair core muscle injury
4/27/2018	2018	Wizards	Otto Porter Jr.	surgery on left leg to remove blood around a contusion (out indefinitely)
4/30/2018	2018	Celtics	Jaylen Brown	strained right hamstring (DTD)
5/3/2018	2018	Celtics	Jaylen Brown	returned to lineup
5/7/2018	2018	Jazz	Dante Exum	strained left hamstring (out for season)
5/9/2018	2018	Celtics	Shane Larkin	sprained left shoulder (out for season)
5/9/2018	2018	Thunder	Paul George	arthroscopic surgery on right knee (out indefinitely)
5/22/2018	2018	Warriors	Andre Iguodala	bruised left leg (DTD)
5/25/2018	2018	Rockets	Chris Paul	strained right hamstring (out for season)
5/26/2018	2018	Cavaliers	Kevin Love	concussion (DTD)
5/31/2018	2018	Cavaliers	Kevin Love	returned to lineup
6/6/2018	2018	Warriors	Andre Iguodala	returned to lineup
7/4/2017	2017	Timberwolves	Justin Patton	surgery on left foot to repair fracture (out indefinitely)
7/25/2017	2017	Suns	Brandon Knight	torn ACL in left knee (out for season)
7/30/2017	2017	Clippers	Danilo Gallinari	fractured bone in right hand (out indefinitely)
8/8/2017	2017	Grizzlies	Ben McLemore	surgery on right foot to repair fracture (out indefinitely)
8/10/2017	2017	Thunder	Patrick Patterson	arthroscopic surgery on his left knee (out indefinitely)
8/28/2017	2017	Pelicans	Solomon Hill	surgery to repair torn left hamstring (out indefinitely)
9/1/2017	2017	Pelicans	Frank Jackson	fractured right foot (out for season)
9/6/2017	2017	Bulls	Cameron Payne	surgery to repair fractured right foot (out indefinitely)
9/13/2017	2017	Hawks	DeAndre' Bembry	strained right triceps (out indefinitely)
9/18/2017	2017	Raptors	Ogugua Anunoby	torn ACL in knee (out indefinitely)
9/22/2017	2017	Wizards	Markieff Morris	surgery to repair sports hernia (out indefinitely)
9/25/2017	2017	Suns	Alan Williams	surgery on right knee to repair torn meniscus (out indefinitely)
9/26/2017	2017	Cavaliers	Isaiah Thomas	right hip impingement (DTD)
9/30/2017	2017	Pacers	Glenn Robinson III	high ankle sprain (DTD)
9/30/2017	2017	Spurs	Kawhi Leonard	sore right quadriceps (out indefinitely)
10/5/2017	2017	Blazers	Noah Vonleh	strained right shoulder (DTD)
10/5/2017	2017	Hornets	Nicolas Batum	torn ligament in left elbow (out indefinitely)
10/6/2017	2017	Kings	Harry Giles	recovering from surgery / rehab of knees
10/7/2017	2017	Bulls	Kris Dunn	dislocated left index finger (out indefinitely)
10/7/2017	2017	Jazz	Dante Exum	separated left shoulder (out indefinitely)
10/7/2017	2017	Mavericks	Seth Curry	stress reaction in tibia in left leg (out for season)
10/8/2017	2017	76ers	Richaun Holmes	fractured wrist (out indefinitely)
10/9/2017	2017	Pelicans	Rajon Rondo	surgery to repair sports hernia (out indefinitely)
10/9/2017	2017	Wizards	Sheldon McClellan	torn Achilles tendon (out for season)
10/10/2017	2017	Wizards	Sheldon McClellan	surgery to repair torn left Achilles tendon (out indefinitely)
10/11/2017	2017	Hawks	Miles Plumlee	strained right quadriceps (DTD)
10/11/2017	2017	Hornets	Michael Carter-Williams	sore knees (DTD)
10/12/2017	2017	Heat	Rodney McGruder	surgery on lower left leg to repair stress fracture (out indefinitely) (date approximate)
10/12/2017	2017	Pelicans	Omer Asik	illness (DTD)
10/12/2017	2017	Suns	Davon Reed	surgery on left knee to repair torn meniscus (out indefinitely)
10/14/2017	2017	Pacers	Glenn Robinson III	surgery on left ankle (out indefinitely)
10/16/2017	2017	Jazz	Dante Exum	surgery to repair separated left shoulder (out indefinitely)
10/17/2017	2017	Bulls	Nikola Mirotic	fractured bones in face (out indefinitely)
10/17/2017	2017	Celtics	Gordon Hayward	fractured tibia in left leg and dislocated left ankle (out for season)
10/17/2017	2017	Kings	Bogdan Bogdanovic	sprained right ankle (DTD)
10/18/2017	2017	76ers	Jahlil Okafor	illness (DTD)
10/18/2017	2017	Blazers	Zach Collins	illness (DTD)
10/18/2017	2017	Bucks	Jabari Parker	placed on IL recovering from surgery on left knee to repair torn ACL
10/18/2017	2017	Celtics	Gordon Hayward	surgery on left ankle/leg to repair fractured tibia and dislocated ankle (out for season)
10/18/2017	2017	Nets	Jeremy Lin	ruptured patella tendon in right knee (out for season)
10/18/2017	2017	Pacers	Ike Anigbogu	knee injury (DTD)
10/18/2017	2017	Rockets	Chris Paul	bruised left knee (DTD)
10/19/2017	2017	Grizzlies	JaMychal Green	sprained left ankle (DTD)
10/19/2017	2017	Pacers	Myles Turner	sore neck (DTD)
10/20/2017	2017	Blazers	Zach Collins	returned to lineup
10/20/2017	2017	Cavaliers	Derrick Rose	sprained left ankle (DTD)
10/20/2017	2017	Heat	Hassan Whiteside	bruised left knee (DTD)
10/20/2017	2017	Hornets	Michael Carter-Williams	sore knee (DTD)
10/20/2017	2017	Pacers	Ike Anigbogu	returned to lineup
10/21/2017	2017	76ers	Jahlil Okafor	returned to lineup
10/21/2017	2017	Raptors	Jonas Valanciunas	sore/sprained left ankle (DTD)
10/22/2017	2017	Clippers	Milos Teodosic	plantar fascia in left foot (out indefinitely)
10/23/2017	2017	Bucks	Malcolm Brogdon	sprained left ankle (DTD)
10/23/2017	2017	Hawks	Ersan Ilyasova	strained left knee (DTD)
10/23/2017	2017	Kings	Bogdan Bogdanovic	returned to lineup
10/24/2017	2017	Blazers	C.J. Wilcox	right knee injury (out indefinitely)
10/24/2017	2017	Hawks	DeAndre' Bembry	surgery on right wrist to repair fracture
10/24/2017	2017	Rockets	Trevor Ariza	sprained left foot (DTD)
10/24/2017	2017	Spurs	Joffrey Lauvergne	sprained right ankle (DTD)
10/24/2017	2017	Timberwolves	Jimmy Butler	upper respiratory illness (DTD)
10/25/2017	2017	76ers	Markelle Fultz	sore right shoulder (DTD)
10/25/2017	2017	Blazers	Meyers Leonard	sore/sprained right ankle (DTD)
10/25/2017	2017	Cavaliers	Dwyane Wade	bruised left knee (DTD)
10/25/2017	2017	Grizzlies	Chandler Parsons	rest (DTD)
10/25/2017	2017	Raptors	Lucas Nogueira	sprained left ankle (DTD)
10/26/2017	2017	Bucks	Malcolm Brogdon	returned to lineup
10/26/2017	2017	Bulls	Paul Zipser	bruised right knee (DTD)
10/26/2017	2017	Mavericks	Dorian Finney-Smith	left knee tendinitis (DTD)
10/26/2017	2017	Pelicans	Anthony Davis	left knee tendinitis (DTD)
10/27/2017	2017	Hawks	Ersan Ilyasova	returned to lineup
10/27/2017	2017	Hornets	Treveon Graham	bruised right quadriceps (DTD)
10/27/2017	2017	Spurs	Joffrey Lauvergne	sprained right ankle (DTD)
10/28/2017	2017	76ers	J.J. Redick	tightness in lower back (DTD)
10/28/2017	2017	Bulls	Paul Zipser	returned to lineup
10/28/2017	2017	Cavaliers	Dwyane Wade	returned to lineup
10/28/2017	2017	Nets	Quincy Acy	strained left groin (DTD)
10/28/2017	2017	Pelicans	Anthony Davis	returned to lineup
10/29/2017	2017	Cavaliers	Iman Shumpert	sore right knee (DTD)
10/29/2017	2017	Hornets	Frank Kaminsky	illness (DTD)
10/29/2017	2017	Hornets	Cody Zeller	returned to lineup
10/29/2017	2017	Hornets	Treveon Graham	returned to lineup
10/30/2017	2017	Hornets	Frank Kaminsky	returned to lineup
10/30/2017	2017	Raptors	Serge Ibaka	swollen left / right knee (DTD)
10/30/2017	2017	Raptors	Lucas Nogueira	returned to lineup
10/30/2017	2017	Spurs	Manu Ginobili	rest (DTD)
10/31/2017	2017	Jazz	Joe Johnson	sore right wrist (DTD)
10/31/2017	2017	Nets	Jarrett Allen	strained left foot (DTD)
11/1/2017	2017	Grizzlies	Mike Conley Jr.	sore left Achilles (DTD)
11/1/2017	2017	Heat	James Johnson	tendinitis in right knee (DTD)
11/1/2017	2017	Pistons	Jon Leuer	sprained left ankle (DTD)
11/1/2017	2017	Raptors	Serge Ibaka	returned to lineup
11/2/2017	2017	Cavaliers	Tristan Thompson	strained left calf (out indefinitely)
11/2/2017	2017	Lakers	Andrew Bogut	tightness in back (DTD)
11/2/2017	2017	Magic	D.J. Augustine	strained left hamstring (DTD)
11/2/2017	2017	Spurs	Manu Ginobili	returned to lineup
11/3/2017	2017	Hawks	Malcolm Delaney	sprained right ankle (DTD)
11/3/2017	2017	Heat	James Johnson	returned to lineup
11/3/2017	2017	Lakers	Larry Nance Jr.	surgery on left hand/thumb to repair fracture (out indefinitley)
11/3/2017	2017	Nets	Trevor Booker	sore lower back (DTD)
11/4/2017	2017	Bulls	David Nwaba	sprained right ankle (DTD)
11/4/2017	2017	Grizzlies	Mike Conley Jr.	returned to lineup
11/4/2017	2017	Hawks	Mike Muscala	sprained left ankle (DTD)
11/4/2017	2017	Pacers	T.J. Leaf	sprained left ankle (DTD)
11/4/2017	2017	Grizzlies	Wayne Selden Jr.	right quadricep injury (DTD)
11/6/2017	2017	76ers	Jerryd Bayless	bruised left wrist (DTD)
11/6/2017	2017	Clippers	Danilo Gallinari	strained left gluteus muscle (DTD)
11/6/2017	2017	Hawks	Malcolm Delaney	returned to lineup
11/7/2017	2017	Grizzlies	Wayne Selden Jr.	right thigh injury (DTD)
11/7/2017	2017	Nets	Rondae Hollis-Jefferson	bruised right hip (DTD)
11/8/2017	2017	Suns	Tyson Chandler	back spasms (DTD)
11/9/2017	2017	Blazers	C.J. Wilcox	surgery on right knee (date approximate)
11/9/2017	2017	Clippers	Patrick Beverley	sore right knee (DTD)
11/9/2017	2017	Rockets	Luc Mbah a Moute	knee injury (DTD)
11/10/2017	2017	76ers	Nik Stauskas	sprained right ankle (DTD)
11/10/2017	2017	Hornets	Treveon Graham	bruised right quadriceps (DTD)
11/10/2017	2017	Nets	Trevor Booker	sore lower back (DTD)
11/10/2017	2017	Nets	Rondae Hollis-Jefferson	returned to lineup
11/11/2017	2017	Jazz	Rudy Gobert	bruised tibia in right leg (DTD)
11/11/2017	2017	Magic	Elfrid Payton	sore left hamstring (DTD)
11/11/2017	2017	Pelicans	Tony Allen	left knee inflammation (DTD)
11/11/2017	2017	Rockets	Luc Mbah a Moute	returned to lineup
11/11/2017	2017	Spurs	Manu Ginobili	rest (DTD)
11/11/2017	2017	Timberwolves	Cole Aldrich	sprained left ankle (DTD)
11/11/2017	2017	Timberwolves	Gorgui Dieng	sprained right index finger (DTD)
11/11/2017	2017	Grizzlies	Wayne Selden Jr.	returned to lineup
11/12/2017	2017	Magic	Jonathan Isaac	sprained right ankle (DTD)
11/12/2017	2017	Nets	D'Angelo Russell	bruised left knee (DTD)
11/12/2017	2017	Rockets	Nene Hilario	sore ankle (DTD)
11/12/2017	2017	Thunder	Carmelo Anthony	sore lower back (DTD)
11/13/2017	2017	Magic	Jonathan Isaac	sprained right ankle (DTD)
11/13/2017	2017	Knicks	Ron Baker	shoulder injury (DTD)
11/14/2017	2017	Heat	Okaro White	fractured left foot (out indefinitely)
11/14/2017	2017	Rockets	Nene Hilario	sprained right foot (DTD)
11/14/2017	2017	Spurs	Manu Ginobili	returned to lineup
11/15/2017	2017	Bucks	Matthew Dellavedova	left knee tendinitis (DTD)
11/15/2017	2017	Magic	Jonathan Isaac	sprained right ankle (DTD)
11/15/2017	2017	Thunder	Carmelo Anthony	returned to lineup
11/15/2017	2017	Timberwolves	Cole Aldrich	returned to lineup
11/16/2017	2017	Raptors	Delon Wright	dislocated right shoulder (out indefinitely)
11/16/2017	2017	Rockets	Nene Hilario	returned to lineup
11/17/2017	2017	76ers	Justin Anderson	shin splints in left leg (DTD)
11/17/2017	2017	Blazers	Meyers Leonard	returned to lineup
11/17/2017	2017	Grizzlies	Wayne Selden Jr.	right quadricep injury (DTD)
11/17/2017	2017	Jazz	Ricky Rubio	sore right Achilles (DTD)
11/17/2017	2017	Nets	D'Angelo Russell	arthroscopic surgery on left knee (out indefinitely)
11/17/2017	2017	Timberwolves	Gorgui Dieng	returned to lineup
11/17/2017	2017	Grizzlies	Ivan Rabb	concussion (DTD)
11/18/2017	2017	Cavaliers	Iman Shumpert	left knee injury (DTD)
11/18/2017	2017	Jazz	Ricky Rubio	returned to lineup
11/18/2017	2017	Hawks	Mike Muscala	sprained left ankle (DTD)
11/19/2017	2017	Grizzlies	Brandan Wright	right groin injury (DTD)
11/19/2017	2017	Nuggets	Paul Millsap	sore left wrist (DTD)
11/19/2017	2017	Warriors	Kevin Durant	sprained left ankle (DTD)
11/19/2017	2017	Wizards	John Wall (a)	sore left knee / left knee inflammation (DTD)
11/20/2017	2017	76ers	Richaun Holmes	illness (DTD)
11/20/2017	2017	76ers	Jerryd Bayless	returned to lineup
11/20/2017	2017	Clippers	Patrick Beverley	returned to lineup
11/20/2017	2017	Pelicans	Tony Allen	returned to lineup
11/20/2017	2017	Wizards	John Wall (a)	returned to lineup
11/21/2017	2017	Bucks	John Henson	eye injury (DTD)
11/21/2017	2017	Bucks	Mirza Teletovic	arthroscopic surgery on left knee to repair torn cartilage (out indefinitely)
11/21/2017	2017	Hawks	Luke Babbitt	lower back spasms (DTD)
11/22/2017	2017	76ers	Richaun Holmes	returned to lineup
11/22/2017	2017	Bucks	Giannis Antetokounmpo	sore right knee (DTD)
11/22/2017	2017	Nets	Trevor Booker	sprained left ankle (DTD)
11/22/2017	2017	Rockets	Eric Gordon	tightness in right calf (DTD)
11/22/2017	2017	Clippers	Patrick Beverley	arthroscopic surgery on right knee to repair lateral meniscus (out for season)
11/24/2017	2017	76ers	Ben Simmons	left elbow injury (DTD)
11/24/2017	2017	Celtics	Shane Larkin	undisclosed injury (DTD)
11/24/2017	2017	Hornets	Nicolas Batum	ulnar nerve contusion (DTD)
11/24/2017	2017	Nets	Trevor Booker	returned to lineup
11/24/2017	2017	Timberwolves	Jeff Teague	sore right Achilles (DTD)
11/24/2017	2017	Grizzlies	Ivan Rabb	returned to lineup
11/25/2017	2017	Bucks	Giannis Antetokounmpo	returned to lineup
11/25/2017	2017	Celtics	Shane Larkin	returned to lineup
11/25/2017	2017	Hornets	Nicolas Batum	returned to lineup
11/25/2017	2017	Knicks	Kristaps Porzingis	tightness in lower back (DTD)
11/25/2017	2017	Knicks	Ron Baker	returned to lineup
11/25/2017	2017	Rockets	Eric Gordon	returned to lineup
11/26/2017	2017	Nets	Allen Crabbe	sore lower back (DTD)
11/26/2017	2017	Nets	Trevor Booker	right big toe inflammation (DTD)
11/26/2017	2017	Rockets	Nene Hilario	strained right shoulder (DTD)
11/26/2017	2017	Suns	Devin Booker	right big toe injury (DTD)
11/27/2017	2017	76ers	Ben Simmons	returned to lineup
11/27/2017	2017	Hornets	Kemba Walker	sore left shoulder (DTD)
11/27/2017	2017	Knicks	Kristaps Porzingis	returned to lineup
11/27/2017	2017	Mavericks	Nerlens Noel	thumb injury (DTD)
11/27/2017	2017	Nets	DeMarre Carroll	illness (DTD)
11/27/2017	2017	Nuggets	Paul Millsap	surgery on left wrist (out indefinitely)
11/27/2017	2017	Spurs	Rudy Gay	sore right heel (DTD)
11/28/2017	2017	Clippers	Blake Griffin	sprained MCL in left knee (out indefinitely)
11/28/2017	2017	Jazz	Rodney Hood	sore left ankle (DTD)
11/28/2017	2017	Suns	Devin Booker	returned to lineup
11/29/2017	2017	Grizzlies	Chandler Parsons	sore right knee (DTD)
11/29/2017	2017	Hawks	Dewayne Dedmon	stress reaction in left tibia (DTD)
11/29/2017	2017	Heat	Hassan Whiteside	bone bruise in left knee (DTD)
11/29/2017	2017	Knicks	Kristaps Porzingis	sore ankle (DTD)
11/29/2017	2017	Nets	DeMarre Carroll	returned to lineup
11/29/2017	2017	Raptors	Lucas Nogueira	strained right calf (DTD)
11/29/2017	2017	Rockets	Zhou Qi	sore left calf (DTD)
11/29/2017	2017	Rockets	Nene Hilario	returned to lineup
11/29/2017	2017	Spurs	Rudy Gay	returned to lineup
11/30/2017	2017	Magic	Terrence Ross	sprained MCL in right knee and fractured right leg (out indefinitely)
11/30/2017	2017	Nuggets	Nikola Jokic	sprained left ankle (DTD)
12/1/2017	2017	Bulls	Bobby Portis	right arm injury (DTD)
12/1/2017	2017	Cavaliers	Iman Shumpert	arthroscopic surgery on left knee (out indefinitely)
12/1/2017	2017	Grizzlies	Chandler Parsons	returned to lineup
12/1/2017	2017	Mavericks	Nerlens Noel	surgery on thumb (out indefinitely)
12/1/2017	2017	Timberwolves	Jeff Teague	returned to lineup
12/2/2017	2017	Hawks	John Collins (b)	left shoulder injury (out indefinitely)
12/2/2017	2017	Kings	Willie Cauley-Stein	sore back (DTD)
12/2/2017	2017	Nets	Allen Crabbe	returned to lineup
12/2/2017	2017	Pelicans	Anthony Davis	strained adductor in left groin/pelvis (DTD)
12/2/2017	2017	Rockets	Troy Williams	sprained MCL in right knee (DTD)
12/2/2017	2017	Suns	Alex Len	ankle injury (DTD)
12/3/2017	2017	Spurs	Manu Ginobili	rest (DTD)
12/3/2017	2017	Spurs	LaMarcus Aldridge	rest (DTD)
12/4/2017	2017	Bulls	Bobby Portis	returned to lineup
12/4/2017	2017	Spurs	Joffrey Lauvergne	finger injury (DTD)
12/4/2017	2017	Spurs	Manu Ginobili	returned to lineup
12/4/2017	2017	Spurs	LaMarcus Aldridge	returned to lineup
12/4/2017	2017	Suns	Alex Len	returned to lineup
12/4/2017	2017	Warriors	Zaza Pachulia	sore left shoulder (DTD)
12/5/2017	2017	Jazz	Raul Neto	sore right foot (DTD)
12/5/2017	2017	Kings	Willie Cauley-Stein	strained lower back (DTD)
12/5/2017	2017	Warriors	Patrick McCaw	bruised nose (DTD)
12/5/2017	2017	Warriors	Stephen Curry	sprained right ankle (DTD)
12/5/2017	2017	Wizards	Jason Smith	knee injury (DTD)
12/6/2017	2017	Bucks	Jason Terry	strained left calf (DTD)
12/6/2017	2017	Celtics	Marcus Morris	left knee injury (DTD)
12/6/2017	2017	Hornets	Steve Clifford	took leave of absense as head coach with heath issue
12/6/2017	2017	Suns	Devin Booker	strained adductor in left groin (out indefinitely)
12/6/2017	2017	Warriors	Patrick McCaw	concussion (DTD)
12/6/2017	2017	Warriors	Zaza Pachulia	returned to lineup
12/7/2017	2017	76ers	Dario Saric	eye injury (DTD)
12/7/2017	2017	Hornets	Cody Zeller	torn meniscus in left knee (out indefinitely)
12/7/2017	2017	Hornets	Frank Kaminsky	sprained right ankle (DTD)
12/7/2017	2017	Jazz	Raul Neto	returned to lineup
12/7/2017	2017	Magic	Evan Fournier	sprained right ankle (DTD)
12/7/2017	2017	Pelicans	Alexis Ajinca	surgery on right knee (out indefinitely)
12/7/2017	2017	Rockets	Nene Hilario	scratched cornea (DTD)
12/7/2017	2017	Jazz	Rodney Hood	sore left ankle (DTD)
12/8/2017	2017	Blazers	Jusuf Nurkic	sprained right ankle (DTD)
12/8/2017	2017	Bucks	Tony Snell	patella tendinitis in left knee (DTD)
12/8/2017	2017	Celtics	Marcus Morris	returned to lineup
12/8/2017	2017	Pelicans	Rajon Rondo	rest (DTD)
12/8/2017	2017	Pelicans	Anthony Davis	returned to lineup
12/8/2017	2017	Warriors	Zaza Pachulia	sore left shoulder (DTD)
12/9/2017	2017	76ers	T.J. McConnell	left shoulder injury (DTD)
12/9/2017	2017	76ers	Dario Saric	returned to lineup
12/9/2017	2017	Cavaliers	Kevin Love	sore left hip (DTD)
12/9/2017	2017	Grizzlies	Chandler Parsons	rest (DTD)
12/9/2017	2017	Magic	Aaron Gordon	concussion (DTD)
12/9/2017	2017	Nets	Joe Harris	illness (DTD)
12/9/2017	2017	Nets	Yakuba Ouattara	sore left leg (DTD)
12/9/2017	2017	Rockets	Nene Hilario	returned to lineup
12/9/2017	2017	Spurs	Danny Green	tightness in left groin (DTD)
12/9/2017	2017	Spurs	Joffrey Lauvergne	returned to lineup
12/10/2017	2017	76ers	Joel Embiid	back injury (DTD)
12/10/2017	2017	Celtics	Marcus Morris	rehab of left knee (DTD)
12/10/2017	2017	Pacers	Darren Collison	sore left knee (DTD)
12/10/2017	2017	Pelicans	Jameer Nelson	left ankle injury (DTD)
12/10/2017	2017	Pelicans	Rajon Rondo	returned to lineup
12/11/2017	2017	Bulls	Lauri Markkanen	back spasms / sore lower back (DTD)
12/11/2017	2017	Grizzlies	Chandler Parsons	returned to lineup
12/11/2017	2017	Jazz	Raul Neto	concussion (DTD)
12/11/2017	2017	Pelicans	Anthony Davis	strained adductor in left groin/pelvis (DTD)
12/11/2017	2017	Pelicans	Dante Cunningham	right knee injury (DTD)
12/12/2017	2017	Cavaliers	Dwyane Wade	sore left knee (DTD)
12/12/2017	2017	Cavaliers	Kevin Love	returned to lineup
12/12/2017	2017	Nets	Joe Harris	returned to lineup
12/12/2017	2017	Spurs	Danny Green	returned to lineup
12/12/2017	2017	Wizards	Ian Mahinmi	sore right knee (DTD)
12/12/2017	2017	Wizards	Jason Smith	returned to lineup
12/13/2017	2017	Blazers	Meyers Leonard	illness (DTD)
12/13/2017	2017	Bulls	Lauri Markkanen	back spasms (DTD)
12/13/2017	2017	Grizzlies	Tyreke Evans	sore right hip (DTD)
12/13/2017	2017	Heat	Tyler Johnson	migraine headache (DTD)
12/13/2017	2017	Jazz	Rodney Hood	returned to lineup
12/13/2017	2017	Magic	Arron Afflalo	back spasms (DTD)
12/13/2017	2017	Pacers	Darren Collison	returned to lineup
12/13/2017	2017	Pelicans	Anthony Davis	returned to lineup
12/13/2017	2017	Pelicans	Dante Cunningham	returned to lineup
12/13/2017	2017	Wizards	Markieff Morris	sore right hip (DTD)
12/14/2017	2017	Blazers	Meyers Leonard	returned to lineup
12/14/2017	2017	Bucks	Mirza Teletovic	pulmonary embolism (out indefinitely)
12/14/2017	2017	Cavaliers	Tristan Thompson	strained left calf (DTD)
12/14/2017	2017	Cavaliers	Dwyane Wade	returned to lineup
12/14/2017	2017	Warriors	Nick Young	concussion (DTD)
12/15/2017	2017	Cavaliers	John Holland	left shoulder subluxation (out) indefinitely
12/15/2017	2017	Heat	Justise Winslow	strained left knee (DTD)
12/15/2017	2017	Heat	Tyler Johnson	returned to lineup
12/15/2017	2017	Nets	Allen Crabbe	sore left ankle / knee (DTD)
12/15/2017	2017	Nets	DeMarre Carroll	rest (DTD)
12/15/2017	2017	Pistons	Avery Bradley	strained right adductor (DTD)
12/15/2017	2017	Raptors	C.J. Miles	sore left shoulder (DTD)
12/15/2017	2017	Wizards	Ian Mahinmi	returned to lineup
12/15/2017	2017	Wizards	Markieff Morris	returned to lineup
12/15/2017	2017	Hornets	Julyan Stone	hamstring injury (DTD)
12/16/2017	2017	Cavaliers	Tristan Thompson	returned to lineup
12/16/2017	2017	Grizzlies	Chandler Parsons	rest (DTD)
12/16/2017	2017	Jazz	Derrick Favors	eye laceration (DTD)
12/16/2017	2017	Jazz	Rudy Gobert	sprained left knee (DTD)
12/16/2017	2017	Magic	Aaron Gordon	strained right calf (DTD)
12/16/2017	2017	Rockets	Clint Capela	bruised left heel (DTD)
12/16/2017	2017	Spurs	Danny Green	tightness in left groin (DTD)
12/17/2017	2017	76ers	Joel Embiid	back injury (DTD)
12/17/2017	2017	76ers	Trevor Booker	sprained left ankle (DTD)
12/17/2017	2017	Heat	James Johnson	right ankle injury (DTD)
12/17/2017	2017	Kings	De'Aaron Fox	bruised right quadriceps (DTD)
12/17/2017	2017	Nets	Allen Crabbe	returned to lineup
12/17/2017	2017	Nets	DeMarre Carroll	returned to lineup
