,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS,hr,min,sec,TIMES
250,Hoffman Mike,FLA,82.0,36,34,70,-24,17:50,1740,21.2,20:53, LW,17.0,50.0,,1394.0
251,Schmaltz Nick,CHI/ARI,40.0,7,18,25,-12,17:50,847,21.2,28:31:00, C,17.0,50.0,,680.0
252,Mantha Anthony,DET,67.0,25,23,48,-8,17:50,1436,21.4,24:53:00, RW,17.0,50.0,,1139.0
253,Girardi Dan,TB,62.0,4,12,16,6,17:48,1371,22.1,68:58:00, D,17.0,48.0,,1054.0
254,Danault Phillip,MTL,81.0,12,41,53,17,17:47,2017,24.9,27:10:00, C,17.0,47.0,,1377.0
255,Mete Victor,MTL,71.0,0,13,13,17,17:46,1650,23.2,97:04:00, D,17.0,46.0,,1207.0
256,Miller Kevan,BOS,39.0,0,7,7,8,17:45,919,23.6,98:52:00, D,17.0,45.0,,663.0
257,Dillon Brenden,SJ,82.0,1,21,22,19,17:45,1792,21.9,66:08:00, D,17.0,45.0,,1394.0
258,Dubois Pierre-Luc,CBJ,82.0,27,34,61,16,17:43,1820,22.2,23:48, C,17.0,43.0,,1394.0
259,Clifton Connor,BOS,19.0,0,1,1,5,17:42,454,23.9,336:24:00, D,17.0,42.0,,323.0
260,Foligno Nick,CBJ,73.0,17,18,35,12,17:42,1618,22.2,36:55:00, LW,17.0,42.0,,1241.0
261,DeBrincat Alex,CHI,82.0,41,35,76,0,17:42,1666,20.3,19:05, RW,17.0,42.0,,1394.0
262,Saad Brandon,CHI,80.0,23,24,47,-9,17:41,1863,23.3,30:06:00, LW,17.0,41.0,,1360.0
263,Nutivaara Markus,CBJ,80.0,5,16,21,3,17:41,1846,23.1,67:21:00, D,17.0,41.0,,1360.0
264,Krejci David,BOS,81.0,20,53,73,7,17:41,1699,21.0,19:36, C,17.0,41.0,,1377.0
265,Biega Alex,VAN,41.0,2,14,16,0,17:40,991,24.2,45:16:00, D,17.0,40.0,,697.0
266,Harpur Ben,OTT,51.0,1,4,5,-13,17:37,1176,23.1,179:43:00, D,17.0,37.0,,867.0
267,Scandella Marco,BUF,63.0,6,7,13,-13,17:37,1410,22.4,85:20:00, D,17.0,37.0,,1071.0
268,Tkachuk Matthew,CGY,80.0,34,43,77,14,17:36,1696,21.2,18:17, LW,17.0,36.0,,1360.0
269,Dunn Vince,STL,78.0,12,23,35,14,17:32,1820,23.3,39:04:00, D,17.0,32.0,,1326.0
270,Nyquist Gustav,DET/SJ,81.0,22,38,60,1,17:31,1818,22.4,23:39, C,17.0,31.0,,1377.0
271,Compher J.T.,COL,66.0,16,16,32,-8,17:29,1441,21.8,36:02:00, LW,17.0,29.0,,1122.0
272,Sutter Brandon,VAN,26.0,4,2,6,-12,17:28,676,26.0,75:41:00, C,17.0,28.0,,442.0
273,Soderberg Carl,COL,82.0,23,26,49,-5,17:27,1858,22.7,29:12:00, C,17.0,27.0,,1394.0
274,Williams Justin,CAR,82.0,23,30,53,-4,17:27,1814,22.1,26:59:00, RW,17.0,27.0,,1394.0
275,Pilut Lawrence,BUF,33.0,1,5,6,-8,17:25,714,21.6,95:48:00, D,17.0,25.0,,561.0
276,Kreider Chris,NYR,79.0,28,24,52,4,17:24,1783,22.6,26:26:00, LW,17.0,24.0,,1343.0
277,Domi Max,MTL,82.0,28,44,72,20,17:23,1751,21.4,19:47, C,17.0,23.0,,1394.0
278,Wolanin Christian,OTT,30.0,4,8,12,3,17:20,673,22.4,43:18:00, D,17.0,20.0,,510.0
279,Dermott Travis,TOR,64.0,4,13,17,-5,17:18,1453,22.7,65:09:00, D,17.0,18.0,,1088.0
280,Alzner Karl,MTL,9.0,0,1,1,1,17:18,215,23.9,155:42:00, D,17.0,18.0,,153.0
281,Hyman Zach,TOR,71.0,21,20,41,16,17:17,1700,23.9,29:55:00, C,17.0,17.0,,1207.0
282,Claesson Fredrik,NYR,37.0,2,4,6,3,17:15,837,22.6,106:21:00, D,17.0,15.0,,629.0
283,Laine Patrik,WPG,82.0,30,20,50,-24,17:14,1620,19.8,28:15:00, RW,17.0,14.0,,1394.0
284,Ericsson Jonathan,DET,52.0,3,2,5,-10,17:13,1235,23.8,179:05:00, D,17.0,13.0,,884.0
285,Toffoli Tyler,LA,82.0,13,21,34,-16,17:13,1902,23.2,41:30:00, RW,17.0,13.0,,1394.0
286,Chelios Jake,DET,5.0,0,0,0,0,17:12,102,20.4,0:00, D,17.0,12.0,,85.0
287,Zadorov Nikita,COL,70.0,7,7,14,19,17:12,1487,21.2,86:01:00, D,17.0,12.0,,1190.0
288,Pouliot Derrick,VAN,62.0,3,9,12,-1,17:10,1403,22.6,88:39:00, D,17.0,10.0,,1054.0
289,Roy Matt,LA,25.0,2,4,6,-1,17:08,545,21.8,71:22:00, LW,17.0,8.0,,425.0
290,Pateryn Greg,MIN,80.0,1,6,7,-11,17:07,1675,20.9,195:39:00, D,17.0,7.0,,1360.0
291,Juulsen Noah,MTL,21.0,1,4,5,5,17:07,506,24.1,71:53:00, D,17.0,7.0,,357.0
292,Larsson Jacob,ANA,49.0,0,5,5,-4,17:07,1163,23.7,167:43:00, D,17.0,7.0,,833.0
293,Silfverberg Jakob,ANA,73.0,24,19,43,-9,17:06,1639,22.5,29:01:00, LW,17.0,6.0,,1241.0
294,Perron David,STL,57.0,23,23,46,3,17:06,1189,20.9,21:11, LW,17.0,6.0,,969.0
295,Lee Anders,NYI,82.0,28,23,51,20,17:05,1664,20.3,27:28:00, LW,17.0,5.0,,1394.0
296,Lovejoy Ben,DAL/NJ,71.0,2,7,9,-1,17:05,1608,22.6,134:47:00, D,17.0,5.0,,1207.0
297,Forsling Gustav,CHI,43.0,3,6,9,-9,17:05,994,23.1,81:37:00, D,17.0,5.0,,731.0
298,Zucker Jason,MIN,81.0,21,21,42,-9,17:05,1635,20.2,32:56:00, LW,17.0,5.0,,1377.0
299,Jenner Boone,CBJ,77.0,16,22,38,6,17:04,1705,22.1,34:34:00, C,17.0,4.0,,1309.0
300,Tierney Chris,OTT,81.0,9,39,48,-22,17:02,1737,21.4,28:44:00, C,17.0,2.0,,1377.0
301,Zotto Del Michael,STL/VAN/ANA,42.0,1,9,10,-2,17:02,925,22.0,71:31:00, D,17.0,2.0,,714.0
302,Anderson Josh,CBJ,82.0,27,20,47,25,17:01,1814,22.1,29:42:00, RW,17.0,1.0,,1394.0
303,Coleman Blake,NJ,78.0,22,14,36,-19,17:01,1656,21.2,36:51:00, C,17.0,1.0,,1326.0
304,Ouellet Xavier,MTL,19.0,0,3,3,-3,17:01,407,21.4,107:44:00, D,17.0,1.0,,323.0
305,Pacioretty Max,VGS,66.0,22,18,40,-13,17:00,1214,18.4,28:03:00, LW,17.0,0.0,,1122.0
306,Athanasiou Andreas,DET,76.0,30,24,54,-9,16:58,1677,22.1,23:53, C,16.0,58.0,,1216.0
307,Meier Timo,SJ,78.0,30,36,66,9,16:58,1730,22.2,20:03, RW,16.0,58.0,,1248.0
308,Chiasson Alex,EDM,73.0,22,16,38,-1,16:58,1572,21.5,32:36:00, RW,16.0,58.0,,1168.0
309,Weegar Mackenzie,FLA,64.0,4,11,15,-3,16:58,1471,23.0,72:23:00, D,16.0,58.0,,1024.0
310,Hagg Robert,PHI,82.0,5,15,20,-3,16:57,1893,23.1,69:28:00, D,16.0,57.0,,1312.0
311,Methot Marc,DAL,9.0,0,0,0,-3,16:56,228,25.3,0:00, D,16.0,56.0,,144.0
312,Drouin Jonathan,MTL,81.0,18,35,53,-8,16:56,1706,21.1,25:52:00, C,16.0,56.0,,1296.0
313,Iafallo Alex,LA,82.0,15,18,33,-17,16:50,1817,22.2,41:49:00, C,16.0,50.0,,1312.0
314,Bailey Josh,NYI,82.0,16,40,56,8,16:50,1638,20.0,24:38:00, LW,16.0,50.0,,1312.0
315,Dzingel Ryan,OTT/CBJ,78.0,26,30,56,-9,16:49,1583,20.3,23:25, LW,16.0,49.0,,1248.0
316,Carrick Connor,DAL/NJ,34.0,2,9,11,-13,16:48,718,21.1,51:55:00, D,16.0,48.0,,544.0
317,Coyle Charlie,BOS/MIN,81.0,12,22,34,-1,16:47,1676,20.7,39:58:00, C,16.0,47.0,,1296.0
318,Tuch Alex,VGS,74.0,20,32,52,13,16:44,1344,18.2,23:48, RW,16.0,44.0,,1184.0
319,Rosen Calle,TOR,4.0,1,0,1,-3,16:42,101,25.3,66:49:00, D,16.0,42.0,,64.0
320,Riikola Juuso,PIT,37.0,2,3,5,3,16:41,856,23.1,123:28:00, D,16.0,41.0,,592.0
321,Pettersson Marcus,PIT/ANA,84.0,2,23,25,17,16:41,1961,23.3,56:03:00, D,16.0,41.0,,1344.0
322,Nielsen Frans,DET,72.0,10,25,35,-7,16:41,1641,22.8,34:18:00, C,16.0,41.0,,1152.0
323,Santini Steven,NJ,39.0,1,3,4,-6,16:39,837,21.5,162:24:00, D,16.0,39.0,,624.0
324,Kapanen Kasperi,TOR,78.0,20,24,44,12,16:37,1805,23.1,29:26:00, RW,16.0,37.0,,1248.0
325,Panik Richard,ARI,75.0,14,19,33,-3,16:37,1730,23.1,37:44:00, RW,16.0,37.0,,1200.0
326,Riemsdyk van James,PHI,66.0,27,21,48,-10,16:36,1342,20.3,22:49, LW,16.0,36.0,,1056.0
327,Haula Erik,VGS,15.0,2,5,7,1,16:35,289,19.3,35:32:00, LW,16.0,35.0,,240.0
328,Borgen Will,BUF,4.0,0,0,0,-5,16:33,91,22.8,0:00, D,16.0,33.0,,64.0
329,Eller Lars,WSH,81.0,13,23,36,-1,16:32,1576,19.5,37:12:00, C,16.0,32.0,,1296.0
330,Hajek Libor,NYR,5.0,1,0,1,1,16:32,107,21.4,82:39:00, D,16.0,32.0,,80.0
331,Eberle Jordan,NYI,78.0,19,18,37,-6,16:32,1514,19.4,34:50:00, RW,16.0,32.0,,1248.0
332,Petrovic Alex,EDM/FLA,35.0,0,2,2,-15,16:32,785,22.4,289:12:00, D,16.0,32.0,,560.0
333,Bertuzzi Tyler,DET,73.0,21,26,47,11,16:31,1547,21.2,25:39:00, LW,16.0,31.0,,1168.0
334,Kesler Ryan,ANA,60.0,5,3,8,-19,16:30,1358,22.6,123:44:00, C,16.0,30.0,,960.0
335,Sekera Andrej,EDM,24.0,0,4,4,3,16:29,548,22.8,98:56:00, D,16.0,29.0,,384.0
336,Nemeth Patrik,COL,74.0,1,9,10,5,16:29,1528,20.6,122:00:00, D,16.0,29.0,,1184.0
337,Henrique Adam,ANA,82.0,18,24,42,-5,16:27,1772,21.6,32:07:00, C,16.0,27.0,,1312.0
338,Faksa Radek,DAL,81.0,15,15,30,-3,16:26,1953,24.1,44:21:00, C,16.0,26.0,,1296.0
339,Tatar Tomas,MTL,80.0,25,33,58,21,16:25,1737,21.7,22:38, LW,16.0,25.0,,1280.0
340,Gallagher Brendan,MTL,82.0,33,19,52,10,16:24,1775,21.6,25:51:00, RW,16.0,24.0,,1312.0
341,MacDonald Andrew,PHI,47.0,0,9,9,-5,16:24,1014,21.6,85:36:00, D,16.0,24.0,,752.0
342,Smith Zack,OTT,70.0,9,19,28,-6,16:21,1513,21.6,40:52:00, C,16.0,21.0,,1120.0
343,Bozak Tyler,STL,72.0,13,25,38,-3,16:21,1534,21.3,30:58:00, C,16.0,21.0,,1152.0
344,Marleau Patrick,TOR,82.0,16,21,37,-6,16:21,1774,21.6,36:13:00, C,16.0,21.0,,1312.0
345,Anisimov Artem,CHI,78.0,15,22,37,-2,16:21,1611,20.7,34:27:00, C,16.0,21.0,,1248.0
346,Bonino Nick,NSH,81.0,17,18,35,27,16:18,1873,23.1,37:44:00, C,16.0,18.0,,1296.0
347,Ruhwedel Chad,PIT,18.0,1,1,2,-9,16:17,401,22.3,146:29:00, D,16.0,17.0,,288.0
348,Kovalchuk Ilya,LA,64.0,16,18,34,-26,16:14,1263,19.7,30:33:00, LW,16.0,14.0,,1024.0
349,Niederreiter Nino,CAR/MIN,82.0,23,30,53,-4,16:14,1637,20.0,25:06:00, RW,16.0,14.0,,1312.0
350,White Colin,OTT,71.0,14,27,41,-24,16:12,1455,20.5,28:03:00, C,16.0,12.0,,1136.0
351,Kadri Nazem,TOR,73.0,16,28,44,-2,16:11,1499,20.5,26:51:00, C,16.0,11.0,,1168.0
352,DeBrusk Jake,BOS,68.0,27,15,42,2,16:10,1319,19.4,26:10:00, LW,16.0,10.0,,1088.0
353,Strome Dylan,CHI/ARI,78.0,20,37,57,-8,16:09,1511,19.4,22:06, C,16.0,9.0,,1248.0
354,Coburn Braydon,TB,74.0,4,19,23,4,16:07,1504,20.3,51:50:00, D,16.0,7.0,,1184.0
355,Zacha Pavel,NJ,61.0,13,12,25,-6,16:05,1224,20.1,39:14:00, C,16.0,5.0,,976.0
356,Gilmour John,NYR,5.0,0,0,0,-3,16:05,106,21.2,0:00, D,16.0,5.0,,80.0
357,Capobianco Kyle,ARI,2.0,0,0,0,-2,16:05,38,19.0,0:00, D,16.0,5.0,,32.0
358,Holzer Korbinian,ANA,22.0,1,3,4,5,16:04,523,23.8,88:22:00, D,16.0,4.0,,352.0
359,Vesey Jimmy,NYR,81.0,17,18,35,-6,16:03,1681,20.8,37:09:00, LW,16.0,3.0,,1296.0
360,Hamhuis Dan,NSH,57.0,0,5,5,-2,16:03,1197,21.0,182:56:00, D,16.0,3.0,,912.0
361,Sissons Colton,NSH,75.0,15,15,30,20,16:03,1652,22.0,40:06:00, C,16.0,3.0,,1200.0
362,Welinski Andy,ANA,26.0,1,3,4,-5,16:02,551,21.2,104:15:00, D,16.0,2.0,,416.0
363,Andersson Rasmus,CGY,79.0,2,17,19,17,16:02,1639,20.7,66:41:00, D,16.0,2.0,,1264.0
364,Tkachuk Brady,OTT,71.0,22,23,45,-10,16:01,1442,20.3,25:17:00, LW,16.0,1.0,,1136.0
365,Fantenberg Oscar,CGY/LA,61.0,2,2,4,3,16:00,1295,21.2,244:00:00, D,16.0,0.0,,976.0
366,Richardson Brad,ARI,66.0,19,8,27,6,15:58,1549,23.5,39:01:00, C,15.0,58.0,,990.0
367,Johnson Tyler,TB,80.0,29,18,47,15,15:57,1650,20.6,27:08:00, C,15.0,57.0,,1200.0
368,Stone Michael,CGY,14.0,0,5,5,0,15:56,303,21.6,44:37:00, D,15.0,56.0,,210.0
369,Gunnarsson Carl,STL,25.0,3,4,7,8,15:56,568,22.7,56:53:00, D,15.0,56.0,,375.0
370,Johansson Marcus,BOS/NJ,58.0,13,17,30,-16,15:55,1106,19.1,30:47:00, C,15.0,55.0,,870.0
371,Shaw Andrew,MTL,63.0,19,28,47,17,15:55,1267,20.1,21:20, C,15.0,55.0,,945.0
372,Rust Bryan,PIT,72.0,18,17,35,10,15:54,1610,22.4,32:43:00, RW,15.0,54.0,,1080.0
373,Kunin Luke,MIN,49.0,6,11,17,-9,15:53,1014,20.7,45:47:00, C,15.0,53.0,,735.0
374,Steen Alexander,STL,65.0,10,17,27,2,15:50,1429,22.0,38:08:00, LW,15.0,50.0,,975.0
375,Gourde Yanni,TB,80.0,22,26,48,9,15:50,1597,20.0,26:23:00, LW,15.0,50.0,,1200.0
376,Little Bryan,WPG,82.0,15,26,41,-12,15:50,1719,21.0,31:39:00, C,15.0,50.0,,1230.0
377,Koekkoek Slater,CHI/TB,31.0,2,4,6,4,15:50,655,21.1,81:47:00, D,15.0,50.0,,465.0
378,Rodrigues Evan,BUF,74.0,9,20,29,-7,15:49,1528,20.6,40:22:00, RW,15.0,49.0,,1110.0
379,Armia Joel,MTL,57.0,13,10,23,0,15:48,1213,21.3,39:08:00, RW,15.0,48.0,,855.0
380,Namestnikov Vladislav,NYR,78.0,11,20,31,-7,15:48,1651,21.2,39:44:00, C,15.0,48.0,,1170.0
381,Glendening Luke,DET,78.0,10,13,23,2,15:47,1818,23.3,53:32:00, C,15.0,47.0,,1170.0
382,McQuaid Adam,NYR/CBJ,50.0,3,4,7,2,15:47,1147,22.9,112:41:00, D,15.0,47.0,,750.0
383,Ehlers Nikolaj,WPG,62.0,21,16,37,2,15:46,1190,19.2,26:24:00, LW,15.0,46.0,,930.0
384,Galchenyuk Alex,ARI,72.0,19,22,41,-19,15:44,1485,20.6,27:37:00, C,15.0,44.0,,1080.0
385,Comeau Blake,DAL,77.0,7,11,18,-7,15:44,1776,23.1,67:16:00, LW,15.0,44.0,,1155.0
386,Fast Jesper,NYR,66.0,8,12,20,-3,15:43,1420,21.5,51:52:00, RW,15.0,43.0,,990.0
387,Turris Kyle,NSH,55.0,7,16,23,-6,15:42,1109,20.2,37:31:00, C,15.0,42.0,,825.0
388,Hunwick Matt,BUF,14.0,0,2,2,-7,15:41,280,20.0,109:49:00, D,15.0,41.0,,210.0
389,Ryan Bobby,OTT,78.0,15,27,42,-29,15:41,1563,20.0,29:07:00, RW,15.0,41.0,,1170.0
390,Yakovlev Egor,NJ,25.0,2,5,7,-6,15:40,504,20.2,55:58:00, D,15.0,40.0,,375.0
391,Gaunce Cameron,TB,2.0,0,0,0,3,15:40,39,19.5,0:00, D,15.0,40.0,,30.0
392,Simmonds Wayne,PHI/NSH,79.0,17,13,30,-16,15:40,1530,19.4,41:15:00, RW,15.0,40.0,,1185.0
393,Kulikov Dmitry,WPG,57.0,0,6,6,4,15:40,1060,18.6,148:48:00, D,15.0,40.0,,855.0
394,Orpik Brooks,WSH,53.0,2,7,9,8,15:40,1030,19.4,92:14:00, D,15.0,40.0,,795.0
395,Folin Christian,MTL/PHI,45.0,0,6,6,6,15:40,979,21.8,117:26:00, D,15.0,40.0,,675.0
396,Kase Ondrej,ANA,30.0,11,9,20,0,15:39,593,19.8,23:29, RW,15.0,39.0,,450.0
397,Fiala Kevin,NSH/MIN,83.0,13,26,39,-23,15:38,1650,19.9,33:17:00, LW,15.0,38.0,,1245.0
398,Rutta Jan,CHI/TB,37.0,2,6,8,4,15:36,787,21.3,72:06:00, D,15.0,36.0,,555.0
399,Strome Ryan,EDM/NYR,81.0,19,16,35,-3,15:34,1658,20.5,36:02:00, C,15.0,34.0,,1215.0
400,Borowiecki Mark,OTT,53.0,1,4,5,-12,15:34,1214,22.9,165:02:00, D,15.0,34.0,,795.0
401,Lehkonen Artturi,MTL,82.0,11,20,31,10,15:33,1780,21.7,41:09:00, LW,15.0,33.0,,1230.0
402,Thornton Joe,SJ,73.0,16,35,51,8,15:33,1492,20.4,22:15, C,15.0,33.0,,1095.0
403,Lauzon Jeremy,BOS,16.0,1,0,1,-1,15:32,350,21.9,248:37:00, D,15.0,32.0,,240.0
404,Nylander William,TOR,54.0,7,20,27,-4,15:31,1145,21.2,31:01:00, RW,15.0,31.0,,810.0
405,Beaulieu Nathan,BUF/WPG,48.0,3,9,12,6,15:30,929,19.4,62:01:00, D,15.0,30.0,,720.0
406,Valimaki Juuso,CGY,24.0,1,2,3,-2,15:29,475,19.8,123:52:00, D,15.0,29.0,,360.0
407,Hornqvist Patric,PIT,69.0,18,19,37,-3,15:29,1412,20.5,28:51:00, RW,15.0,29.0,,1035.0
408,Bortuzzo Robert,STL,59.0,2,8,10,9,15:28,1323,22.4,91:17:00, D,15.0,28.0,,885.0
409,Sbisa Luca,NYI,9.0,0,1,1,0,15:28,197,21.9,139:13:00, D,15.0,28.0,,135.0
410,Walker Sean,LA,39.0,3,7,10,-8,15:26,783,20.1,60:11:00, D,15.0,26.0,,585.0
411,Jarnkrok Calle,NSH,79.0,10,16,26,13,15:26,1688,21.4,46:53:00, C,15.0,26.0,,1185.0
412,Nelson Casey,BUF,38.0,1,5,6,1,15:25,752,19.8,97:35:00, D,15.0,25.0,,570.0
413,Abdelkader Justin,DET,71.0,6,13,19,-14,15:24,1465,20.6,57:32:00, LW,15.0,24.0,,1065.0
414,Zadina Filip,DET,9.0,1,2,3,-5,15:23,182,20.2,46:09:00, RW,15.0,23.0,,135.0
415,Eakin Cody,VGS,78.0,22,19,41,19,15:23,1421,18.2,29:15:00, C,15.0,23.0,,1170.0
416,Myers Philippe,PHI,21.0,1,1,2,-5,15:22,409,19.5,161:21:00, RW,15.0,22.0,,315.0
417,Hirose Taro,DET,10.0,1,6,7,0,15:18,194,19.4,21:51, LW,15.0,18.0,,150.0
418,Smith Brendan,NYR,63.0,4,9,13,-7,15:18,1291,20.5,74:07:00, D,15.0,18.0,,945.0
419,Gryba Eric,NJ,10.0,0,0,0,-1,15:18,194,19.4,0:00, D,15.0,18.0,,150.0
420,Hinostroza Vinnie,ARI,72.0,16,23,39,-4,15:16,1497,20.8,28:11:00, C,15.0,16.0,,1080.0
421,Trotman Zach,PIT,13.0,0,1,1,4,15:16,273,21.0,198:27:00, D,15.0,16.0,,195.0
422,Konecny Travis,PHI,82.0,24,25,49,-4,15:16,1652,20.1,25:32:00, C,15.0,16.0,,1230.0
423,Bowey Madison,DET/WSH,50.0,2,8,10,-1,15:16,970,19.4,76:17:00, D,15.0,16.0,,750.0
424,Barberio Mark,COL,12.0,1,0,1,-6,15:14,232,19.3,182:42:00, D,15.0,14.0,,180.0
425,Janmark Mattias,DAL,81.0,6,19,25,-4,15:13,1774,21.9,49:18:00, C,15.0,13.0,,1215.0
426,Simek Radim,SJ,41.0,1,8,9,7,15:13,850,20.7,69:19:00, D,15.0,13.0,,615.0
427,Marincin Martin,TOR,24.0,1,4,5,-4,15:12,523,21.8,72:57:00, D,15.0,12.0,,360.0
428,McIlrath Dylan,DET,7.0,0,0,0,2,15:11,133,19.0,0:00, D,15.0,11.0,,105.0
429,Buchnevich Pavel,NYR,64.0,21,17,38,-10,15:10,1235,19.3,25:33:00, LW,15.0,10.0,,960.0
430,Bratt Jesper,NJ,51.0,8,25,33,-8,15:10,961,18.8,23:26, LW,15.0,10.0,,765.0
431,Baertschi Sven,VAN,26.0,9,5,14,-9,15:08,520,20.0,28:06:00, LW,15.0,8.0,,390.0
432,Smith Craig,NSH,76.0,21,17,38,11,15:08,1545,20.3,30:15:00, C,15.0,8.0,,1140.0
433,Bjugstad Nick,PIT/FLA,64.0,14,12,26,6,15:07,1340,20.9,37:13:00, C,15.0,7.0,,960.0
434,Patrick Nolan,PHI,72.0,13,18,31,-8,15:05,1484,20.6,35:01:00, C,15.0,5.0,,1080.0
435,Wennberg Alexander,CBJ,75.0,2,23,25,-1,15:05,1497,20.0,45:13:00, C,15.0,5.0,,1125.0
436,Riemsdyk van Trevor,CAR,78.0,3,11,14,-4,15:04,1563,20.0,83:53:00, D,15.0,4.0,,1170.0
437,Granlund Markus,VAN,77.0,12,10,22,-4,15:03,1663,21.6,52:38:00, C,15.0,3.0,,1155.0
438,Guhle Brendan,BUF/ANA,8.0,0,1,1,-2,15:01,161,20.1,120:07:00, D,15.0,1.0,,120.0
439,Ritchie Nick,ANA,60.0,9,22,31,6,15:00,1153,19.2,29:02:00, LW,15.0,0.0,,900.0
440,Phaneuf Dion,LA,67.0,1,5,6,-21,15:00,1420,21.2,167:29:00, D,15.0,0.0,,1005.0
441,Brassard Derick,PIT/COL/FLA,70.0,14,9,23,-19,15:00,1406,20.1,45:38:00, C,15.0,0.0,,1050.0
442,Goldobin Nikolay,VAN,63.0,7,20,27,-10,14:59,1243,19.7,34:58:00, RW,14.0,59.0,,882.0
443,Grundstrom Carl,LA,15.0,5,1,6,-4,14:58,285,19.0,37:25:00, RW,14.0,58.0,,210.0
444,Steel Sam,ANA,22.0,6,5,11,2,14:58,421,19.1,29:55:00, C,14.0,58.0,,308.0
445,Neal James,CGY,63.0,7,12,19,-5,14:57,1252,19.9,49:35:00, LW,14.0,57.0,,882.0
446,Benning Matthew,EDM,70.0,5,12,17,11,14:57,1499,21.4,61:32:00, D,14.0,57.0,,980.0
447,Howden Brett,NYR,66.0,6,17,23,-16,14:56,1322,20.0,42:52:00, C,14.0,56.0,,924.0
448,Jacobs Josh,NJ,1.0,0,0,0,-1,14:54,19,19.0,0:00, D,14.0,54.0,,14.0
449,Hunt Brad,MIN/VGS,42.0,5,7,12,-2,14:53,771,18.4,52:06:00, D,14.0,53.0,,588.0
450,Palat Ondrej,TB,64.0,8,26,34,4,14:53,1208,18.9,28:01:00, LW,14.0,53.0,,896.0
451,Kerfoot Alexander,COL,78.0,15,27,42,-9,14:53,1486,19.1,27:38:00, C,14.0,53.0,,1092.0
452,Gleason Ben,DAL,4.0,0,1,1,-1,14:53,78,19.5,59:31:00, D,14.0,53.0,,56.0
453,Killorn Alex,TB,82.0,18,22,40,22,14:52,1632,19.9,30:29:00, C,14.0,52.0,,1148.0
454,Kiselevich Bogdan,FLA/WPG,32.0,0,8,8,-3,14:51,628,19.6,59:25:00, D,14.0,51.0,,448.0
455,Laughton Scott,PHI,82.0,12,20,32,-11,14:51,1668,20.3,38:03:00, C,14.0,51.0,,1148.0
456,Cirelli Anthony,TB,82.0,19,20,39,25,14:51,1644,20.0,31:13:00, C,14.0,51.0,,1148.0
457,Manning Brandon,CHI/EDM,39.0,2,2,4,-15,14:50,858,22.0,144:42:00, D,14.0,50.0,,546.0
458,Perry Corey,ANA,31.0,6,4,10,-16,14:49,572,18.5,45:57:00, RW,14.0,49.0,,434.0
459,Virtanen Jake,VAN,70.0,15,10,25,-4,14:49,1522,21.7,41:29:00, RW,14.0,49.0,,980.0
460,Kassian Zack,EDM,79.0,15,11,26,-6,14:48,1564,19.8,44:58:00, RW,14.0,48.0,,1106.0
461,Wallmark Lucas,CAR,81.0,10,18,28,-8,14:48,1763,21.8,42:47:00, C,14.0,48.0,,1134.0
462,Oleksiak Jamie,DAL/PIT,57.0,4,8,12,5,14:44,1175,20.6,69:58:00, D,14.0,44.0,,798.0
463,Hagelin Carl,LA/PIT/WSH,58.0,5,14,19,7,14:44,1153,19.9,44:57:00, LW,14.0,44.0,,812.0
464,Gravel Kevin,EDM,36.0,0,3,3,-2,14:43,752,20.9,176:30:00, D,14.0,43.0,,504.0
465,Miller J.T.,TB,75.0,13,34,47,8,14:40,1360,18.1,23:24, C,14.0,40.0,,1050.0
466,Vatrano Frank,FLA,81.0,24,15,39,-10,14:40,1620,20.0,30:27:00, C,14.0,40.0,,1134.0
467,Svechnikov Andrei,CAR,82.0,20,17,37,0,14:39,1685,20.5,32:27:00, RW,14.0,39.0,,1148.0
468,Beauvillier Anthony,NYI,81.0,18,10,28,1,14:39,1435,17.7,42:21:00, LW,14.0,39.0,,1134.0
469,Lowry Adam,WPG,78.0,12,11,23,6,14:38,1688,21.6,49:38:00, C,14.0,38.0,,1092.0
470,Kampfer Steven,BOS,35.0,3,3,6,-6,14:38,713,20.4,85:19:00, D,14.0,38.0,,490.0
471,Sheary Conor,BUF,78.0,14,20,34,-18,14:37,1480,19.0,33:32:00, LW,14.0,37.0,,1092.0
472,Aberg Pontus,ANA/MIN,59.0,12,13,25,-14,14:36,1107,18.8,34:26:00, LW,14.0,36.0,,826.0
473,Comtois Max,ANA,10.0,2,5,7,3,14:35,190,19.0,20:50, LW,14.0,35.0,,140.0
474,Lindgren Ryan,NYR,5.0,0,0,0,-6,14:35,102,20.4,0:00, D,14.0,35.0,,70.0
475,Gagner Sam,EDM/VAN,32.0,6,7,13,-6,14:35,596,18.6,35:54:00, C,14.0,35.0,,448.0
476,Helm Darren,DET,61.0,7,10,17,-11,14:34,1264,20.7,52:17:00, C,14.0,34.0,,854.0
477,Byron Paul,MTL,56.0,15,16,31,16,14:34,1160,20.7,26:18:00, C,14.0,34.0,,784.0
478,Sautner Ashton,VAN,17.0,0,1,1,-2,14:33,358,21.1,247:15:00, D,14.0,33.0,,238.0
479,Megna Jaycob,ANA,28.0,1,3,4,-1,14:32,599,21.4,101:43:00, D,14.0,32.0,,392.0
480,McCann Jared,PIT/FLA,78.0,19,16,35,-1,14:32,1696,21.7,32:22:00, C,14.0,32.0,,1092.0
