,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
28,Rielly Morgan,TOR,82,20,52,72,24,23:07,2364,28.8,26:20:00, D
29,Petry Jeff,MTL,82,13,33,46,-5,23:07,2185,26.6,41:12:00, D
30,Heiskanen Miro,DAL,82,12,21,33,-14,23:07,2282,27.8,57:26:00, D
31,Slavin Jaccob,CAR,82,8,23,31,0,23:02,2203,26.9,60:56:00, D
32,Keith Duncan,CHI,82,6,34,40,13,23:01,2272,27.7,47:11:00, D
33,Werenski Zach,CBJ,82,11,33,44,-12,22:54,2250,27.4,42:40:00, D
34,Trouba Jacob,WPG,82,8,42,50,8,22:53,1997,24.4,37:31:00, D
35,McDavid Connor,EDM,78,41,75,116,3,22:50,1998,25.6,15:21, C
36,Parayko Colton,STL,80,10,18,28,20,22:47,2329,29.1,65:05:00, D
37,Hedman Victor,TB,70,12,42,54,24,22:46,1734,24.8,29:31:00, D
38,Subban P.K.,NSH,63,9,22,31,5,22:40,1731,27.5,46:03:00, D
39,Draisaitl Leon,EDM,82,50,55,105,2,22:35,2126,25.9,17:38, C
40,Gustafsson Erik,CHI,79,17,43,60,-6,22:35,2019,25.6,29:44:00, D
41,Ceci Cody,OTT,74,7,19,26,-22,22:34,2048,27.7,64:12:00, D
42,Kane Patrick,CHI,81,44,66,110,2,22:29,1912,23.6,16:33, RW
43,Montour Brandon,BUF/ANA,82,8,27,35,-20,22:27,2252,27.5,52:35:00, D
44,Yandle Keith,FLA,82,9,53,62,-17,22:27,2304,28.1,29:41:00, D
45,Faulk Justin,CAR,82,11,24,35,9,22:25,2150,26.2,52:32:00, D
46,Morrissey Josh,WPG,59,6,25,31,9,22:24,1439,24.4,42:38:00, D
47,Pulock Ryan,NYI,82,9,28,37,21,22:22,2278,27.8,49:33:00, D
48,Hutton Ben,VAN,69,5,15,20,-23,22:21,1908,27.7,77:07:00, D
49,Barkov Aleksander,FLA,82,35,61,96,-3,22:21,2218,27.0,19:05, C
50,Matheson Michael,FLA,75,8,19,27,-24,22:19,2126,28.3,61:59:00, D
51,Manson Josh,ANA,74,3,13,16,-8,22:18,2099,28.4,103:10:00, D
52,Kopitar Anze,LA,81,22,38,60,-20,22:18,2146,26.5,30:06:00, C
53,McAvoy Charlie,BOS,54,7,21,28,14,22:10,1448,26.8,42:45:00, D
54,Couturier Sean,PHI,80,33,43,76,2,22:08,2143,26.8,23:17, C
55,MacKinnon Nathan,COL,82,41,58,99,20,22:05,2024,24.7,18:17, C
56,McDonagh Ryan,TB,82,9,37,46,38,22:05,2066,25.2,39:22:00, D
57,Severson Damon,NJ,82,11,28,39,-27,22:03,2155,26.3,46:20:00, D
58,DeKeyser Danny,DET,52,5,15,20,2,21:58,1479,28.4,57:06:00, D
59,Schmidt Nate,VGS,61,9,21,30,22,21:57,1576,25.8,44:38:00, D
60,Niskanen Matt,WSH,80,8,17,25,-3,21:56,1909,23.9,70:10:00, D
61,Scheifele Mark,WPG,82,38,46,84,8,21:52,1969,24.0,21:20, C
62,Larkin Dylan,DET,76,32,41,73,-6,21:51,1973,26.0,22:44, C
63,Johnson Erik,COL,80,7,18,25,8,21:49,2157,27.0,69:48:00, D
64,Barrie Tyson,COL,78,14,45,59,-3,21:47,1850,23.7,28:47:00, D
65,Vatanen Sami,NJ,50,4,13,17,-17,21:44,1317,26.3,63:54:00, D
66,Green Mike,DET,43,5,21,26,-1,21:41,1185,27.6,35:51:00, D
67,Orlov Dmitry,WSH,82,3,26,29,3,21:38,1914,23.3,61:10:00, D
68,Bogosian Zach,BUF,65,3,16,19,-5,21:38,1574,24.2,73:59:00, D
69,Larsson Adam,EDM,82,3,17,20,-28,21:37,2243,27.4,88:39:00, D
70,Leddy Nick,NYI,82,4,22,26,0,21:33,2133,26.0,67:57:00, D
71,Brodie T.J.,CGY,79,9,25,34,29,21:28,2084,26.4,49:53:00, D
72,Giroux Claude,PHI,82,22,63,85,9,21:27,2138,26.1,20:42, LW
73,Murray Ryan,CBJ,56,1,28,29,20,21:26,1501,26.8,41:24:00, D
74,Martinez Alec,LA,60,4,14,18,-2,21:22,1578,26.3,71:12:00, D
75,Muzzin Jake,LA/TOR,80,9,28,37,21,21:20,2210,27.6,46:08:00, D
76,Krug Torey,BOS,64,6,47,53,-2,21:18,1599,25.0,25:43:00, D
77,Skjei Brady,NYR,78,8,17,25,-4,21:14,2141,27.4,66:15:00, D
78,Gardiner Jake,TOR,62,3,27,30,19,21:13,1635,26.4,43:50:00, D
79,Pionk Neal,NYR,73,6,20,26,-16,21:10,1998,27.4,59:25:00, D
80,Dahlin Rasmus,BUF,82,9,35,44,-13,21:09,1905,23.2,39:25:00, D
81,Landeskog Gabriel,COL,73,34,41,75,17,21:09,1711,23.4,20:35, LW
82,Chara Zdeno,BOS,62,5,9,14,22,21:05,1515,24.4,93:20:00, D
83,Schuldt Jimmy,VGS,1,0,1,1,-1,21:03,22,22.0,21:03, D
84,Vlasic Marc-Edouard,SJ,72,3,22,25,-6,21:03,1847,25.7,60:36:00, D
85,Dumoulin Brian,PIT,76,3,20,23,31,21:02,2110,27.8,69:28:00, D
86,Toews Jonathan,CHI,82,35,46,81,2,21:00,2090,25.5,21:16, C
87,Crosby Sidney,PIT,79,35,65,100,18,21:00,2036,25.8,16:35, C
88,Carlo Brandon,BOS,72,2,8,10,22,20:55,1840,25.6,150:38:00, D
89,Ovechkin Alex,WSH,81,51,38,89,7,20:55,1682,20.8,19:02, LW
90,Hamonic Travis,CGY,69,7,12,19,21,20:52,1758,25.5,75:46:00, D
91,Rantanen Mikko,COL,74,31,56,87,13,20:51,1704,23.0,17:43, RW
92,Horvat Bo,VAN,82,27,34,61,-4,20:50,2217,27.0,28:00:00, C
93,Greene Andy,NJ,82,5,20,25,-9,20:50,2027,24.7,68:20:00, D
94,Goligoski Alex,ARI,76,3,24,27,-7,20:49,1878,24.7,58:35:00, D
95,Hanifin Noah,CGY,80,5,28,33,18,20:46,2075,25.9,50:21:00, D
96,O'Reilly Ryan,STL,82,28,49,77,22,20:46,2103,25.6,22:06, C
97,Seguin Tyler,DAL,82,33,47,80,17,20:45,2278,27.8,21:16, C
98,Forbort Derek,LA,81,2,12,14,-13,20:45,2075,25.6,120:00:00, D
99,Bouwmeester Jay,STL,78,3,14,17,-3,20:44,2077,26.6,95:07:00, D
100,Wheeler Blake,WPG,82,20,71,91,0,20:43,1979,24.1,18:39, RW
101,Zibanejad Mika,NYR,82,30,44,74,-12,20:34,2084,25.4,22:46, C
102,Brodin Jonas,MIN,82,4,14,18,-15,20:33,1997,24.4,93:35:00, D
103,Stralman Anton,TB,47,2,15,17,12,20:31,1113,23.7,56:44:00, D
104,Schultz Justin,PIT,29,2,13,15,0,20:30,767,26.4,39:38:00, D
105,Pesce Brett,CAR,73,7,22,29,35,20:29,1826,25.0,51:34:00, D
106,Zaitsev Nikita,TOR,81,3,11,14,2,20:28,2145,26.5,118:27:00, D
107,Eichel Jack,BUF,77,28,54,82,-11,20:26,1756,22.8,19:11, C
108,Russell Kris,EDM,72,3,13,16,5,20:26,1858,25.8,91:55:00, D
109,Brown Dustin,LA,72,22,29,51,-17,20:24,1823,25.3,28:48:00, RW
110,Myers Tyler,WPG,80,9,22,31,11,20:21,1806,22.6,52:30:00, D
111,Braun Justin,SJ,78,2,14,16,-14,20:18,1957,25.1,98:59:00, D
112,Hainsey Ron,TOR,81,5,18,23,30,20:15,2181,26.9,71:20:00, D
113,Chychrun Jakob,ARI,53,5,15,20,-12,20:15,1235,23.3,53:40:00, D
114,Tanev Chris,VAN,55,2,10,12,3,20:10,1530,27.8,92:26:00, D
115,Aho Sebastian,CAR,82,30,53,83,25,20:09,2008,24.5,19:54, LW
116,Theodore Shea,VGS,79,12,25,37,-4,20:06,1938,24.5,42:55:00, D
117,Nugent-Hopkins Ryan,EDM,82,28,41,69,-13,20:06,1997,24.4,23:53, C
118,Gaudreau Johnny,CGY,82,36,63,99,18,20:04,1923,23.5,16:37, LW
119,Lindholm Elias,CGY,81,27,51,78,30,20:02,2062,25.5,20:48, C
120,Demers Jason,ARI,35,2,6,8,9,20:00,909,26.0,87:28:00, D
121,Kucherov Nikita,TB,82,41,87,128,24,19:58,1765,21.5,12:47, RW
122,Hronek Filip,DET,46,5,18,23,-10,19:58,1201,26.1,39:55:00, D
123,Kronwall Niklas,DET,79,3,24,27,-5,19:57,2047,25.9,58:22:00, D
124,Backstrom Nicklas,WSH,80,22,52,74,2,19:57,1759,22.0,21:34, C
125,Stecher Troy,VAN,78,2,21,23,9,19:55,1915,24.6,67:32:00, D
126,Girard Samuel,COL,82,4,23,27,8,19:54,1966,24.0,60:24:00, D
127,Stone Mark,OTT/VGS,77,33,40,73,17,19:53,1782,23.1,20:58, RW
128,Engelland Deryk,VGS,74,2,10,12,-3,19:53,1740,23.5,122:34:00, D
129,Panarin Artemi,CBJ,79,28,59,87,14,19:51,1816,23.0,18:01, LW
130,Jensen Nick,DET/WSH,80,2,18,20,4,19:51,2004,25.1,79:24:00, D
131,Zuccarello Mats,DAL/NYR,48,12,28,40,-8,19:51,1129,23.5,23:49, RW
132,Schlemko David,MTL/PHI,18,0,2,2,-1,19:51,469,26.1,178:36:00, D
133,Marner Mitch,TOR,82,26,68,94,22,19:49,2066,25.2,17:17, C
134,Jones Caleb,EDM,17,1,5,6,-9,19:48,434,25.5,56:05:00, D
135,Radulov Alexander,DAL,70,29,43,72,22,19:47,1768,25.3,19:14, RW
136,Cole Ian,COL,71,2,13,15,-1,19:45,1682,23.7,93:30:00, D
137,Savard David,CBJ,82,8,16,24,19,19:45,2083,25.4,67:27:00, D
138,Hjalmarsson Niklas,ARI,82,0,10,10,8,19:42,2047,25.0,161:31:00, D
139,Hall Taylor,NJ,33,11,26,37,-6,19:41,727,22.0,17:33, LW
140,Hamilton Dougie,CAR,82,18,21,39,0,19:40,1994,24.3,41:21:00, D
141,Trocheck Vincent,FLA,55,10,24,34,-9,19:40,1366,24.8,31:48:00, C
142,Gostisbehere Shayne,PHI,78,9,28,37,-20,19:40,1772,22.7,41:26:00, D
143,Miller Colin,VGS,65,3,26,29,0,19:39,1581,24.3,44:02:00, D
144,Marchand Brad,BOS,79,36,64,100,15,19:37,1821,23.1,15:30, LW
145,Sanheim Travis,PHI,82,9,26,35,-4,19:34,2011,24.5,45:49:00, D
146,Johansen Ryan,NSH,80,14,50,64,7,19:33,2000,25.0,24:26:00, C
147,Murphy Connor,CHI,52,5,8,13,12,19:29,1352,26.0,77:57:00, D
148,McNabb Brayden,VGS,81,4,12,16,11,19:29,1927,23.8,98:36:00, D
149,Getzlaf Ryan,ANA,67,14,34,48,-19,19:28,1568,23.4,27:10:00, C
150,Staal Marc,NYR,79,3,10,13,-9,19:25,2061,26.1,118:00:00, D
151,Edmundson Joel,STL,64,2,9,11,8,19:23,1691,26.4,112:47:00, D
152,Sulak Libor,DET,6,0,0,0,-4,19:23,163,27.2,0:00, D
153,Atkinson Cam,CBJ,80,41,28,69,3,19:23,1951,24.4,22:28, RW
154,Guentzel Jake,PIT,82,40,36,76,13,19:21,2008,24.5,20:52, C
155,DeAngelo Tony,NYR,61,4,26,30,6,19:20,1494,24.5,39:18:00, D
156,DeMelo Dylan,OTT,77,4,18,22,-1,19:17,1972,25.6,67:29:00, D
157,Johnson Jack,PIT,82,1,12,13,-4,19:17,2124,25.9,121:36:00, D
158,Butcher Will,NJ,78,4,26,30,-17,19:16,1804,23.1,50:06:00, D
159,Zajac Travis,NJ,80,19,27,46,-25,19:16,1818,22.7,33:30:00, C
160,Connor Kyle,WPG,82,34,32,66,-7,19:15,1749,21.3,23:55, LW
161,Cernak Erik,TB,58,5,11,16,25,19:15,1416,24.4,69:47:00, D
162,Stepan Derek,ARI,72,15,20,35,-2,19:13,1845,25.6,39:32:00, C
163,Kempny Michal,WSH,71,6,19,25,24,19:11,1560,22.0,54:29:00, D
164,Polak Roman,DAL,77,1,8,9,6,19:10,1878,24.4,163:59:00, D
165,Boeser Brock,VAN,69,26,30,56,-2,19:10,1621,23.5,23:36, RW
166,Arvidsson Viktor,NSH,58,34,14,48,12,19:09,1388,23.9,23:08, RW
167,Grzelcyk Matt,BOS,66,3,15,18,9,19:08,1652,25.0,70:08:00, D
168,Seabrook Brent,CHI,78,5,23,28,-6,19:06,2018,25.9,53:11:00, D
169,Tavares John,TOR,82,47,41,88,19,19:05,1969,24.0,17:47, C
170,Monahan Sean,CGY,78,34,48,82,7,19:03,1805,23.1,18:07, C
171,Pavelski Joe,SJ,75,38,26,64,-4,19:03,1809,24.1,22:19, C
172,Hertl Tomas,SJ,77,35,39,74,5,19:01,1834,23.8,19:47, C
173,Jokiharju Henri,CHI,38,0,12,12,-7,18:59,946,24.9,60:06:00, D
174,Reinhart Sam,BUF,82,22,43,65,-10,18:57,1730,21.1,23:55, C
175,McCabe Jake,BUF,59,4,10,14,-4,18:57,1364,23.1,79:50:00, D
176,Shattenkirk Kevin,NYR,73,2,26,28,-15,18:56,1685,23.1,49:22:00, D
177,Point Brayden,TB,79,41,51,92,27,18:55,1675,21.2,16:14, C
178,Lajoie Maxime,OTT,56,7,8,15,-25,18:54,1393,24.9,70:34:00, D
179,Oesterle Jordan,ARI,71,6,14,20,-3,18:54,1645,23.2,67:04:00, D
180,Huberdeau Jonathan,FLA,82,30,62,92,-14,18:51,1846,22.5,16:48, C
181,Karlsson William,VGS,82,24,32,56,1,18:51,1737,21.2,27:35:00, C
182,Duchene Matt,OTT/CBJ,73,31,39,70,-3,18:50,1601,21.9,19:38, C
183,Boychuk Johnny,NYI,74,3,16,19,10,18:50,1864,25.2,73:20:00, D
184,Malkin Evgeni,PIT,68,21,51,72,-25,18:48,1554,22.9,17:45, C
185,Kuznetsov Evgeny,WSH,76,21,51,72,7,18:47,1508,19.8,19:50, C
186,Moore John,BOS,61,4,9,13,0,18:46,1517,24.9,88:05:00, D
187,Pastrnak David,BOS,66,38,43,81,6,18:45,1395,21.1,15:16, LW
188,Mayfield Scott,NYI,79,4,15,19,18,18:44,1888,23.9,77:53:00, D
189,Reilly Mike,MTL,57,3,8,11,0,18:41,1329,23.3,96:46:00, D
190,Voracek Jakub,PHI,78,20,46,66,-16,18:40,1777,22.8,22:04, RW
191,Parise Zach,MIN,74,28,33,61,-2,18:40,1665,22.5,22:38, LW
192,Pelech Adam,NYI,78,5,16,21,22,18:38,1898,24.3,69:11:00, D
193,Forsberg Filip,NSH,64,28,22,50,8,18:37,1577,24.6,23:49, C
194,Chiarot Ben,WPG,78,5,15,20,6,18:37,1629,20.9,72:36:00, D
195,Oshie T.J.,WSH,69,25,29,54,5,18:37,1422,20.6,23:46, RW
196,Dahlstrom Carl,CHI,38,0,6,6,9,18:36,963,25.3,117:49:00, D
197,Couture Logan,SJ,81,27,43,70,-6,18:36,1970,24.3,21:31, C
198,Maatta Olli,PIT,60,1,13,14,9,18:35,1525,25.4,79:40:00, D
199,Schenn Brayden,STL,72,17,37,54,3,18:35,1642,22.8,24:47:00, C
200,Hicketts Joe,DET,11,0,0,0,-9,18:35,249,22.6,0:00, D
201,Daley Trevor,DET,44,2,6,8,-3,18:34,1157,26.3,102:04:00, D
202,Matthews Auston,TOR,68,37,36,73,-9,18:33,1591,23.4,17:17, C
203,Skinner Jeff,BUF,82,40,23,63,0,18:31,1721,21.0,24:06:00, LW
204,Haan de Calvin,CAR,74,1,13,14,1,18:31,1694,22.9,97:50:00, D
205,Hickey Thomas,NYI,40,0,4,4,5,18:30,1011,25.3,185:03:00, D
206,Rakell Rickard,ANA,69,18,25,43,-13,18:28,1526,22.1,29:38:00, C
207,Bergeron Patrice,BOS,65,32,47,79,23,18:28,1510,23.2,15:11, C
208,Kane Evander,SJ,75,30,26,56,-4,18:25,1734,23.1,24:39:00, LW
209,Tarasenko Vladimir,STL,76,33,35,68,8,18:24,1768,23.3,20:33, RW
210,Dadonov Evgenii,FLA,82,28,42,70,-6,18:22,1834,22.4,21:31, RW
211,Connauton Kevin,ARI,50,1,7,8,-2,18:21,1133,22.7,114:41:00, D
212,Granlund Mikael,NSH/MIN,79,16,38,54,-8,18:21,1730,21.9,26:50:00, C
213,Stamkos Steven,TB,82,45,53,98,4,18:18,1789,21.8,15:18, C
214,Koivu Mikko,MIN,48,8,21,29,-2,18:18,1086,22.6,30:17:00, C
215,Holden Nick,VGS,61,3,12,15,5,18:18,1395,22.9,74:23:00, D
216,Staal Jordan,CAR,50,11,17,28,6,18:17,1279,25.6,32:39:00, C
217,Hayes Kevin,NYR/WPG,71,19,36,55,-2,18:17,1628,22.9,23:35, C
218,Smith Reilly,VGS,74,19,34,53,13,18:16,1563,21.1,25:30:00, RW
219,Pysyk Mark,FLA,70,1,10,11,-1,18:16,1798,25.7,116:15:00, D
220,Cholowski Dennis,DET,52,7,9,16,-20,18:15,1219,23.4,59:19:00, D
221,Keller Clayton,ARI,82,14,33,47,-21,18:14,1905,23.2,31:48:00, C
222,Gudbranson Erik,PIT/VAN,76,2,8,10,-20,18:14,1870,24.6,138:33:00, D
223,Benn Jamie,DAL,78,27,26,53,14,18:14,1968,25.2,26:49:00, LW
224,Pettersson Elias,VAN,71,28,38,66,3,18:14,1598,22.5,19:36, C
225,Benn Jordie,MTL,81,5,17,22,15,18:12,1947,24.0,66:59:00, D
226,Bayreuther Gavin,DAL,19,2,3,5,2,18:11,461,24.3,69:07:00, D
227,Carter Jeff,LA,76,13,20,33,-20,18:09,1827,24.0,41:49:00, C
228,Palmieri Kyle,NJ,74,27,23,50,-9,18:09,1580,21.4,26:52:00, RW
229,Marchessault Jonathan,VGS,82,25,34,59,2,18:09,1637,20.0,25:13:00, C
230,Wilson Tom,WSH,63,22,18,40,11,18:09,1340,21.3,28:34:00, RW
231,Schwartz Jaden,STL,69,11,25,36,-6,18:08,1576,22.8,34:44:00, LW
232,Staal Eric,MIN,81,22,30,52,-7,18:08,1695,20.9,28:14:00, C
233,Stastny Paul,VGS,50,13,29,42,14,18:06,1006,20.1,21:33, C
234,Hischier Nico,NJ,69,17,30,47,0,18:06,1485,21.5,26:34:00, C
235,Hughes Quinn,VAN,5,0,3,3,0,18:05,109,21.8,30:08:00, D
236,Mueller Mirco,NJ,53,1,10,11,-3,18:04,1272,24.0,87:04:00, D
237,Brannstrom Erik,OTT,2,0,0,0,0,18:04,50,25.0,0:00, D
238,Olofsson Victor,BUF,6,2,2,4,1,18:01,125,20.8,27:01:00, RW
239,Kessel Phil,PIT,82,27,55,82,-19,17:59,1786,21.8,17:58, RW
240,Nelson Brock,NYI,82,25,28,53,20,17:58,1828,22.3,27:48:00, C
241,Sergachev Mikhail,TB,75,6,26,32,12,17:55,1603,21.4,42:00:00, D
242,Barzal Mathew,NYI,82,18,44,62,-5,17:55,1601,19.5,23:42, C
243,Teravainen Teuvo,CAR,82,21,55,76,30,17:55,1898,23.1,19:19, LW
244,Toews Devon,NYI,48,5,13,18,7,17:54,1078,22.5,47:43:00, D
245,Backlund Mikael,CGY,77,21,26,47,34,17:54,1786,23.2,29:18:00, C
246,Merrill Jon,VGS,57,3,12,15,16,17:53,1269,22.3,67:56:00, D
247,Gudas Radko,PHI,77,4,16,20,6,17:53,1784,23.2,68:49:00, D
248,Pageau Jean-Gabriel,OTT,39,4,8,12,-12,17:51,932,23.9,57:59:00, C
249,Kulak Brett,MTL,57,6,11,17,12,17:51,1275,22.4,59:49:00, D
250,Hoffman Mike,FLA,82,36,34,70,-24,17:50,1740,21.2,20:53, LW
251,Schmaltz Nick,CHI/ARI,40,7,18,25,-12,17:50,847,21.2,28:31:00, C
252,Mantha Anthony,DET,67,25,23,48,-8,17:50,1436,21.4,24:53:00, RW
253,Girardi Dan,TB,62,4,12,16,6,17:48,1371,22.1,68:58:00, D
254,Danault Phillip,MTL,81,12,41,53,17,17:47,2017,24.9,27:10:00, C
255,Mete Victor,MTL,71,0,13,13,17,17:46,1650,23.2,97:04:00, D
256,Miller Kevan,BOS,39,0,7,7,8,17:45,919,23.6,98:52:00, D
257,Dillon Brenden,SJ,82,1,21,22,19,17:45,1792,21.9,66:08:00, D
258,Dubois Pierre-Luc,CBJ,82,27,34,61,16,17:43,1820,22.2,23:48, C
259,Clifton Connor,BOS,19,0,1,1,5,17:42,454,23.9,336:24:00, D
260,Foligno Nick,CBJ,73,17,18,35,12,17:42,1618,22.2,36:55:00, LW
261,DeBrincat Alex,CHI,82,41,35,76,0,17:42,1666,20.3,19:05, RW
262,Saad Brandon,CHI,80,23,24,47,-9,17:41,1863,23.3,30:06:00, LW
263,Nutivaara Markus,CBJ,80,5,16,21,3,17:41,1846,23.1,67:21:00, D
264,Krejci David,BOS,81,20,53,73,7,17:41,1699,21.0,19:36, C
265,Biega Alex,VAN,41,2,14,16,0,17:40,991,24.2,45:16:00, D
266,Harpur Ben,OTT,51,1,4,5,-13,17:37,1176,23.1,179:43:00, D
267,Scandella Marco,BUF,63,6,7,13,-13,17:37,1410,22.4,85:20:00, D
268,Tkachuk Matthew,CGY,80,34,43,77,14,17:36,1696,21.2,18:17, LW
269,Dunn Vince,STL,78,12,23,35,14,17:32,1820,23.3,39:04:00, D
270,Nyquist Gustav,DET/SJ,81,22,38,60,1,17:31,1818,22.4,23:39, C
271,Compher J.T.,COL,66,16,16,32,-8,17:29,1441,21.8,36:02:00, LW
272,Sutter Brandon,VAN,26,4,2,6,-12,17:28,676,26.0,75:41:00, C
273,Soderberg Carl,COL,82,23,26,49,-5,17:27,1858,22.7,29:12:00, C
274,Williams Justin,CAR,82,23,30,53,-4,17:27,1814,22.1,26:59:00, RW
275,Pilut Lawrence,BUF,33,1,5,6,-8,17:25,714,21.6,95:48:00, D
276,Kreider Chris,NYR,79,28,24,52,4,17:24,1783,22.6,26:26:00, LW
277,Domi Max,MTL,82,28,44,72,20,17:23,1751,21.4,19:47, C
278,Wolanin Christian,OTT,30,4,8,12,3,17:20,673,22.4,43:18:00, D
279,Dermott Travis,TOR,64,4,13,17,-5,17:18,1453,22.7,65:09:00, D
280,Alzner Karl,MTL,9,0,1,1,1,17:18,215,23.9,155:42:00, D
281,Hyman Zach,TOR,71,21,20,41,16,17:17,1700,23.9,29:55:00, C
282,Claesson Fredrik,NYR,37,2,4,6,3,17:15,837,22.6,106:21:00, D
283,Laine Patrik,WPG,82,30,20,50,-24,17:14,1620,19.8,28:15:00, RW
284,Ericsson Jonathan,DET,52,3,2,5,-10,17:13,1235,23.8,179:05:00, D
285,Toffoli Tyler,LA,82,13,21,34,-16,17:13,1902,23.2,41:30:00, RW
286,Chelios Jake,DET,5,0,0,0,0,17:12,102,20.4,0:00, D
287,Zadorov Nikita,COL,70,7,7,14,19,17:12,1487,21.2,86:01:00, D
288,Pouliot Derrick,VAN,62,3,9,12,-1,17:10,1403,22.6,88:39:00, D
289,Roy Matt,LA,25,2,4,6,-1,17:08,545,21.8,71:22:00, LW
290,Pateryn Greg,MIN,80,1,6,7,-11,17:07,1675,20.9,195:39:00, D
291,Juulsen Noah,MTL,21,1,4,5,5,17:07,506,24.1,71:53:00, D
292,Larsson Jacob,ANA,49,0,5,5,-4,17:07,1163,23.7,167:43:00, D
293,Silfverberg Jakob,ANA,73,24,19,43,-9,17:06,1639,22.5,29:01:00, LW
294,Perron David,STL,57,23,23,46,3,17:06,1189,20.9,21:11, LW
295,Lee Anders,NYI,82,28,23,51,20,17:05,1664,20.3,27:28:00, LW
296,Lovejoy Ben,DAL/NJ,71,2,7,9,-1,17:05,1608,22.6,134:47:00, D
297,Forsling Gustav,CHI,43,3,6,9,-9,17:05,994,23.1,81:37:00, D
298,Zucker Jason,MIN,81,21,21,42,-9,17:05,1635,20.2,32:56:00, LW
299,Jenner Boone,CBJ,77,16,22,38,6,17:04,1705,22.1,34:34:00, C
300,Tierney Chris,OTT,81,9,39,48,-22,17:02,1737,21.4,28:44:00, C
301,Zotto Del Michael,STL/VAN/ANA,42,1,9,10,-2,17:02,925,22.0,71:31:00, D
302,Anderson Josh,CBJ,82,27,20,47,25,17:01,1814,22.1,29:42:00, RW
303,Coleman Blake,NJ,78,22,14,36,-19,17:01,1656,21.2,36:51:00, C
304,Ouellet Xavier,MTL,19,0,3,3,-3,17:01,407,21.4,107:44:00, D
305,Pacioretty Max,VGS,66,22,18,40,-13,17:00,1214,18.4,28:03:00, LW
306,Athanasiou Andreas,DET,76,30,24,54,-9,16:58,1677,22.1,23:53, C
307,Meier Timo,SJ,78,30,36,66,9,16:58,1730,22.2,20:03, RW
308,Chiasson Alex,EDM,73,22,16,38,-1,16:58,1572,21.5,32:36:00, RW
309,Weegar Mackenzie,FLA,64,4,11,15,-3,16:58,1471,23.0,72:23:00, D
310,Hagg Robert,PHI,82,5,15,20,-3,16:57,1893,23.1,69:28:00, D
311,Methot Marc,DAL,9,0,0,0,-3,16:56,228,25.3,0:00, D
312,Drouin Jonathan,MTL,81,18,35,53,-8,16:56,1706,21.1,25:52:00, C
313,Iafallo Alex,LA,82,15,18,33,-17,16:50,1817,22.2,41:49:00, C
314,Bailey Josh,NYI,82,16,40,56,8,16:50,1638,20.0,24:38:00, LW
