,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
257,Hunwick Matt,14,0,2,2,-7,15:41,280,20,D,"5'11""",200,34,4,1,Lower body,Buffalo
258,Hunwick Matt,14,0,2,2,-7,15:41,280,20,D,"5'11""",200,34,4,3,Lower body,Buffalo
259,Hunwick Matt,14,0,2,2,-7,15:41,280,20,D,"5'11""",200,34,4,32,Neck,Buffalo
260,Hunwick Matt,14,0,2,2,-7,15:41,280,20,D,"5'11""",200,34,4,9,Upper body,Buffalo
261,Hutton Ben,69,5,15,20,-23,22:21,1908,27.7,D,"6'2""",206,26,1,11,Foot,Vancouver
262,Hyman Zach,71,21,20,41,16,17:17,1700,23.9,LW,"6'1""",209,27,1,8,Ankle,Toronto
263,Jarnkrok Calle,79,10,16,26,13,15:26,1688,21.4,C,"5'11""",186,27,1,3,Lower body,Nashville
264,Jaros Christian,61,1,9,10,-14,14:22,1294,21.2,D,"6'3""",201,23,4,3,Finger,Ottawa
265,Jaros Christian,61,1,9,10,-14,14:22,1294,21.2,D,"6'3""",201,23,4,4,Hamstring,Ottawa
266,Jaros Christian,61,1,9,10,-14,14:22,1294,21.2,D,"6'3""",201,23,4,2,Lower body,Ottawa
267,Jaros Christian,61,1,9,10,-14,14:22,1294,21.2,D,"6'3""",201,23,4,4,Lower body,Ottawa
268,Jenner Boone,77,16,22,38,6,17:04,1705,22.1,C,"6'2""",206,26,1,3,Ankle,Columbus
269,Johansson Marcus,58,13,17,30,-16,15:55,1106,19.1,LW,"6'1""",205,28,3,10,Lung,Boston
270,Johansson Marcus,58,13,17,30,-16,15:55,1106,19.1,LW,"6'1""",205,28,3,1,Lower body,New Jersey
271,Johansson Marcus,58,13,17,30,-16,15:55,1106,19.1,LW,"6'1""",205,28,3,10,Upper body,New Jersey
272,Johnson Erik,80,7,18,25,8,21:49,2157,27,D,"6'4""",225,31,1,2,Concussion,Colorado
273,Johnson Tyler,80,29,18,47,15,15:57,1650,20.6,C,"5'8""",183,28,2,1,Lower body,Tampa Bay
274,Johnson Tyler,80,29,18,47,15,15:57,1650,20.6,C,"5'8""",183,28,2,1,Upper body,Tampa Bay
275,Johnsson Andreas,73,20,23,43,14,13:40,1406,19.3,LW,"5'10""",181,24,2,1,Concussion,Toronto
276,Johnsson Andreas,73,20,23,43,14,13:40,1406,19.3,LW,"5'10""",181,24,2,1,Leg,Toronto
277,Jones Seth,75,9,37,46,1,25:49:00,2214,29.5,D,"6'4""",210,24,1,7,Knee,Columbus
278,Joseph Mathieu,70,13,13,26,5,11:22,1146,16.4,RW,"6'1""",190,22,1,6,Lower body,Tampa Bay
279,Jost Tyson,70,11,15,26,-2,13:00,1143,16.3,C,"5'11""",191,21,1,4,Head,Colorado
280,Juulsen Noah,21,1,4,5,5,17:07,506,24.1,D,"6'2""",174,22,2,9,Facial,Montreal
281,Juulsen Noah,21,1,4,5,5,17:07,506,24.1,D,"6'2""",174,22,2,2,Upper body,Montreal
282,Kadri Nazem,73,16,28,44,-2,16:11,1499,20.5,C,"6'0""",192,28,1,8,Concussion,Toronto
283,Kamenev Vladislav,23,2,3,5,-2,9:02,295,12.8,C,"6'2""",194,22,1,52,Shoulder,Colorado
