,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
430,Panarin Artemi,79,28,59,87,14,19:51,1816,23,LW,"5'11""",168,27,1,1,Lower body,Columbus
431,Paquette Cedric,80,13,4,17,7,12:00,1400,17.5,C,"6'1""",198,25,1,1,Lower body,Tampa Bay
432,Parise Zach,74,28,33,61,-2,18:40,1665,22.5,LW,"5'11""",193,34,2,1,Foot,Minnesota
433,Parise Zach,74,28,33,61,-2,18:40,1665,22.5,LW,"5'11""",193,34,2,4,Lower body,Minnesota
434,Pastrnak David,66,38,43,81,6,18:45,1395,21.1,RW,"6'0""",194,23,1,16,Thumb,Boston
435,Patrick Nolan,72,13,18,31,-8,15:05,1484,20.6,C,"6'2""",198,20,4,1,Upper body,Philadelphia
436,Patrick Nolan,72,13,18,31,-8,15:05,1484,20.6,C,"6'2""",198,20,4,2,Upper body,Philadelphia
437,Patrick Nolan,72,13,18,31,-8,15:05,1484,20.6,C,"6'2""",198,20,4,3,Upper body,Philadelphia
438,Patrick Nolan,72,13,18,31,-8,15:05,1484,20.6,C,"6'2""",198,20,4,4,Upper body,Philadelphia
439,Pavelski Joe,75,38,26,64,-4,19:03,1809,24.1,C,"5'11""",190,34,1,7,Lower body,San Jose
440,Perlini Brendan,68,14,7,21,-17,11:36,1069,15.7,LW,"6'3""",211,23,1,3,Concussion,Chicago
441,Perron David,57,23,23,46,3,17:06,1189,20.9,LW,"6'0""",200,31,1,24,Concussion,St. Louis
442,Perry Corey,31,6,4,10,-16,14:49,572,18.5,RW,"6'3""",206,34,1,51,Knee,Anaheim
443,Pesce Brett,73,7,22,29,35,20:29,1826,25,D,"6'3""",206,24,1,9,Lower body,Carolina
444,Petrovic Alex,35,0,2,2,-15,16:32,785,22.4,D,"6'4""",216,27,1,6,Concussion,Edmonton
445,Pettersson Elias,71,28,38,66,3,18:14,1598,22.5,C,"6'2""",176,20,2,6,Concussion,Vancouver
446,Pettersson Elias,71,28,38,66,3,18:14,1598,22.5,C,"6'2""",176,20,2,5,Knee,Vancouver
447,Phaneuf Dion,67,1,5,6,-21,15:00,1420,21.2,D,"6'4""",222,34,1,7,Upper body,Los Angeles
448,Pietrangelo Alex,71,13,28,41,2,24:05:00,2061,29,D,"6'3""",210,29,1,11,Hand,St. Louis
449,Pilut Lawrence,33,1,5,6,-8,17:25,714,21.6,D,"5'11""",191,23,1,3,Lower body,Buffalo
450,Pionk Neal,73,6,20,26,-16,21:10,1998,27.4,D,"6'0""",186,23,3,1,Eye,NY Rangers
451,Pionk Neal,73,6,20,26,-16,21:10,1998,27.4,D,"6'0""",186,23,3,1,Lower body,NY Rangers
452,Pionk Neal,73,6,20,26,-16,21:10,1998,27.4,D,"6'0""",186,23,3,3,Lower body,NY Rangers
453,Pirri Brandon,31,12,6,18,7,14:27,515,16.6,C,"6'0""",186,28,2,4,Lower body,Vegas
454,Pirri Brandon,31,12,6,18,7,14:27,515,16.6,C,"6'0""",186,28,2,2,Neck,Vegas
455,Pitlick Tyler,47,8,4,12,-2,13:23,972,20.7,C,"6'2""",200,27,1,30,Wrist,Dallas
456,Plekanec Tomas,3,1,0,1,0,10:53,58,19.3,C,"5'11""",193,36,1,10,Back,Montreal
457,Point Brayden,79,41,51,92,27,18:55,1675,21.2,C,"5'10""",166,23,1,1,Lower body,Tampa Bay
458,Puljujarvi Jesse,46,4,5,9,-14,11:57,769,16.7,RW,"6'4""",201,21,1,25,Hip,Edmonton
459,Pysyk Mark,70,1,10,11,-1,18:16,1798,25.7,D,"6'1""",200,27,1,6,Upper body,Florida
460,Quenneville John,19,1,0,1,-1,11:19,288,15.2,C,"6'1""",195,23,2,2,Upper body,New Jersey
461,Quenneville John,19,1,0,1,-1,11:19,288,15.2,C,"6'1""",195,23,2,4,Upper body,New Jersey
462,Radil Lukas,36,7,4,11,7,10:41,550,15.3,LW,"6'4""",200,28,1,4,Lower body,San Jose
463,Radulov Alexander,70,29,43,72,22,19:47,1768,25.3,LW,"6'1""",205,33,2,4,Lower body,Dallas
464,Radulov Alexander,70,29,43,72,22,19:47,1768,25.3,LW,"6'1""",205,33,2,6,Lower body,Dallas
465,Raffl Michael,67,6,12,18,-1,11:25,1083,16.2,LW,"6'0""",200,30,1,14,Lower body,Philadelphia
466,Rakell Rickard,69,18,25,43,-13,18:28,1526,22.1,C,"6'1""",202,26,1,13,Ankle,Anaheim
467,Rask Victor,49,3,6,9,-4,12:06,839,17.1,C,"6'2""",200,26,2,20,Hand,Carolina
468,Rask Victor,49,3,6,9,-4,12:06,839,17.1,C,"6'2""",200,26,2,12,Lower body,Minnesota
469,Rasmussen Michael,62,8,10,18,-8,12:05,1014,16.4,C,"6'6""",221,20,2,10,Hamstring,Detroit
470,Rasmussen Michael,62,8,10,18,-8,12:05,1014,16.4,C,"6'6""",221,20,2,8,Upper body,Detroit
471,Rattie Ty,50,4,7,11,-2,11:21,761,15.2,RW,"6'0""",183,26,1,7,Mid-body,Edmonton
472,Richardson Brad,66,19,8,27,6,15:58,1549,23.5,C,"6'0""",190,34,1,13,Upper body,Arizona/Phoenix
473,Rieder Tobias,67,0,11,11,-8,12:39,1220,18.2,RW,"5'11""",186,26,1,13,Upper body,Edmonton
474,Rinaldo Zac,23,1,2,3,1,7:07,251,10.9,LW,"5'10""",192,29,2,2,Lower body,Nashville
475,Rinaldo Zac,23,1,2,3,1,7:07,251,10.9,LW,"5'10""",192,29,2,30,Shoulder,Nashville
476,Ritchie Brett,53,4,2,6,-7,9:36,814,15.4,RW,"6'4""",220,26,4,1,Hand,Dallas
477,Ritchie Brett,53,4,2,6,-7,9:36,814,15.4,RW,"6'4""",220,26,4,2,Hand,Dallas
478,Ritchie Brett,53,4,2,6,-7,9:36,814,15.4,RW,"6'4""",220,26,4,1,Upper body,Dallas
479,Ritchie Brett,53,4,2,6,-7,9:36,814,15.4,RW,"6'4""",220,26,4,4,Upper body,Dallas
480,Ritchie Nick,60,9,22,31,6,15:00,1153,19.2,LW,"6'2""",234,23,3,2,Lower body,Anaheim
481,Ritchie Nick,60,9,22,31,6,15:00,1153,19.2,LW,"6'2""",234,23,3,4,Upper body,Anaheim
482,Ritchie Nick,60,9,22,31,6,15:00,1153,19.2,LW,"6'2""",234,23,3,6,Upper body,Anaheim
483,Rodewald Jack,6,0,0,0,0,7:04,54,9,RW,"6'2""",189,25,1,4,Abdominal,Ottawa
484,Rodrigues Evan,74,9,20,29,-7,15:49,1528,20.6,LW,"5'11""",182,25,1,2,Upper body,Buffalo
485,Roussel Antoine,65,9,22,31,5,13:46,1402,21.6,LW,"5'11""",199,29,3,4,Concussion,Vancouver
486,Roussel Antoine,65,9,22,31,5,13:46,1402,21.6,LW,"5'11""",199,29,3,12,Knee,Vancouver
487,Roussel Antoine,65,9,22,31,5,13:46,1402,21.6,LW,"5'11""",199,29,3,1,Upper body,Vancouver
488,Rowney Carter,62,7,13,20,0,12:33,1117,18,RW,"6'2""",206,30,1,20,Upper body,Anaheim
489,Ruhwedel Chad,18,1,1,2,-9,16:17,401,22.3,D,"5'11""",191,29,1,19,Upper body,Pittsburgh
490,Russell Kris,72,3,13,16,5,20:26,1858,25.8,D,"5'10""",170,32,1,10,Groin,Edmonton
491,Rust Bryan,72,18,17,35,10,15:54,1610,22.4,RW,"5'11""",192,27,2,1,Lower body,Pittsburgh
492,Rust Bryan,72,18,17,35,10,15:54,1610,22.4,RW,"5'11""",192,27,2,9,Lower body,Pittsburgh
493,Ryan Bobby,78,15,27,42,-29,15:41,1563,20,RW,"6'2""",209,32,1,3,Concussion,Ottawa
494,Saad Brandon,80,23,24,47,-9,17:41,1863,23.3,LW,"6'1""",206,26,1,2,Arm,Chicago
495,Salomaki Miikka,37,3,4,7,5,10:27,540,14.6,RW,"5'11""",203,26,1,34,Upper body,Nashville
496,Sanford Zach,60,8,12,20,8,12:35,1037,17.3,LW,"6'4""",207,24,1,3,Concussion,St. Louis
497,Scandella Marco,63,6,7,13,-13,17:37,1410,22.4,D,"6'3""",208,29,5,1,Lower body,Buffalo
498,Scandella Marco,63,6,7,13,-13,17:37,1410,22.4,D,"6'3""",208,29,5,4,Lower body,Buffalo
499,Scandella Marco,63,6,7,13,-13,17:37,1410,22.4,D,"6'3""",208,29,5,1,Upper body,Buffalo
500,Scandella Marco,63,6,7,13,-13,17:37,1410,22.4,D,"6'3""",208,29,5,4,Upper body,Buffalo
501,Scandella Marco,63,6,7,13,-13,17:37,1410,22.4,D,"6'3""",208,29,5,8,Vertigo,Buffalo
502,Sceviour Colton,59,5,10,15,-2,12:18,1055,17.9,C,"6'0""",192,30,1,17,Hand,Florida
503,Schenn Brayden,72,17,37,54,3,18:35,1642,22.8,RW,"6'1""",200,27,2,4,Upper body,St. Louis
504,Schenn Brayden,72,17,37,54,3,18:35,1642,22.8,RW,"6'1""",200,27,2,6,Upper body,St. Louis
505,Scherbak Nikita,8,1,0,1,-4,10:11,114,14.3,RW,"6'1""",192,23,2,1,Lower body,Los Angeles
506,Scherbak Nikita,8,1,0,1,-4,10:11,114,14.3,RW,"6'1""",192,23,2,8,Lower body,Montreal
507,Schlemko David,18,0,2,2,-1,19:51,469,26.1,D,"6'0""",190,32,2,16,Knee,Montreal
508,Schlemko David,18,0,2,2,-1,19:51,469,26.1,D,"6'0""",190,32,2,7,Upper body,Montreal
509,Schmaltz Nick,40,7,18,25,-12,17:50,847,21.2,C,"6'0""",177,23,1,43,Lower body,Arizona/Phoenix
510,Schultz Justin,29,2,13,15,0,20:30,767,26.4,D,"6'2""",193,28,1,53,Leg,Pittsburgh
511,Schwartz Jaden,69,11,25,36,-6,18:08,1576,22.8,LW,"5'10""",190,27,2,2,Foot,St. Louis
512,Schwartz Jaden,69,11,25,36,-6,18:08,1576,22.8,LW,"5'10""",190,27,2,11,Upper body,St. Louis
513,Seabrook Brent,78,5,23,28,-6,19:06,2018,25.9,D,"6'3""",220,34,1,3,Abdominal,Chicago
514,Seeler Nick,71,2,5,7,-4,12:20,1169,16.5,D,"6'2""",198,26,1,2,Upper body,Minnesota
515,Sekera Andrej,24,0,4,4,3,16:29,548,22.8,D,"6'0""",200,33,1,58,Achilles,Edmonton
516,Shattenkirk Kevin,73,2,26,28,-15,18:56,1685,23.1,D,"6'0""",206,30,1,7,Shoulder,NY Rangers
517,Shaw Andrew,63,19,28,47,17,15:55,1267,20.1,RW,"5'11""",182,27,1,15,Neck,Montreal
518,Sheary Conor,78,14,20,34,-18,14:37,1480,19,LW,"5'8""",175,27,1,4,Upper body,Buffalo
519,Shore Devin,76,10,19,29,-12,14:16,1558,20.5,C,"6'1""",205,24,2,2,Knee,Anaheim
520,Shore Devin,76,10,19,29,-12,14:16,1558,20.5,C,"6'1""",205,24,2,4,Lower body,Dallas
521,Silfverberg Jakob,73,24,19,43,-9,17:06,1639,22.5,RW,"6'1""",204,28,2,5,Finger,Anaheim
522,Silfverberg Jakob,73,24,19,43,-9,17:06,1639,22.5,RW,"6'1""",204,28,2,4,Lower body,Anaheim
523,Simon Dominik,71,8,20,28,8,13:19,1311,18.5,C,"5'11""",190,24,1,8,Lower body,Pittsburgh
524,Sissons Colton,75,15,15,30,20,16:03,1652,22,C,"6'1""",200,25,1,7,Ankle,Nashville
525,Skjei Brady,78,8,17,25,-4,21:14,2141,27.4,D,"6'3""",214,25,1,1,Knee,NY Rangers
526,Smith Brendan,63,4,9,13,-7,15:18,1291,20.5,D,"6'2""",195,30,1,2,Upper body,NY Rangers
527,Smith Craig,76,21,17,38,11,15:08,1545,20.3,RW,"6'1""",208,29,1,6,Lower body,Nashville
528,Smith Zack,70,9,19,28,-6,16:21,1513,21.6,LW,"6'2""",208,31,2,3,Back,Ottawa
529,Smith Zack,70,9,19,28,-6,16:21,1513,21.6,LW,"6'2""",208,31,2,9,Facial,Ottawa
530,Sobotka Vladimir,69,5,8,13,-20,14:11,1320,19.1,LW,"5'10""",184,32,2,3,Upper body,Buffalo
531,Sobotka Vladimir,69,5,8,13,-20,14:11,1320,19.1,LW,"5'10""",184,32,2,5,Upper body,Buffalo
532,Sorensen Marcus,80,17,13,30,10,12:58,1478,18.5,LW,"5'11""",175,27,1,2,Mouth,San Jose
533,Soshnikov Nikita,5,0,0,0,-1,7:10,57,11.4,RW,"5'11""",185,25,1,10,Concussion,St. Louis
534,Spooner Ryan,52,3,6,9,-12,11:26,819,15.8,C,"5'11""",191,27,2,1,Lower body,NY Rangers
535,Spooner Ryan,52,3,6,9,-12,11:26,819,15.8,C,"5'11""",191,27,2,11,Groin,Vancouver
536,Staal Jordan,50,11,17,28,6,18:17,1279,25.6,C,"6'4""",220,30,2,5,Concussion,Carolina
537,Staal Jordan,50,11,17,28,6,18:17,1279,25.6,C,"6'4""",220,30,2,27,Concussion,Carolina
538,Staal Marc,79,3,10,13,-9,19:25,2061,26.1,D,"6'4""",213,32,1,2,Lower body,NY Rangers
539,Stafford Drew,57,5,8,13,-7,12:16,868,15.2,RW,"6'2""",215,33,1,4,Upper body,New Jersey
540,Stastny Paul,50,13,29,42,14,18:06,1006,20.1,C,"6'0""",193,33,1,30,Lower body,Vegas
541,Stecher Troy,78,2,21,23,9,19:55,1915,24.6,D,"5'10""",186,25,1,3,Concussion,Vancouver
542,Stepan Derek,72,15,20,35,-2,19:13,1845,25.6,C,"6'0""",196,29,1,10,Leg,Arizona/Phoenix
543,Stone Michael,14,0,5,5,0,15:56,303,21.6,D,"6'3""",210,29,1,49,Blood clots,Calgary
544,Stralman Anton,47,2,15,17,12,20:31,1113,23.7,D,"5'11""",190,32,2,12,Lower body,Tampa Bay
545,Stralman Anton,47,2,15,17,12,20:31,1113,23.7,D,"5'11""",190,32,2,17,Upper body,Tampa Bay
546,Subban P.K.,63,9,22,31,5,22:40,1731,27.5,D,"6'0""",210,30,1,19,Upper body,Nashville
547,Sundqvist Oskar,74,14,17,31,-1,13:49,1384,18.7,C,"6'3""",209,25,1,8,Upper body,St. Louis
548,Sutter Brandon,26,4,2,6,-12,17:28,676,26,C,"6'3""",190,30,2,26,Hernia,Vancouver
549,Sutter Brandon,26,4,2,6,-12,17:28,676,26,C,"6'3""",190,30,2,30,Shoulder,Vancouver
550,Tanev Brandon,80,14,15,29,9,14:07,1685,21.1,LW,"6'0""",180,27,1,2,Finger,Winnipeg/Atlanta
551,Tarasenko Vladimir,76,33,35,68,8,18:24,1768,23.3,RW,"6'0""",225,27,1,5,Upper body,St. Louis
552,Terry Troy,32,4,9,13,8,13:57,585,18.3,RW,"6'1""",175,21,1,3,Leg,Anaheim
553,Thomas Robert,70,9,24,33,-2,13:04,1181,16.9,C,"6'0""",188,20,1,7,Shoulder,St. Louis
554,Thornton Joe,73,16,35,51,8,15:33,1492,20.4,C,"6'4""",220,40,1,9,Knee,San Jose
555,Tkachuk Brady,71,22,23,45,-10,16:01,1442,20.3,LW,"6'3""",196,19,2,2,Groin,Ottawa
556,Tkachuk Brady,71,22,23,45,-10,16:01,1442,20.3,LW,"6'3""",196,19,2,9,Leg,Ottawa
557,Trocheck Vincent,55,10,24,34,-9,19:40,1366,24.8,C,"5'10""",186,25,1,27,Ankle,Florida
558,Turris Kyle,55,7,16,23,-6,15:42,1109,20.2,C,"6'1""",190,29,1,17,Lower body,Nashville
559,Vaakanainen Urho,2,0,0,0,-1,9:06,25,12.5,D,"6'1""",185,20,1,26,Concussion,Boston
560,Valimaki Juuso,24,1,2,3,-2,15:29,475,19.8,D,"6'2""",212,20,1,28,Lower body,Calgary
561,Vanek Thomas,64,16,20,36,-12,14:07,1188,18.6,LW,"6'2""",214,35,3,3,Hip,Detroit
562,Vanek Thomas,64,16,20,36,-12,14:07,1188,18.6,LW,"6'2""",214,35,3,8,Lower body,Detroit
563,Vanek Thomas,64,16,20,36,-12,14:07,1188,18.6,LW,"6'2""",214,35,3,7,Mid-body,Detroit
564,Vatanen Sami,50,4,13,17,-17,21:44,1317,26.3,D,"5'10""",185,28,2,14,Concussion,New Jersey
565,Vatanen Sami,50,4,13,17,-17,21:44,1317,26.3,D,"5'10""",185,28,2,3,Lower body,New Jersey
566,Virtanen Jake,70,15,10,25,-4,14:49,1522,21.7,RW,"6'1""",226,22,2,2,Lower body,Vancouver
567,Virtanen Jake,70,15,10,25,-4,14:49,1522,21.7,RW,"6'1""",226,22,2,10,Ribs,Vancouver
568,Vlasic Marc-Edouard,72,3,22,25,-6,21:03,1847,25.7,D,"6'1""",205,32,1,10,Wrist,San Jose
569,Voracek Jakub,78,20,46,66,-16,18:40,1777,22.8,RW,"6'2""",214,29,1,2,Lower body,Philadelphia
570,Wagner Austin,62,12,9,21,2,8:56,827,13.3,LW,"6'1""",185,22,2,4,Lower body,Los Angeles
571,Wagner Austin,62,12,9,21,2,8:56,827,13.3,LW,"6'1""",185,22,2,1,Upper body,Los Angeles
572,Wagner Chris,76,12,7,19,3,13:27,1373,18.1,RW,"6'0""",198,28,2,1,Lower body,Boston
573,Wagner Chris,76,12,7,19,3,13:27,1373,18.1,RW,"6'0""",198,28,2,2,Lower body,Boston
574,Walker Sean,39,3,7,10,-8,15:26,783,20.1,D,"5'11""",196,24,1,2,Facial,Los Angeles
575,Weber Shea,58,14,19,33,15,23:29,1572,27.1,D,"6'4""",229,33,1,24,Knee,Montreal
576,Weber Yannick,62,2,6,8,7,11:55,1039,16.8,D,"5'11""",200,30,1,1,Upper body,Nashville
577,White Colin,71,14,27,41,-24,16:12,1455,20.5,C,"6'0""",183,22,2,5,Neck,Ottawa
578,White Colin,71,14,27,41,-24,16:12,1455,20.5,C,"6'0""",183,22,2,5,Shoulder,Ottawa
579,Wideman Chris,25,2,5,7,-12,13:03,470,18.8,D,"5'10""",180,29,1,1,Lower body,Ottawa
580,Wilson Colin,65,12,15,27,-6,13:34,1182,18.2,C,"6'1""",221,29,3,1,Lower body,Colorado
581,Wilson Colin,65,12,15,27,-6,13:34,1182,18.2,C,"6'1""",221,29,3,8,Shoulder,Colorado
582,Wilson Colin,65,12,15,27,-6,13:34,1182,18.2,C,"6'1""",221,29,3,8,Upper body,Colorado
583,Wilson Scott,15,0,3,3,-8,11:27,245,16.3,RW,"5'11""",183,27,1,43,Ankle,Buffalo
584,Wood Miles,63,10,14,24,-10,13:42,1113,17.7,LW,"6'2""",195,23,3,12,Ankle,New Jersey
585,Wood Miles,63,10,14,24,-10,13:42,1113,17.7,LW,"6'2""",195,23,3,4,Arm,New Jersey
586,Wood Miles,63,10,14,24,-10,13:42,1113,17.7,LW,"6'2""",195,23,3,3,Lower body,New Jersey
587,Yakovlev Egor,25,2,5,7,-6,15:40,504,20.2,D,"6'0""",190,27,1,2,Upper body,New Jersey
588,Yamamoto Kailer,17,1,1,2,-6,13:04,298,17.5,RW,"5'8""",153,20,1,8,Upper body,Edmonton
589,Zacha Pavel,61,13,12,25,-6,16:05,1224,20.1,C,"6'3""",210,22,1,16,Upper body,New Jersey
590,Zadorov Nikita,70,7,7,14,19,17:12,1487,21.2,D,"6'5""",230,24,2,10,Lower body,Colorado
591,Zadorov Nikita,70,7,7,14,19,17:12,1487,21.2,D,"6'5""",230,24,2,1,Upper body,Colorado
592,Zajac Travis,80,19,27,46,-25,19:16,1818,22.7,C,"6'2""",185,34,1,1,Lower body,New Jersey
593,Zuccarello Mats,48,12,28,40,-8,19:51,1129,23.5,RW,"5'8""",184,31,4,17,Arm,Dallas
594,Zuccarello Mats,48,12,28,40,-8,19:51,1129,23.5,RW,"5'8""",184,31,4,1,Foot,NY Rangers
595,Zuccarello Mats,48,12,28,40,-8,19:51,1129,23.5,RW,"5'8""",184,31,4,3,Groin,NY Rangers
596,Zuccarello Mats,48,12,28,40,-8,19:51,1129,23.5,RW,"5'8""",184,31,4,7,Groin,NY Rangers
