,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
59,D,"6'2""",227,Boychuk Johnny,35,1,2,Concussion,NY Islanders
60,C,"5'11""",185,Boyd Travis,25,1,12,Lower body,Washington
61,C,"6'6""",245,Boyle Brian,34,2,1,Lower body,Nashville
62,C,"6'6""",245,Boyle Brian,34,2,5,Upper body,New Jersey
63,C,"6'1""",199,Bozak Tyler,33,1,9,Concussion,St. Louis
64,C,"6'1""",202,Brassard Derick,31,3,1,Upper body,Florida
65,C,"6'1""",202,Brassard Derick,31,3,9,Lower body,Pittsburgh
66,C,"6'1""",202,Brassard Derick,31,3,1,Upper body,Pittsburgh
67,LW,"5'10""",175,Bratt Jesper,20,3,13,Jaw,New Jersey
68,LW,"5'10""",175,Bratt Jesper,20,3,2,Lower body,New Jersey
69,LW,"5'10""",175,Bratt Jesper,20,3,15,Lower body,New Jersey
70,D,"6'2""",205,Braun Justin,32,1,4,Knee,San Jose
71,D,"6'2""",175,Brisebois Guillaume,21,1,7,Hip,Vancouver
72,RW,"6'1""",208,Brodzinski Jonny,26,1,59,Shoulder,Los Angeles
73,G,"6'3""",204,Brossoit Laurent,26,1,8,Lower body,Winnipeg/Atlanta
74,RW,"6'0""",210,Brown Dustin,34,1,10,Finger,Los Angeles
75,RW,"6'3""",196,Buchnevich Pavel,24,2,1,Concussion,NY Rangers
76,RW,"6'3""",196,Buchnevich Pavel,24,2,13,Thumb,NY Rangers
77,D,"5'10""",190,Butcher Will,24,1,1,Lower body,New Jersey
78,D,"6'5""",4,Byfuglien Dustin,34,4,19,Ankle,Winnipeg/Atlanta
79,D,"6'5""",4,Byfuglien Dustin,34,4,4,Concussion,Winnipeg/Atlanta
80,D,"6'5""",4,Byfuglien Dustin,34,4,15,Leg,Winnipeg/Atlanta
81,D,"6'5""",4,Byfuglien Dustin,34,4,2,Upper body,Winnipeg/Atlanta
82,RW,"5'9""",163,Byron Paul,30,4,6,Arm,Montreal
83,RW,"5'9""",163,Byron Paul,30,4,14,Lower body,Montreal
84,RW,"5'9""",163,Byron Paul,30,4,2,Upper body,Montreal
85,RW,"5'9""",163,Byron Paul,30,4,1,Wrist,Montreal
86,C,"5'10""",176,Caggiula Drake,25,3,13,Concussion,Chicago
87,C,"5'10""",176,Caggiula Drake,25,3,4,Hand,Edmonton
88,C,"5'10""",176,Caggiula Drake,25,3,3,Lower body,Edmonton
89,RW,"5'10""",187,Callahan Ryan,34,2,4,Shoulder,Tampa Bay
90,RW,"5'10""",187,Callahan Ryan,34,2,2,Upper body,Tampa Bay
91,G,"6'2""",197,Campbell Jack,27,1,23,Knee,Los Angeles
92,D,"6'1""",196,Capobianco Kyle,21,1,28,Lower body,Arizona/Phoenix
93,D,"6'5""",212,Carlo Brandon,22,1,9,Upper body,Boston
94,D,"6'3""",218,Carlson John,29,1,1,Lower body,Washington
95,C,"6'0""",200,Carpenter Ryan,28,1,8,Upper body,Vegas
96,D,"5'11""",192,Carrick Connor,25,1,27,Foot,Dallas
97,LW,"6'2""",212,Carrier William,24,1,14,Upper body,Vegas
98,C,"6'3""",219,Carter Jeff,34,2,5,Lower body,Los Angeles
99,C,"6'3""",219,Carter Jeff,34,2,1,Upper body,Los Angeles
100,D,"6'2""",209,Ceci Cody,25,2,3,Upper body,Ottawa
101,D,"6'2""",209,Ceci Cody,25,2,4,Upper body,Ottawa
102,LW,"6'2""",202,Cehlarik Peter,23,1,2,Lower body,Boston
103,D,"6'4""",225,Cernak Erik,22,1,2,Lower body,Tampa Bay
104,D,"6'2""",196,Chabot Thomas,22,2,4,Toe,Ottawa
105,D,"6'2""",196,Chabot Thomas,22,2,8,Upper body,Ottawa
106,D,"6'9""",250,Chara Zdeno,42,1,19,Knee,Boston
107,D,"6'3""",219,Chiarot Ben,28,1,4,Lower body,Winnipeg/Atlanta
108,RW,"6'4""",208,Chiasson Alex,28,1,3,Knee,Edmonton
109,D,"6'1""",165,Cholowski Dennis,21,1,2,Upper body,Detroit
110,D,"6'2""",210,Chychrun Jakob,21,3,16,Knee,Arizona/Phoenix
111,D,"6'2""",210,Chychrun Jakob,21,3,4,Lower body,Arizona/Phoenix
112,D,"6'2""",210,Chychrun Jakob,21,3,2,Upper body,Arizona/Phoenix
113,C,"5'11""",195,Cizikas Casey,28,3,1,Lower body,NY Islanders
114,C,"5'11""",195,Cizikas Casey,28,3,2,Lower body,NY Islanders
115,C,"5'11""",195,Cizikas Casey,28,3,6,Lower body,NY Islanders
116,D,"6'1""",196,Claesson Fredrik,26,2,13,Shoulder,NY Rangers
117,D,"6'1""",196,Claesson Fredrik,26,2,9,Upper body,NY Rangers
118,LW,"6'2""",211,Clifford Kyle,28,1,7,Upper body,Los Angeles
119,RW,"5'11""",216,Clutterbuck Cal,31,3,1,Lower body,NY Islanders
120,RW,"5'11""",216,Clutterbuck Cal,31,3,2,Upper body,NY Islanders
121,RW,"5'11""",216,Clutterbuck Cal,31,3,3,Upper body,NY Islanders
122,D,"6'5""",223,Coburn Braydon,34,1,1,Upper body,Tampa Bay
123,C,"5'10""",177,Cogliano Andrew,32,1,3,Upper body,Dallas
124,D,"6'1""",219,Cole Ian,30,1,11,Orbital bone,Colorado
125,C,"5'11""",200,Coleman Blake,27,1,4,Upper body,New Jersey
126,LW,"6'1""",200,Comeau Blake,33,1,3,Upper body,Dallas
127,LW,"6'0""",193,Compher J.T.,24,1,16,Concussion,Colorado
128,LW,"6'2""",205,Comtois Maxime,20,1,14,Lower body,Anaheim
129,D,"6'2""",205,Connauton Kevin,29,2,1,Lower body,Arizona/Phoenix
130,D,"6'2""",205,Connauton Kevin,29,2,5,Lower body,Arizona/Phoenix
131,C,"6'1""",206,Copp Andrew,24,1,3,Concussion,Winnipeg/Atlanta
132,C,"6'3""",211,Couturier Sean,26,1,2,Lower body,Philadelphia
133,G,"6'2""",216,Crawford Corey,34,3,5,Concussion,Chicago
134,G,"6'2""",216,Crawford Corey,34,3,28,Concussion,Chicago
135,G,"6'2""",216,Crawford Corey,34,3,1,Groin,Chicago
136,C,"5'11""",200,Crosby Sidney,31,1,3,Upper body,Pittsburgh
137,C,"6'1""",202,Cullen Matt,42,1,11,Lower body,Pittsburgh
138,D,"5'11""",195,Daley Trevor,35,5,2,Back,Detroit
139,D,"5'11""",195,Daley Trevor,35,5,11,Back,Detroit
140,D,"5'11""",195,Daley Trevor,35,5,16,Foot,Detroit
141,D,"5'11""",195,Daley Trevor,35,5,5,Lower body,Detroit
142,D,"5'11""",195,Daley Trevor,35,5,4,Upper body,Detroit
143,G,"6'6""",232,Darling Scott,30,1,8,Lower body,Carolina
144,D,"6'2""",208,Davidson Brandon,27,1,24,Leg,Chicago
145,LW,"6'0""",188,DeBrusk Jake,22,2,9,Concussion,Boston
146,LW,"6'0""",188,DeBrusk Jake,22,2,5,Foot,Boston
147,D,"6'3""",192,DeKeyser Danny,29,3,8,Hand,Detroit
148,D,"6'3""",192,DeKeyser Danny,29,3,19,Hand,Detroit
149,D,"6'3""",192,DeKeyser Danny,29,3,3,Lower body,Detroit
150,D,"6'1""",195,DeMelo Dylan,26,1,5,Upper body,Ottawa
151,D,"6'1""",195,Demers Jason,31,1,47,Knee,Arizona/Phoenix
152,G,"6'4""",192,Demko Thatcher,23,1,9,Knee,Vancouver
153,D,"6'0""",204,Dermott Travis,22,1,14,Shoulder,Toronto
154,LW,"6'1""",221,Deslauriers Nicolas,28,1,6,Facial,Montreal
155,C,"6'2""",200,Dickinson Jason,24,2,11,Back,Dallas
156,C,"6'2""",200,Dickinson Jason,24,2,2,Lower body,Dallas
157,D,"6'0""",169,Djoos Christian,24,1,24,Thigh,Washington
158,G,"6'3""",210,Domingue Louis,27,1,4,Lower body,Tampa Bay
159,C,"5'10""",180,Dowling Justin,28,1,3,Upper body,Dallas
160,LW,"5'10""",183,Dube Dillon,20,2,4,Concussion,Calgary
161,LW,"5'10""",183,Dube Dillon,20,2,1,Lower body,Calgary
162,C,"6'2""",205,Dubinsky Brandon,33,3,7,Hip,Columbus
163,C,"6'2""",205,Dubinsky Brandon,33,3,4,Lower body,Columbus
164,C,"6'2""",205,Dubinsky Brandon,33,3,10,Oblique,Columbus
165,C,"5'11""",195,Duchene Matt,28,1,6,Groin,Ottawa
166,D,"6'4""",207,Dumoulin Brian,27,2,3,Concussion,Pittsburgh
167,D,"6'4""",207,Dumoulin Brian,27,2,3,Lower body,Pittsburgh
168,D,"6'0""",203,Dunn Vince,22,1,2,Lower body,St. Louis
169,C,"6'0""",195,Dvorak Christian,23,2,4,Lower body,Arizona/Phoenix
170,C,"6'0""",195,Dvorak Christian,23,2,58,Pectoral,Arizona/Phoenix
171,LW,"6'0""",190,Dzingel Ryan,27,1,2,Lower body,Ottawa
172,C,"6'0""",190,Eakin Cody,28,1,3,Lower body,Vegas
173,RW,"5'11""",203,Eaves Patrick,35,2,33,Ribs,Anaheim
174,RW,"5'11""",203,Eaves Patrick,35,2,13,Shoulder,Anaheim
175,RW,"5'11""",187,Eberle Jordan,29,1,4,Upper body,NY Islanders
176,D,"6'3""",212,Edler Alexander,33,2,11,Concussion,Vancouver
177,D,"6'3""",212,Edler Alexander,33,2,15,Knee,Vancouver
178,D,"6'4""",215,Edmundson Joel,26,3,2,Groin,St. Louis
179,D,"6'4""",215,Edmundson Joel,26,3,2,Hand,St. Louis
180,D,"6'4""",215,Edmundson Joel,26,3,11,Lower body,St. Louis
181,LW,"6'0""",172,Ehlers Nikolaj,23,1,20,Shoulder,Winnipeg/Atlanta
182,C,"6'2""",206,Eichel Jack,22,1,3,Upper body,Buffalo
183,D,"6'2""",200,Ekman-Larsson Oliver,27,1,1,Knee,Arizona/Phoenix
184,C,"6'2""",207,Eller Lars,30,1,1,Lower body,Washington
185,G,"6'2""",209,Elliott Brian,34,1,40,Lower body,Philadelphia
186,D,"6'2""",214,Engelland Deryk,37,1,3,Arm,Vegas
187,LW,"5'9""",161,Ennis Tyler,29,1,18,Ankle,Toronto
188,D,"6'4""",220,Ericsson Jonathan,35,2,5,Lower body,Detroit
189,D,"6'4""",220,Ericsson Jonathan,35,2,7,Upper body,Detroit
190,C,"6'1""",208,Eriksson Ek Joel,22,2,6,Lower body,Minnesota
191,C,"6'1""",208,Eriksson Ek Joel,22,2,7,Lower body,Minnesota
192,LW,"6'1""",214,Erne Adam,24,1,1,Upper body,Tampa Bay
193,LW,"5'10""",190,Fabbri Robby,23,2,10,Groin,St. Louis
194,LW,"5'10""",190,Fabbri Robby,23,2,10,Shoulder,St. Louis
195,C,"6'3""",220,Faksa Radek,25,1,1,Neck,Dallas
196,D,"6'5""",224,Falk Justin,30,1,12,Concussion,Ottawa
197,D,"6'0""",206,Fantenberg Oscar,27,1,3,Lower body,Los Angeles
198,RW,"6'1""",192,Fast Jesper,27,2,5,Upper body,NY Rangers
199,RW,"6'1""",192,Fast Jesper,27,2,10,Upper body,NY Rangers
200,LW,"6'1""",217,Ferland Micheal,27,5,1,Back,Carolina
201,LW,"6'1""",217,Ferland Micheal,27,5,4,Concussion,Carolina
202,LW,"6'1""",217,Ferland Micheal,27,5,1,Upper body,Carolina
203,LW,"6'1""",217,Ferland Micheal,27,5,2,Upper body,Carolina
204,LW,"6'1""",217,Ferland Micheal,27,5,3,Upper body,Carolina
205,C,"6'0""",196,Filppula Valtteri,35,2,2,Upper body,NY Islanders
206,C,"6'0""",196,Filppula Valtteri,35,2,8,Upper body,NY Islanders
207,D,"6'3""",221,Fleury Haydn,22,2,3,Concussion,Carolina
208,D,"6'3""",221,Fleury Haydn,22,2,9,Concussion,Carolina
209,G,"6'2""",180,Fleury Marc-Andre,34,1,9,Lower body,Vegas
210,LW,"6'2""",174,Formenton Alex,19,1,3,Concussion,Ottawa
211,LW,"6'1""",205,Forsberg Filip,24,2,1,Upper body,Nashville
212,LW,"6'1""",205,Forsberg Filip,24,2,17,Upper body,Nashville
213,D,"6'0""",186,Forsling Gustav,23,3,6,Shoulder,Chicago
214,D,"6'0""",186,Forsling Gustav,23,3,8,Torso,Chicago
215,D,"6'0""",186,Forsling Gustav,23,3,8,Wrist,Chicago
216,D,"6'2""",206,Fowler Cam,27,1,23,Facial,Anaheim
217,C,"5'11""",192,Fritz Tanner,27,1,5,Hand,NY Islanders
218,RW,"6'1""",190,Frolik Michael,31,1,15,Lower body,Calgary
219,LW,"6'1""",205,Gaborik Marian,37,1,82,Back,Ottawa
220,RW,"6'4""",212,Gabriel Kurtis,26,1,3,Upper body,New Jersey
221,C,"6'1""",207,Galchenyuk Alex,25,2,3,Lower body,Arizona/Phoenix
222,C,"6'1""",207,Galchenyuk Alex,25,2,7,Lower body,Arizona/Phoenix
223,D,"6'2""",203,Gardiner Jake,29,2,2,Back,Toronto
224,D,"6'2""",203,Gardiner Jake,29,2,18,Back,Toronto
225,C,"6'5""",235,Gauthier Frederik,24,1,2,Foot,Toronto
226,C,"6'4""",225,Getzlaf Ryan,34,4,5,Groin,Anaheim
227,C,"6'4""",225,Getzlaf Ryan,34,4,1,Upper body,Anaheim
228,C,"6'4""",225,Getzlaf Ryan,34,4,4,Upper body,Anaheim
229,C,"6'4""",225,Getzlaf Ryan,34,4,5,Upper body,Anaheim
230,C,"5'8""",175,Gibbons Brian,31,1,1,Hand,Anaheim
231,G,"6'2""",206,Gibson John,25,1,9,Upper body,Anaheim
232,D,"6'1""",212,Girardi Dan,35,1,13,Lower body,Tampa Bay
233,LW,"6'2""",207,Girgensons Zemgus,25,1,4,Upper body,Buffalo
234,D,"5'11""",185,Goligoski Alex,33,1,5,Lower body,Arizona/Phoenix
235,D,"5'11""",180,Gostisbehere Shayne,26,1,3,Lower body,Philadelphia
236,RW,"6'1""",188,Grabner Michael,31,1,41,Eye,Arizona/Phoenix
237,C,"6'3""",215,Grant Derek,29,1,3,Upper body,Anaheim
238,D,"6'1""",207,Green Mike,33,1,13,Lower body,Detroit
239,C,"5'6""",180,Grimaldi Rocco,26,1,6,Upper body,Nashville
240,D,"5'9""",174,Grzelcyk Matt,25,3,8,Arm,Boston
241,D,"5'9""",174,Grzelcyk Matt,25,3,2,Lower body,Boston
242,D,"5'9""",174,Grzelcyk Matt,25,3,4,Lower body,Boston
243,D,"6'5""",217,Gudbranson Erik,27,2,2,Back,Vancouver
244,D,"6'5""",217,Gudbranson Erik,27,2,3,Neck,Vancouver
245,D,"6'2""",197,Guhle Brendan,21,1,14,Oblique,Anaheim
246,D,"6'2""",198,Gunnarsson Carl,32,3,10,Knee,St. Louis
247,D,"6'2""",198,Gunnarsson Carl,32,3,20,Upper body,St. Louis
248,D,"6'2""",198,Gunnarsson Carl,32,3,24,Upper body,St. Louis
249,LW,"5'11""",186,Hagelin Carl,30,1,20,Knee,Los Angeles
250,D,"6'2""",196,Hajek Libor,21,1,14,Shoulder,NY Rangers
251,LW,"6'1""",205,Hall Taylor,27,2,47,Knee,New Jersey
252,LW,"6'1""",205,Hall Taylor,27,2,2,Lower body,New Jersey
253,D,"6'1""",204,Hamhuis Dan,36,2,9,Lower body,Nashville
254,D,"6'1""",204,Hamhuis Dan,36,2,14,Lower body,Nashville
255,D,"6'2""",205,Hamonic Travis,28,2,8,Facial,Calgary
256,D,"6'2""",205,Hamonic Travis,28,2,1,Lower body,Calgary
257,LW,"6'1""",200,Hannikainen Markus,26,1,6,Upper body,Columbus
258,C,"6'6""",230,Hanzal Martin,32,3,1,Back,Dallas
259,C,"6'6""",230,Hanzal Martin,32,3,29,Back,Dallas
260,C,"6'6""",230,Hanzal Martin,32,3,45,Back,Dallas
261,D,"6'6""",222,Harpur Ben,24,1,4,Shoulder,Ottawa
262,D,"6'2""",207,Harrington Scott,26,1,2,Concussion,Columbus
263,G,"6'2""",181,Hart Carter,20,1,7,Ankle,Philadelphia
264,C,"6'0""",193,Haula Erik,28,1,67,Lower body,Vegas
265,C,"5'11""",196,Hawryluk Jayce,23,1,4,Lower body,Florida
266,C,"6'5""",216,Hayes Kevin,27,1,9,Upper body,NY Rangers
267,D,"6'6""",223,Hedman Victor,28,3,1,Lower body,Tampa Bay
268,D,"6'6""",223,Hedman Victor,28,3,4,Upper body,Tampa Bay
269,D,"6'6""",223,Hedman Victor,28,3,7,Upper body,Tampa Bay
270,LW,"6'0""",196,Helm Darren,32,1,21,Upper body,Detroit
271,C,"6'0""",211,Hendricks Matt,38,2,6,Leg,Minnesota
272,C,"6'0""",211,Hendricks Matt,38,2,3,Upper body,Minnesota
273,C,"6'2""",215,Hertl Tomas,25,2,3,Head,San Jose
274,C,"6'2""",215,Hertl Tomas,25,2,2,Lower body,San Jose
275,D,"6'0""",183,Hickey Thomas,30,1,29,Upper body,NY Islanders
276,C,"5'9""",173,Hinostroza Vinnie,25,1,10,Lower body,Arizona/Phoenix
277,C,"6'1""",175,Hischier Nico,20,2,4,Upper body,New Jersey
278,C,"6'1""",175,Hischier Nico,20,2,9,Upper body,New Jersey
279,G,"6'2""",211,Holtby Braden,29,1,2,Upper body,Washington
280,D,"6'3""",206,Holzer Korbinian,31,1,42,Wrist,Anaheim
281,RW,"5'11""",189,Hornqvist Patric,32,3,3,Concussion,Pittsburgh
282,RW,"5'11""",189,Hornqvist Patric,32,3,4,Concussion,Pittsburgh
283,RW,"5'11""",189,Hornqvist Patric,32,3,6,Upper body,Pittsburgh
284,G,"6'1""",218,Howard Jimmy,35,1,1,Back,Detroit
285,C,"6'3""",195,Howden Brett,21,1,15,Knee,NY Rangers
286,D,"5'10""",175,Hughes Quinn,19,1,8,Ankle,Vancouver
287,D,"5'11""",200,Hunwick Matt,34,4,1,Lower body,Buffalo
288,D,"5'11""",200,Hunwick Matt,34,4,3,Lower body,Buffalo
289,D,"5'11""",200,Hunwick Matt,34,4,32,Neck,Buffalo
290,D,"5'11""",200,Hunwick Matt,34,4,9,Upper body,Buffalo
291,D,"6'2""",206,Hutton Ben,26,1,11,Foot,Vancouver
292,G,"6'1""",202,Hutton Carter,33,1,1,Upper body,Buffalo
293,LW,"6'1""",209,Hyman Zach,27,1,8,Ankle,Toronto
294,C,"5'11""",186,Jarnkrok Calle,27,1,3,Lower body,Nashville
295,D,"6'3""",201,Jaros Christian,23,4,3,Finger,Ottawa
296,D,"6'3""",201,Jaros Christian,23,4,4,Hamstring,Ottawa
297,D,"6'3""",201,Jaros Christian,23,4,2,Lower body,Ottawa
298,D,"6'3""",201,Jaros Christian,23,4,4,Lower body,Ottawa
299,C,"6'2""",206,Jenner Boone,26,1,3,Ankle,Columbus
300,LW,"6'1""",205,Johansson Marcus,28,3,10,Lung,Boston
301,LW,"6'1""",205,Johansson Marcus,28,3,1,Lower body,New Jersey
302,LW,"6'1""",205,Johansson Marcus,28,3,10,Upper body,New Jersey
303,D,"6'4""",225,Johns Stephen,27,1,82,Head,Dallas
304,G,"6'3""",197,Johnson Chad,33,1,26,Head,Anaheim
305,D,"6'4""",225,Johnson Erik,31,1,2,Concussion,Colorado
306,C,"5'8""",183,Johnson Tyler,28,2,1,Lower body,Tampa Bay
307,C,"5'8""",183,Johnson Tyler,28,2,1,Upper body,Tampa Bay
308,LW,"5'10""",181,Johnsson Andreas,24,2,1,Concussion,Toronto
309,LW,"5'10""",181,Johnsson Andreas,24,2,1,Leg,Toronto
310,D,"6'4""",210,Jones Seth,24,1,7,Knee,Columbus
311,RW,"6'1""",190,Joseph Mathieu,22,1,6,Lower body,Tampa Bay
312,C,"5'11""",191,Jost Tyson,21,1,4,Head,Colorado
313,D,"6'2""",174,Juulsen Noah,22,2,9,Facial,Montreal
314,D,"6'2""",174,Juulsen Noah,22,2,2,Upper body,Montreal
315,C,"6'0""",192,Kadri Nazem,28,1,8,Concussion,Toronto
316,C,"6'2""",194,Kamenev Vladislav,22,1,52,Shoulder,Colorado
317,C,"6'2""",188,Kampf David,24,2,2,Facial,Chicago
318,C,"6'2""",188,Kampf David,24,2,12,Foot,Chicago
319,LW,"6'2""",210,Kane Evander,27,1,5,Mid-body,San Jose
320,RW,"6'1""",192,Kapanen Kasperi,22,1,4,Concussion,Toronto
321,D,"6'0""",190,Karlsson Erik,29,3,1,Groin,San Jose
322,D,"6'0""",190,Karlsson Erik,29,3,17,Groin,San Jose
323,D,"6'0""",190,Karlsson Erik,29,3,9,Lower body,San Jose
324,C,"6'0""",180,Karlsson Melker,28,1,3,Lower body,San Jose
325,RW,"5'11""",186,Kase Ondrej,23,2,18,Concussion,Anaheim
326,RW,"5'11""",186,Kase Ondrej,23,2,34,Shoulder,Anaheim
327,RW,"6'3""",211,Kassian Zack,28,1,1,Neck,Edmonton
328,C,"6'2""",201,Kempe Adrian,22,1,1,Upper body,Los Angeles
329,RW,"6'0""",185,Kempe Mario,30,1,2,Upper body,Arizona/Phoenix
330,D,"6'0""",194,Kempny Michal,28,2,8,Hamstring,Washington
331,D,"6'0""",194,Kempny Michal,28,2,2,Upper body,Washington
332,C,"5'10""",175,Kerfoot Alexander,24,1,4,Upper body,Colorado
333,C,"6'2""",206,Kesler Ryan,34,3,3,Hip,Anaheim
334,C,"6'2""",206,Kesler Ryan,34,3,14,Hip,Anaheim
335,C,"6'2""",206,Kesler Ryan,34,3,5,Lower body,Anaheim
336,LW,"6'4""",212,Khaira Jujhar,24,1,5,Foot,Edmonton
337,D,"6'0""",207,Kiselevich Bogdan,29,1,2,Jaw,Florida
338,D,"6'3""",216,Klefbom Oscar,25,1,21,Hand,Edmonton
339,D,"6'2""",180,Klingberg John,26,1,18,Hand,Dallas
340,RW,"6'2""",195,Knight Corban,28,2,44,Collarbone,Philadelphia
341,RW,"6'2""",195,Knight Corban,28,2,5,Upper body,Philadelphia
342,C,"6'3""",219,Koivu Mikko,36,2,29,Knee,Minnesota
343,C,"6'3""",219,Koivu Mikko,36,2,4,Lower body,Minnesota
344,LW,"6'3""",222,Kovalchuk Ilya,36,2,10,Ankle,Los Angeles
345,LW,"6'3""",222,Kovalchuk Ilya,36,2,1,Upper body,Los Angeles
346,LW,"6'3""",216,Kreider Chris,28,1,3,Lower body,NY Rangers
347,D,"5'9""",186,Krug Torey,28,2,11,Ankle,Boston
348,D,"5'9""",186,Krug Torey,28,2,6,Concussion,Boston
349,C,"6'0""",186,Kruger Marcus,29,2,4,Concussion,Chicago
350,C,"6'0""",186,Kruger Marcus,29,2,3,Leg,Chicago
351,G,"6'5""",215,Kuemper Darcy,29,2,7,Lower body,Arizona/Phoenix
352,G,"6'5""",215,Kuemper Darcy,29,2,1,Upper body,Arizona/Phoenix
353,D,"6'1""",204,Kulikov Dmitry,28,2,4,Upper body,Winnipeg/Atlanta
354,D,"6'1""",204,Kulikov Dmitry,28,2,12,Upper body,Winnipeg/Atlanta
355,C,"6'0""",195,Kunin Luke,21,1,2,Upper body,Minnesota
356,C,"6'2""",213,Kuraly Sean,26,2,2,Concussion,Boston
357,C,"6'2""",213,Kuraly Sean,26,2,8,Hand,Boston
358,C,"6'2""",204,Kuznetsov Evgeny,27,1,6,Upper body,Washington
359,D,"6'2""",200,LaDue Paul,26,1,5,Upper body,Los Angeles
360,LW,"6'3""",192,Ladd Andrew,33,2,6,Knee,NY Islanders
361,LW,"6'3""",192,Ladd Andrew,33,2,44,Leg,NY Islanders
362,LW,"6'1""",215,Landeskog Gabriel,26,1,9,Shoulder,Colorado
363,RW,"6'1""",198,Larkin Dylan,22,2,5,Neck,Detroit
364,RW,"6'1""",198,Larkin Dylan,22,2,1,Oblique,Detroit
365,D,"6'2""",197,Larsson Jacob,22,1,4,Charley horse,Anaheim
366,C,"5'11""",198,Larsson Johan,26,2,3,Foot,Buffalo
367,C,"5'11""",198,Larsson Johan,26,2,2,Upper body,Buffalo
368,G,"6'4""",240,Lehner Robin,27,2,1,Back,NY Islanders
369,G,"6'4""",240,Lehner Robin,27,2,3,Upper body,NY Islanders
370,LW,"5'10""",179,Leipsic Brendan,25,1,9,Lower body,Los Angeles
371,LW,"6'2""",192,Leivo Josh,26,1,3,Back,Vancouver
372,D,"6'0""",201,Letang Kris,32,3,1,Lower body,Pittsburgh
