,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
456,LW,"5'11""",190,Nieto Matt,26,2,2,Lower body,Colorado
457,LW,"5'11""",190,Nieto Matt,26,2,15,Lower body,Colorado
458,G,"6'6""",232,Nilsson Anders,29,1,11,Finger,Vancouver
459,D,"6'1""",203,Niskanen Matt,32,1,2,Head,Washington
460,RW,"6'1""",205,Noesen Stefan,26,3,23,Lower body,New Jersey
461,RW,"6'1""",205,Noesen Stefan,26,3,1,Upper body,New Jersey
462,RW,"6'1""",205,Noesen Stefan,26,3,4,Upper body,New Jersey
463,C,"6'1""",194,Nordstrom Joakim,27,1,10,Leg,Boston
464,LW,"6'3""",210,Nosek Tomas,26,1,1,Lower body,Vegas
465,LW,"6'1""",196,Nylander Alexander,21,1,2,Leg,Buffalo
466,D,"6'0""",182,Oesterle Jordan,27,1,1,Upper body,Arizona/Phoenix
467,RW,"6'0""",220,Okposo Kyle,31,1,4,Concussion,Buffalo
468,D,"6'7""",255,Oleksiak Jamie,26,1,3,Concussion,Pittsburgh
469,D,"6'3""",217,Orpik Brooks,38,1,27,Lower body,Washington
470,RW,"5'11""",195,Oshie T.J.,32,1,11,Concussion,Washington
471,LW,"6'3""",206,Paajarvi Magnus,28,1,2,Upper body,Ottawa
472,LW,"6'2""",206,Pacioretty Max,30,3,3,Leg,Vegas
473,LW,"6'2""",206,Pacioretty Max,30,3,7,Lower body,Vegas
474,LW,"6'2""",206,Pacioretty Max,30,3,4,Upper body,Vegas
475,C,"5'10""",184,Pageau Jean-Gabriel,26,1,42,Achilles,Ottawa
476,LW,"6'0""",188,Palat Ondrej,28,2,16,Lower body,Tampa Bay
477,LW,"6'0""",188,Palat Ondrej,28,2,2,Upper body,Tampa Bay
478,RW,"5'11""",185,Palmieri Kyle,28,3,3,Lower body,New Jersey
479,RW,"5'11""",185,Palmieri Kyle,28,3,4,Lower body,New Jersey
480,RW,"5'11""",185,Palmieri Kyle,28,3,1,Upper body,New Jersey
481,LW,"5'11""",168,Panarin Artemi,27,1,1,Lower body,Columbus
482,C,"6'1""",198,Paquette Cedric,25,1,1,Lower body,Tampa Bay
483,LW,"5'11""",193,Parise Zach,34,2,1,Foot,Minnesota
484,LW,"5'11""",193,Parise Zach,34,2,4,Lower body,Minnesota
485,RW,"6'0""",194,Pastrnak David,23,1,16,Thumb,Boston
486,C,"6'2""",198,Patrick Nolan,20,4,1,Upper body,Philadelphia
487,C,"6'2""",198,Patrick Nolan,20,4,2,Upper body,Philadelphia
488,C,"6'2""",198,Patrick Nolan,20,4,3,Upper body,Philadelphia
489,C,"6'2""",198,Patrick Nolan,20,4,4,Upper body,Philadelphia
490,C,"5'11""",190,Pavelski Joe,34,1,7,Lower body,San Jose
491,LW,"6'3""",211,Perlini Brendan,23,1,3,Concussion,Chicago
492,LW,"6'0""",200,Perron David,31,1,24,Concussion,St. Louis
493,RW,"6'3""",206,Perry Corey,34,1,51,Knee,Anaheim
494,D,"6'3""",206,Pesce Brett,24,1,9,Lower body,Carolina
495,D,"6'4""",216,Petrovic Alex,27,1,6,Concussion,Edmonton
496,C,"6'2""",176,Pettersson Elias,20,2,6,Concussion,Vancouver
497,C,"6'2""",176,Pettersson Elias,20,2,5,Knee,Vancouver
498,D,"6'4""",222,Phaneuf Dion,34,1,7,Upper body,Los Angeles
499,D,"6'3""",210,Pietrangelo Alex,29,1,11,Hand,St. Louis
500,D,"5'11""",191,Pilut Lawrence,23,1,3,Lower body,Buffalo
501,D,"6'0""",186,Pionk Neal,23,3,1,Eye,NY Rangers
502,D,"6'0""",186,Pionk Neal,23,3,1,Lower body,NY Rangers
503,D,"6'0""",186,Pionk Neal,23,3,3,Lower body,NY Rangers
504,C,"6'0""",186,Pirri Brandon,28,2,4,Lower body,Vegas
505,C,"6'0""",186,Pirri Brandon,28,2,2,Neck,Vegas
506,C,"6'2""",200,Pitlick Tyler,27,1,30,Wrist,Dallas
507,C,"5'11""",193,Plekanec Tomas,36,1,10,Back,Montreal
508,C,"5'10""",166,Point Brayden,23,1,1,Lower body,Tampa Bay
509,G,"6'3""",215,Price Carey,31,1,3,Lower body,Montreal
510,RW,"6'4""",201,Puljujarvi Jesse,21,1,25,Hip,Edmonton
511,D,"6'1""",200,Pysyk Mark,27,1,6,Upper body,Florida
512,C,"6'1""",195,Quenneville John,23,2,2,Upper body,New Jersey
513,C,"6'1""",195,Quenneville John,23,2,4,Upper body,New Jersey
514,G,"6'1""",216,Quick Jonathan,33,2,13,Knee,Los Angeles
515,G,"6'1""",216,Quick Jonathan,33,2,5,Lower body,Los Angeles
516,G,"6'0""",195,Raanta Antti,30,2,59,Knee,Arizona/Phoenix
517,G,"6'0""",195,Raanta Antti,30,2,7,Lower body,Arizona/Phoenix
518,LW,"6'4""",200,Radil Lukas,28,1,4,Lower body,San Jose
519,LW,"6'1""",205,Radulov Alexander,33,2,4,Lower body,Dallas
520,LW,"6'1""",205,Radulov Alexander,33,2,6,Lower body,Dallas
521,LW,"6'0""",200,Raffl Michael,30,1,14,Lower body,Philadelphia
522,C,"6'1""",202,Rakell Rickard,26,1,13,Ankle,Anaheim
523,G,"6'3""",176,Rask Tuukka,32,1,1,Concussion,Boston
524,C,"6'2""",200,Rask Victor,26,2,20,Hand,Carolina
525,C,"6'2""",200,Rask Victor,26,2,12,Lower body,Minnesota
526,C,"6'6""",221,Rasmussen Michael,20,2,10,Hamstring,Detroit
527,C,"6'6""",221,Rasmussen Michael,20,2,8,Upper body,Detroit
528,RW,"6'0""",183,Rattie Ty,26,1,7,Mid-body,Edmonton
529,G,"6'2""",220,Reimer James,31,1,5,Lower body,Florida
530,C,"6'0""",190,Richardson Brad,34,1,13,Upper body,Arizona/Phoenix
531,RW,"5'11""",186,Rieder Tobias,26,1,13,Upper body,Edmonton
532,LW,"5'10""",192,Rinaldo Zac,29,2,2,Lower body,Nashville
533,LW,"5'10""",192,Rinaldo Zac,29,2,30,Shoulder,Nashville
534,RW,"6'4""",220,Ritchie Brett,26,4,1,Hand,Dallas
535,RW,"6'4""",220,Ritchie Brett,26,4,2,Hand,Dallas
536,RW,"6'4""",220,Ritchie Brett,26,4,1,Upper body,Dallas
537,RW,"6'4""",220,Ritchie Brett,26,4,4,Upper body,Dallas
538,LW,"6'2""",234,Ritchie Nick,23,3,2,Lower body,Anaheim
539,LW,"6'2""",234,Ritchie Nick,23,3,4,Upper body,Anaheim
540,LW,"6'2""",234,Ritchie Nick,23,3,6,Upper body,Anaheim
541,G,"6'3""",206,Rittich David,26,1,2,Lower body,Calgary
542,RW,"6'2""",189,Rodewald Jack,25,1,4,Abdominal,Ottawa
543,LW,"5'11""",182,Rodrigues Evan,25,1,2,Upper body,Buffalo
544,LW,"5'11""",199,Roussel Antoine,29,3,4,Concussion,Vancouver
545,LW,"5'11""",199,Roussel Antoine,29,3,12,Knee,Vancouver
546,LW,"5'11""",199,Roussel Antoine,29,3,1,Upper body,Vancouver
547,RW,"6'2""",206,Rowney Carter,30,1,20,Upper body,Anaheim
548,D,"5'11""",191,Ruhwedel Chad,29,1,19,Upper body,Pittsburgh
549,D,"5'10""",170,Russell Kris,32,1,10,Groin,Edmonton
550,RW,"5'11""",192,Rust Bryan,27,2,1,Lower body,Pittsburgh
551,RW,"5'11""",192,Rust Bryan,27,2,9,Lower body,Pittsburgh
552,RW,"6'2""",209,Ryan Bobby,32,1,3,Concussion,Ottawa
553,LW,"6'1""",206,Saad Brandon,26,1,2,Arm,Chicago
554,RW,"5'11""",203,Salomaki Miikka,26,1,34,Upper body,Nashville
555,LW,"6'4""",207,Sanford Zach,24,1,3,Concussion,St. Louis
556,D,"6'3""",208,Scandella Marco,29,5,1,Lower body,Buffalo
557,D,"6'3""",208,Scandella Marco,29,5,4,Lower body,Buffalo
558,D,"6'3""",208,Scandella Marco,29,5,1,Upper body,Buffalo
559,D,"6'3""",208,Scandella Marco,29,5,4,Upper body,Buffalo
560,D,"6'3""",208,Scandella Marco,29,5,8,Vertigo,Buffalo
561,C,"6'0""",192,Sceviour Colton,30,1,17,Hand,Florida
562,RW,"6'1""",200,Schenn Brayden,27,2,4,Upper body,St. Louis
563,RW,"6'1""",200,Schenn Brayden,27,2,6,Upper body,St. Louis
564,RW,"6'1""",192,Scherbak Nikita,23,2,1,Lower body,Los Angeles
565,RW,"6'1""",192,Scherbak Nikita,23,2,8,Lower body,Montreal
566,D,"6'0""",190,Schlemko David,32,2,16,Knee,Montreal
567,D,"6'0""",190,Schlemko David,32,2,7,Upper body,Montreal
568,C,"6'0""",177,Schmaltz Nick,23,1,43,Lower body,Arizona/Phoenix
569,G,"6'3""",200,Schneider Cory,33,2,17,Abdominal,New Jersey
