PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Sean Couturier, C",PHI,80,33,43,76,2,22:08,2143,26.8,23:17
"Nathan MacKinnon, C",COL,82,41,58,99,20,22:05,2024,24.7,18:17
"Ryan McDonagh, D",TB,82,9,37,46,38,22:05,2066,25.2,39:22:00
"Damon Severson, D",NJ,82,11,28,39,-27,22:03,2155,26.3,46:20:00
"Danny DeKeyser, D",DET,52,5,15,20,2,21:58,1479,28.4,57:06:00
"Nate Schmidt, D",VGS,61,9,21,30,22,21:57,1576,25.8,44:38:00
"Matt Niskanen, D",WSH,80,8,17,25,-3,21:56,1909,23.9,70:10:00
"Mark Scheifele, C",WPG,82,38,46,84,8,21:52,1969,24,21:20
"Dylan Larkin, C",DET,76,32,41,73,-6,21:51,1973,26,22:44
"Erik Johnson, D",COL,80,7,18,25,8,21:49,2157,27,69:48:00
"Tyson Barrie, D",COL,78,14,45,59,-3,21:47,1850,23.7,28:47:00
"Sami Vatanen, D",NJ,50,4,13,17,-17,21:44,1317,26.3,63:54:00
"Mike Green, D",DET,43,5,21,26,-1,21:41,1185,27.6,35:51:00
"Dmitry Orlov, D",WSH,82,3,26,29,3,21:38,1914,23.3,61:10:00
"Zach Bogosian, D",BUF,65,3,16,19,-5,21:38,1574,24.2,73:59:00
"Adam Larsson, D",EDM,82,3,17,20,-28,21:37,2243,27.4,88:39:00
"Nick Leddy, D",NYI,82,4,22,26,0,21:33,2133,26,67:57:00
"T.J. Brodie, D",CGY,79,9,25,34,29,21:28,2084,26.4,49:53:00
"Claude Giroux, LW",PHI,82,22,63,85,9,21:27,2138,26.1,20:42
"Ryan Murray, D",CBJ,56,1,28,29,20,21:26,1501,26.8,41:24:00
"Alec Martinez, D",LA,60,4,14,18,-2,21:22,1578,26.3,71:12:00
"Jake Muzzin, D",LA/TOR,80,9,28,37,21,21:20,2210,27.6,46:08:00
"Torey Krug, D",BOS,64,6,47,53,-2,21:18,1599,25,25:43:00
"Brady Skjei, D",NYR,78,8,17,25,-4,21:14,2141,27.4,66:15:00
"Jake Gardiner, D",TOR,62,3,27,30,19,21:13,1635,26.4,43:50:00
"Neal Pionk, D",NYR,73,6,20,26,-16,21:10,1998,27.4,59:25:00
"Rasmus Dahlin, D",BUF,82,9,35,44,-13,21:09,1905,23.2,39:25:00
"Gabriel Landeskog, LW",COL,73,34,41,75,17,21:09,1711,23.4,20:35
"Zdeno Chara, D",BOS,62,5,9,14,22,21:05,1515,24.4,93:20:00
"Jimmy Schuldt, D",VGS,1,0,1,1,-1,21:03,22,22,21:03
"Marc-Edouard Vlasic, D",SJ,72,3,22,25,-6,21:03,1847,25.7,60:36:00
"Brian Dumoulin, D",PIT,76,3,20,23,31,21:02,2110,27.8,69:28:00
"Jonathan Toews, C",CHI,82,35,46,81,2,21:00,2090,25.5,21:16
"Sidney Crosby, C",PIT,79,35,65,100,18,21:00,2036,25.8,16:35
"Brandon Carlo, D",BOS,72,2,8,10,22,20:55,1840,25.6,150:38:00
"Alex Ovechkin, LW",WSH,81,51,38,89,7,20:55,1682,20.8,19:02
"Travis Hamonic, D",CGY,69,7,12,19,21,20:52,1758,25.5,75:46:00
"Mikko Rantanen, RW",COL,74,31,56,87,13,20:51,1704,23,17:43
"Bo Horvat, C",VAN,82,27,34,61,-4,20:50,2217,27,28:00:00
"Andy Greene, D",NJ,82,5,20,25,-9,20:50,2027,24.7,68:20:00
"Alex Goligoski, D",ARI,76,3,24,27,-7,20:49,1878,24.7,58:35:00
"Noah Hanifin, D",CGY,80,5,28,33,18,20:46,2075,25.9,50:21:00
"Ryan O'Reilly, C",STL,82,28,49,77,22,20:46,2103,25.6,22:06
"Tyler Seguin, C",DAL,82,33,47,80,17,20:45,2278,27.8,21:16
"Derek Forbort, D",LA,81,2,12,14,-13,20:45,2075,25.6,120:00:00
"Jay Bouwmeester, D",STL,78,3,14,17,-3,20:44,2077,26.6,95:07:00
"Blake Wheeler, RW",WPG,82,20,71,91,0,20:43,1979,24.1,18:39
"Mika Zibanejad, C",NYR,82,30,44,74,-12,20:34,2084,25.4,22:46
"Jonas Brodin, D",MIN,82,4,14,18,-15,20:33,1997,24.4,93:35:00
"Anton Stralman, D",TB,47,2,15,17,12,20:31,1113,23.7,56:44:00
"Justin Schultz, D",PIT,29,2,13,15,0,20:30,767,26.4,39:38:00
"Brett Pesce, D",CAR,73,7,22,29,35,20:29,1826,25,51:34:00
"Nikita Zaitsev, D",TOR,81,3,11,14,2,20:28,2145,26.5,118:27:00
"Jack Eichel, C",BUF,77,28,54,82,-11,20:26,1756,22.8,19:11
"Kris Russell, D",EDM,72,3,13,16,5,20:26,1858,25.8,91:55:00
"Dustin Brown, RW",LA,72,22,29,51,-17,20:24,1823,25.3,28:48:00
"Tyler Myers, D",WPG,80,9,22,31,11,20:21,1806,22.6,52:30:00
"Justin Braun, D",SJ,78,2,14,16,-14,20:18,1957,25.1,98:59:00
"Ron Hainsey, D",TOR,81,5,18,23,30,20:15,2181,26.9,71:20:00
"Jakob Chychrun, D",ARI,53,5,15,20,-12,20:15,1235,23.3,53:40:00
"Chris Tanev, D",VAN,55,2,10,12,3,20:10,1530,27.8,92:26:00
"Sebastian Aho, LW",CAR,82,30,53,83,25,20:09,2008,24.5,19:54
"Shea Theodore, D",VGS,79,12,25,37,-4,20:06,1938,24.5,42:55:00
"Ryan Nugent-Hopkins, C",EDM,82,28,41,69,-13,20:06,1997,24.4,23:53
"Johnny Gaudreau, LW",CGY,82,36,63,99,18,20:04,1923,23.5,16:37
"Elias Lindholm, C",CGY,81,27,51,78,30,20:02,2062,25.5,20:48
"Jason Demers, D",ARI,35,2,6,8,9,20:00,909,26,87:28:00
"Nikita Kucherov, RW",TB,82,41,87,128,24,19:58,1765,21.5,12:47
"Filip Hronek, D",DET,46,5,18,23,-10,19:58,1201,26.1,39:55:00
"Niklas Kronwall, D",DET,79,3,24,27,-5,19:57,2047,25.9,58:22:00
"Nicklas Backstrom, C",WSH,80,22,52,74,2,19:57,1759,22,21:34
"Troy Stecher, D",VAN,78,2,21,23,9,19:55,1915,24.6,67:32:00
"Samuel Girard, D",COL,82,4,23,27,8,19:54,1966,24,60:24:00
"Mark Stone, RW",OTT/VGS,77,33,40,73,17,19:53,1782,23.1,20:58
"Deryk Engelland, D",VGS,74,2,10,12,-3,19:53,1740,23.5,122:34:00
"Artemi Panarin, LW",CBJ,79,28,59,87,14,19:51,1816,23,18:01
"Nick Jensen, D",DET/WSH,80,2,18,20,4,19:51,2004,25.1,79:24:00
"Mats Zuccarello, RW",DAL/NYR,48,12,28,40,-8,19:51,1129,23.5,23:49
"David Schlemko, D",MTL/PHI,18,0,2,2,-1,19:51,469,26.1,178:36:00
"Mitch Marner, C",TOR,82,26,68,94,22,19:49,2066,25.2,17:17
"Caleb Jones, D",EDM,17,1,5,6,-9,19:48,434,25.5,56:05:00
"Alexander Radulov, RW",DAL,70,29,43,72,22,19:47,1768,25.3,19:14
"Ian Cole, D",COL,71,2,13,15,-1,19:45,1682,23.7,93:30:00
"David Savard, D",CBJ,82,8,16,24,19,19:45,2083,25.4,67:27:00
"Niklas Hjalmarsson, D",ARI,82,0,10,10,8,19:42,2047,25,161:31:00
"Taylor Hall, LW",NJ,33,11,26,37,-6,19:41,727,22,17:33
"Dougie Hamilton, D",CAR,82,18,21,39,0,19:40,1994,24.3,41:21:00
"Vincent Trocheck, C",FLA,55,10,24,34,-9,19:40,1366,24.8,31:48:00
"Shayne Gostisbehere, D",PHI,78,9,28,37,-20,19:40,1772,22.7,41:26:00
"Colin Miller, D",VGS,65,3,26,29,0,19:39,1581,24.3,44:02:00
"Brad Marchand, LW",BOS,79,36,64,100,15,19:37,1821,23.1,15:30
"Travis Sanheim, D",PHI,82,9,26,35,-4,19:34,2011,24.5,45:49:00
"Ryan Johansen, C",NSH,80,14,50,64,7,19:33,2000,25,24:26:00
"Connor Murphy, D",CHI,52,5,8,13,12,19:29,1352,26,77:57:00
"Brayden McNabb, D",VGS,81,4,12,16,11,19:29,1927,23.8,98:36:00
"Ryan Getzlaf, C",ANA,67,14,34,48,-19,19:28,1568,23.4,27:10:00
"Marc Staal, D",NYR,79,3,10,13,-9,19:25,2061,26.1,118:00:00
"Joel Edmundson, D",STL,64,2,9,11,8,19:23,1691,26.4,112:47:00
"Libor Sulak, D",DET,6,0,0,0,-4,19:23,163,27.2,0:00
"Cam Atkinson, RW",CBJ,80,41,28,69,3,19:23,1951,24.4,22:28
"Jake Guentzel, C",PIT,82,40,36,76,13,19:21,2008,24.5,20:52
"Tony DeAngelo, D",NYR,61,4,26,30,6,19:20,1494,24.5,39:18:00
"Dylan DeMelo, D",OTT,77,4,18,22,-1,19:17,1972,25.6,67:29:00
"Jack Johnson, D",PIT,82,1,12,13,-4,19:17,2124,25.9,121:36:00
"Will Butcher, D",NJ,78,4,26,30,-17,19:16,1804,23.1,50:06:00
"Travis Zajac, C",NJ,80,19,27,46,-25,19:16,1818,22.7,33:30:00
"Kyle Connor, LW",WPG,82,34,32,66,-7,19:15,1749,21.3,23:55
"Erik Cernak, D",TB,58,5,11,16,25,19:15,1416,24.4,69:47:00
"Derek Stepan, C",ARI,72,15,20,35,-2,19:13,1845,25.6,39:32:00
"Michal Kempny, D",WSH,71,6,19,25,24,19:11,1560,22,54:29:00
"Roman Polak, D",DAL,77,1,8,9,6,19:10,1878,24.4,163:59:00
"Brock Boeser, RW",VAN,69,26,30,56,-2,19:10,1621,23.5,23:36
"Viktor Arvidsson, RW",NSH,58,34,14,48,12,19:09,1388,23.9,23:08
"Matt Grzelcyk, D",BOS,66,3,15,18,9,19:08,1652,25,70:08:00
"Brent Seabrook, D",CHI,78,5,23,28,-6,19:06,2018,25.9,53:11:00
"John Tavares, C",TOR,82,47,41,88,19,19:05,1969,24,17:47
"Sean Monahan, C",CGY,78,34,48,82,7,19:03,1805,23.1,18:07
"Joe Pavelski, C",SJ,75,38,26,64,-4,19:03,1809,24.1,22:19
"Tomas Hertl, C",SJ,77,35,39,74,5,19:01,1834,23.8,19:47
"Henri Jokiharju, D",CHI,38,0,12,12,-7,18:59,946,24.9,60:06:00
"Sam Reinhart, C",BUF,82,22,43,65,-10,18:57,1730,21.1,23:55
"Jake McCabe, D",BUF,59,4,10,14,-4,18:57,1364,23.1,79:50:00
"Kevin Shattenkirk, D",NYR,73,2,26,28,-15,18:56,1685,23.1,49:22:00
"Brayden Point, C",TB,79,41,51,92,27,18:55,1675,21.2,16:14
"Maxime Lajoie, D",OTT,56,7,8,15,-25,18:54,1393,24.9,70:34:00
"Jordan Oesterle, D",ARI,71,6,14,20,-3,18:54,1645,23.2,67:04:00
"Jonathan Huberdeau, C",FLA,82,30,62,92,-14,18:51,1846,22.5,16:48
"William Karlsson, C",VGS,82,24,32,56,1,18:51,1737,21.2,27:35:00
"Matt Duchene, C",OTT/CBJ,73,31,39,70,-3,18:50,1601,21.9,19:38
"Johnny Boychuk, D",NYI,74,3,16,19,10,18:50,1864,25.2,73:20:00
"Evgeni Malkin, C",PIT,68,21,51,72,-25,18:48,1554,22.9,17:45
"Evgeny Kuznetsov, C",WSH,76,21,51,72,7,18:47,1508,19.8,19:50
"John Moore, D",BOS,61,4,9,13,0,18:46,1517,24.9,88:05:00
"David Pastrnak, LW",BOS,66,38,43,81,6,18:45,1395,21.1,15:16
"Scott Mayfield, D",NYI,79,4,15,19,18,18:44,1888,23.9,77:53:00
"Mike Reilly, D",MTL,57,3,8,11,0,18:41,1329,23.3,96:46:00
"Jakub Voracek, RW",PHI,78,20,46,66,-16,18:40,1777,22.8,22:04
"Zach Parise, LW",MIN,74,28,33,61,-2,18:40,1665,22.5,22:38
"Adam Pelech, D",NYI,78,5,16,21,22,18:38,1898,24.3,69:11:00
"Filip Forsberg, C",NSH,64,28,22,50,8,18:37,1577,24.6,23:49
"Ben Chiarot, D",WPG,78,5,15,20,6,18:37,1629,20.9,72:36:00
"T.J. Oshie, RW",WSH,69,25,29,54,5,18:37,1422,20.6,23:46
"Carl Dahlstrom, D",CHI,38,0,6,6,9,18:36,963,25.3,117:49:00
"Logan Couture, C",SJ,81,27,43,70,-6,18:36,1970,24.3,21:31
"Olli Maatta, D",PIT,60,1,13,14,9,18:35,1525,25.4,79:40:00
"Brayden Schenn, C",STL,72,17,37,54,3,18:35,1642,22.8,24:47:00
"Joe Hicketts, D",DET,11,0,0,0,-9,18:35,249,22.6,0:00
"Trevor Daley, D",DET,44,2,6,8,-3,18:34,1157,26.3,102:04:00
"Auston Matthews, C",TOR,68,37,36,73,-9,18:33,1591,23.4,17:17
"Jeff Skinner, LW",BUF,82,40,23,63,0,18:31,1721,21,24:06:00
"Calvin de Haan, D",CAR,74,1,13,14,1,18:31,1694,22.9,97:50:00
"Thomas Hickey, D",NYI,40,0,4,4,5,18:30,1011,25.3,185:03:00
"Rickard Rakell, C",ANA,69,18,25,43,-13,18:28,1526,22.1,29:38:00
"Patrice Bergeron, C",BOS,65,32,47,79,23,18:28,1510,23.2,15:11
"Evander Kane, LW",SJ,75,30,26,56,-4,18:25,1734,23.1,24:39:00
"Vladimir Tarasenko, RW",STL,76,33,35,68,8,18:24,1768,23.3,20:33
"Evgenii Dadonov, RW",FLA,82,28,42,70,-6,18:22,1834,22.4,21:31
"Kevin Connauton, D",ARI,50,1,7,8,-2,18:21,1133,22.7,114:41:00
"Mikael Granlund, C",NSH/MIN,79,16,38,54,-8,18:21,1730,21.9,26:50:00
"Steven Stamkos, C",TB,82,45,53,98,4,18:18,1789,21.8,15:18
"Mikko Koivu, C",MIN,48,8,21,29,-2,18:18,1086,22.6,30:17:00
"Nick Holden, D",VGS,61,3,12,15,5,18:18,1395,22.9,74:23:00
"Jordan Staal, C",CAR,50,11,17,28,6,18:17,1279,25.6,32:39:00
"Kevin Hayes, C",NYR/WPG,71,19,36,55,-2,18:17,1628,22.9,23:35
"Reilly Smith, RW",VGS,74,19,34,53,13,18:16,1563,21.1,25:30:00
"Mark Pysyk, D",FLA,70,1,10,11,-1,18:16,1798,25.7,116:15:00
"Dennis Cholowski, D",DET,52,7,9,16,-20,18:15,1219,23.4,59:19:00
"Clayton Keller, C",ARI,82,14,33,47,-21,18:14,1905,23.2,31:48:00
"Erik Gudbranson, D",PIT/VAN,76,2,8,10,-20,18:14,1870,24.6,138:33:00
"Jamie Benn, LW",DAL,78,27,26,53,14,18:14,1968,25.2,26:49:00
"Elias Pettersson, C",VAN,71,28,38,66,3,18:14,1598,22.5,19:36
"Jordie Benn, D",MTL,81,5,17,22,15,18:12,1947,24,66:59:00
"Gavin Bayreuther, D",DAL,19,2,3,5,2,18:11,461,24.3,69:07:00
"Jeff Carter, C",LA,76,13,20,33,-20,18:09,1827,24,41:49:00
"Kyle Palmieri, RW",NJ,74,27,23,50,-9,18:09,1580,21.4,26:52:00
"Jonathan Marchessault, C",VGS,82,25,34,59,2,18:09,1637,20,25:13:00
"Tom Wilson, RW",WSH,63,22,18,40,11,18:09,1340,21.3,28:34:00
"Jaden Schwartz, LW",STL,69,11,25,36,-6,18:08,1576,22.8,34:44:00
"Eric Staal, C",MIN,81,22,30,52,-7,18:08,1695,20.9,28:14:00
"Paul Stastny, C",VGS,50,13,29,42,14,18:06,1006,20.1,21:33
"Nico Hischier, C",NJ,69,17,30,47,0,18:06,1485,21.5,26:34:00
"Quinn Hughes, D",VAN,5,0,3,3,0,18:05,109,21.8,30:08:00
"Mirco Mueller, D",NJ,53,1,10,11,-3,18:04,1272,24,87:04:00
"Erik Brannstrom, D",OTT,2,0,0,0,0,18:04,50,25,0:00
"Victor Olofsson, RW",BUF,6,2,2,4,1,18:01,125,20.8,27:01:00
"Phil Kessel, RW",PIT,82,27,55,82,-19,17:59,1786,21.8,17:58
"Brock Nelson, C",NYI,82,25,28,53,20,17:58,1828,22.3,27:48:00
"Mikhail Sergachev, D",TB,75,6,26,32,12,17:55,1603,21.4,42:00:00
"Mathew Barzal, C",NYI,82,18,44,62,-5,17:55,1601,19.5,23:42
"Teuvo Teravainen, LW",CAR,82,21,55,76,30,17:55,1898,23.1,19:19
"Devon Toews, D",NYI,48,5,13,18,7,17:54,1078,22.5,47:43:00
"Mikael Backlund, C",CGY,77,21,26,47,34,17:54,1786,23.2,29:18:00
"Jon Merrill, D",VGS,57,3,12,15,16,17:53,1269,22.3,67:56:00
"Radko Gudas, D",PHI,77,4,16,20,6,17:53,1784,23.2,68:49:00
"Jean-Gabriel Pageau, C",OTT,39,4,8,12,-12,17:51,932,23.9,57:59:00
"Brett Kulak, D",MTL,57,6,11,17,12,17:51,1275,22.4,59:49:00
"Mike Hoffman, LW",FLA,82,36,34,70,-24,17:50,1740,21.2,20:53
"Nick Schmaltz, C",CHI/ARI,40,7,18,25,-12,17:50,847,21.2,28:31:00
"Anthony Mantha, RW",DET,67,25,23,48,-8,17:50,1436,21.4,24:53:00
"Dan Girardi, D",TB,62,4,12,16,6,17:48,1371,22.1,68:58:00
"Phillip Danault, C",MTL,81,12,41,53,17,17:47,2017,24.9,27:10:00
"Victor Mete, D",MTL,71,0,13,13,17,17:46,1650,23.2,97:04:00
"Kevan Miller, D",BOS,39,0,7,7,8,17:45,919,23.6,98:52:00
"Brenden Dillon, D",SJ,82,1,21,22,19,17:45,1792,21.9,66:08:00
"Pierre-Luc Dubois, C",CBJ,82,27,34,61,16,17:43,1820,22.2,23:48
"Connor Clifton, D",BOS,19,0,1,1,5,17:42,454,23.9,336:24:00
"Nick Foligno, LW",CBJ,73,17,18,35,12,17:42,1618,22.2,36:55:00
"Alex DeBrincat, RW",CHI,82,41,35,76,0,17:42,1666,20.3,19:05
"Brandon Saad, LW",CHI,80,23,24,47,-9,17:41,1863,23.3,30:06:00
"Markus Nutivaara, D",CBJ,80,5,16,21,3,17:41,1846,23.1,67:21:00
"David Krejci, C",BOS,81,20,53,73,7,17:41,1699,21,19:36
"Alex Biega, D",VAN,41,2,14,16,0,17:40,991,24.2,45:16:00
"Ben Harpur, D",OTT,51,1,4,5,-13,17:37,1176,23.1,179:43:00
"Marco Scandella, D",BUF,63,6,7,13,-13,17:37,1410,22.4,85:20:00
"Matthew Tkachuk, LW",CGY,80,34,43,77,14,17:36,1696,21.2,18:17
"Vince Dunn, D",STL,78,12,23,35,14,17:32,1820,23.3,39:04:00
"Gustav Nyquist, C",DET/SJ,81,22,38,60,1,17:31,1818,22.4,23:39
"J.T. Compher, LW",COL,66,16,16,32,-8,17:29,1441,21.8,36:02:00
"Brandon Sutter, C",VAN,26,4,2,6,-12,17:28,676,26,75:41:00
"Carl Soderberg, C",COL,82,23,26,49,-5,17:27,1858,22.7,29:12:00
"Justin Williams, RW",CAR,82,23,30,53,-4,17:27,1814,22.1,26:59:00
"Lawrence Pilut, D",BUF,33,1,5,6,-8,17:25,714,21.6,95:48:00
"Chris Kreider, LW",NYR,79,28,24,52,4,17:24,1783,22.6,26:26:00
"Max Domi, C",MTL,82,28,44,72,20,17:23,1751,21.4,19:47
"Christian Wolanin, D",OTT,30,4,8,12,3,17:20,673,22.4,43:18:00
"Travis Dermott, D",TOR,64,4,13,17,-5,17:18,1453,22.7,65:09:00
"Karl Alzner, D",MTL,9,0,1,1,1,17:18,215,23.9,155:42:00
"Zach Hyman, C",TOR,71,21,20,41,16,17:17,1700,23.9,29:55:00
"Fredrik Claesson, D",NYR,37,2,4,6,3,17:15,837,22.6,106:21:00
"Patrik Laine, RW",WPG,82,30,20,50,-24,17:14,1620,19.8,28:15:00
"Jonathan Ericsson, D",DET,52,3,2,5,-10,17:13,1235,23.8,179:05:00
"Tyler Toffoli, RW",LA,82,13,21,34,-16,17:13,1902,23.2,41:30:00
"Jake Chelios, D",DET,5,0,0,0,0,17:12,102,20.4,0:00
"Nikita Zadorov, D",COL,70,7,7,14,19,17:12,1487,21.2,86:01:00
"Derrick Pouliot, D",VAN,62,3,9,12,-1,17:10,1403,22.6,88:39:00
"Matt Roy, LW",LA,25,2,4,6,-1,17:08,545,21.8,71:22:00
"Greg Pateryn, D",MIN,80,1,6,7,-11,17:07,1675,20.9,195:39:00
"Noah Juulsen, D",MTL,21,1,4,5,5,17:07,506,24.1,71:53:00
"Jacob Larsson, D",ANA,49,0,5,5,-4,17:07,1163,23.7,167:43:00
"Jakob Silfverberg, LW",ANA,73,24,19,43,-9,17:06,1639,22.5,29:01:00
"David Perron, LW",STL,57,23,23,46,3,17:06,1189,20.9,21:11
"Anders Lee, LW",NYI,82,28,23,51,20,17:05,1664,20.3,27:28:00
"Ben Lovejoy, D",DAL/NJ,71,2,7,9,-1,17:05,1608,22.6,134:47:00
"Gustav Forsling, D",CHI,43,3,6,9,-9,17:05,994,23.1,81:37:00
"Jason Zucker, LW",MIN,81,21,21,42,-9,17:05,1635,20.2,32:56:00
"Boone Jenner, C",CBJ,77,16,22,38,6,17:04,1705,22.1,34:34:00
"Chris Tierney, C",OTT,81,9,39,48,-22,17:02,1737,21.4,28:44:00
"Michael Del Zotto, D",STL/VAN/ANA,42,1,9,10,-2,17:02,925,22,71:31:00
"Josh Anderson, RW",CBJ,82,27,20,47,25,17:01,1814,22.1,29:42:00
"Blake Coleman, C",NJ,78,22,14,36,-19,17:01,1656,21.2,36:51:00
"Xavier Ouellet, D",MTL,19,0,3,3,-3,17:01,407,21.4,107:44:00
"Max Pacioretty, LW",VGS,66,22,18,40,-13,17:00,1214,18.4,28:03:00
"Andreas Athanasiou, C",DET,76,30,24,54,-9,16:58,1677,22.1,23:53
"Timo Meier, RW",SJ,78,30,36,66,9,16:58,1730,22.2,20:03
"Alex Chiasson, RW",EDM,73,22,16,38,-1,16:58,1572,21.5,32:36:00
"Mackenzie Weegar, D",FLA,64,4,11,15,-3,16:58,1471,23,72:23:00
"Robert Hagg, D",PHI,82,5,15,20,-3,16:57,1893,23.1,69:28:00
"Marc Methot, D",DAL,9,0,0,0,-3,16:56,228,25.3,0:00
"Jonathan Drouin, C",MTL,81,18,35,53,-8,16:56,1706,21.1,25:52:00
"Alex Iafallo, C",LA,82,15,18,33,-17,16:50,1817,22.2,41:49:00
"Josh Bailey, LW",NYI,82,16,40,56,8,16:50,1638,20,24:38:00
"Ryan Dzingel, LW",OTT/CBJ,78,26,30,56,-9,16:49,1583,20.3,23:25
"Connor Carrick, D",DAL/NJ,34,2,9,11,-13,16:48,718,21.1,51:55:00
"Charlie Coyle, C",BOS/MIN,81,12,22,34,-1,16:47,1676,20.7,39:58:00
"Alex Tuch, RW",VGS,74,20,32,52,13,16:44,1344,18.2,23:48
"Calle Rosen, D",TOR,4,1,0,1,-3,16:42,101,25.3,66:49:00
"Juuso Riikola, D",PIT,37,2,3,5,3,16:41,856,23.1,123:28:00
"Marcus Pettersson, D",PIT/ANA,84,2,23,25,17,16:41,1961,23.3,56:03:00
"Frans Nielsen, C",DET,72,10,25,35,-7,16:41,1641,22.8,34:18:00
"Steven Santini, D",NJ,39,1,3,4,-6,16:39,837,21.5,162:24:00
"Kasperi Kapanen, RW",TOR,78,20,24,44,12,16:37,1805,23.1,29:26:00
"Richard Panik, RW",ARI,75,14,19,33,-3,16:37,1730,23.1,37:44:00
"James van Riemsdyk, LW",PHI,66,27,21,48,-10,16:36,1342,20.3,22:49
"Erik Haula, LW",VGS,15,2,5,7,1,16:35,289,19.3,35:32:00
"Will Borgen, D",BUF,4,0,0,0,-5,16:33,91,22.8,0:00
"Lars Eller, C",WSH,81,13,23,36,-1,16:32,1576,19.5,37:12:00
"Libor Hajek, D",NYR,5,1,0,1,1,16:32,107,21.4,82:39:00
"Jordan Eberle, RW",NYI,78,19,18,37,-6,16:32,1514,19.4,34:50:00
"Alex Petrovic, D",EDM/FLA,35,0,2,2,-15,16:32,785,22.4,289:12:00
"Tyler Bertuzzi, LW",DET,73,21,26,47,11,16:31,1547,21.2,25:39:00
"Ryan Kesler, C",ANA,60,5,3,8,-19,16:30,1358,22.6,123:44:00
"Andrej Sekera, D",EDM,24,0,4,4,3,16:29,548,22.8,98:56:00
"Patrik Nemeth, D",COL,74,1,9,10,5,16:29,1528,20.6,122:00:00
"Adam Henrique, C",ANA,82,18,24,42,-5,16:27,1772,21.6,32:07:00
"Radek Faksa, C",DAL,81,15,15,30,-3,16:26,1953,24.1,44:21:00
"Tomas Tatar, LW",MTL,80,25,33,58,21,16:25,1737,21.7,22:38
"Brendan Gallagher, RW",MTL,82,33,19,52,10,16:24,1775,21.6,25:51:00
"Andrew MacDonald, D",PHI,47,0,9,9,-5,16:24,1014,21.6,85:36:00
"Zack Smith, C",OTT,70,9,19,28,-6,16:21,1513,21.6,40:52:00
"Tyler Bozak, C",STL,72,13,25,38,-3,16:21,1534,21.3,30:58:00
"Patrick Marleau, C",TOR,82,16,21,37,-6,16:21,1774,21.6,36:13:00
"Artem Anisimov, C",CHI,78,15,22,37,-2,16:21,1611,20.7,34:27:00
"Nick Bonino, C",NSH,81,17,18,35,27,16:18,1873,23.1,37:44:00
"Chad Ruhwedel, D",PIT,18,1,1,2,-9,16:17,401,22.3,146:29:00
"Ilya Kovalchuk, LW",LA,64,16,18,34,-26,16:14,1263,19.7,30:33:00
"Nino Niederreiter, RW",CAR/MIN,82,23,30,53,-4,16:14,1637,20,25:06:00
"Colin White, C",OTT,71,14,27,41,-24,16:12,1455,20.5,28:03:00
"Nazem Kadri, C",TOR,73,16,28,44,-2,16:11,1499,20.5,26:51:00
"Jake DeBrusk, LW",BOS,68,27,15,42,2,16:10,1319,19.4,26:10:00
"Dylan Strome, C",CHI/ARI,78,20,37,57,-8,16:09,1511,19.4,22:06
"Braydon Coburn, D",TB,74,4,19,23,4,16:07,1504,20.3,51:50:00
"Pavel Zacha, C",NJ,61,13,12,25,-6,16:05,1224,20.1,39:14:00
"John Gilmour, D",NYR,5,0,0,0,-3,16:05,106,21.2,0:00
"Kyle Capobianco, D",ARI,2,0,0,0,-2,16:05,38,19,0:00
"Korbinian Holzer, D",ANA,22,1,3,4,5,16:04,523,23.8,88:22:00
"Jimmy Vesey, LW",NYR,81,17,18,35,-6,16:03,1681,20.8,37:09:00
"Dan Hamhuis, D",NSH,57,0,5,5,-2,16:03,1197,21,182:56:00
"Colton Sissons, C",NSH,75,15,15,30,20,16:03,1652,22,40:06:00
"Andy Welinski, D",ANA,26,1,3,4,-5,16:02,551,21.2,104:15:00
"Rasmus Andersson, D",CGY,79,2,17,19,17,16:02,1639,20.7,66:41:00
"Brady Tkachuk, LW",OTT,71,22,23,45,-10,16:01,1442,20.3,25:17:00
"Oscar Fantenberg, D",CGY/LA,61,2,2,4,3,16:00,1295,21.2,244:00:00
"Brad Richardson, C",ARI,66,19,8,27,6,15:58,1549,23.5,39:01:00
"Tyler Johnson, C",TB,80,29,18,47,15,15:57,1650,20.6,27:08:00
"Michael Stone, D",CGY,14,0,5,5,0,15:56,303,21.6,44:37:00
"Carl Gunnarsson, D",STL,25,3,4,7,8,15:56,568,22.7,56:53:00
"Marcus Johansson, C",BOS/NJ,58,13,17,30,-16,15:55,1106,19.1,30:47:00
"Andrew Shaw, C",MTL,63,19,28,47,17,15:55,1267,20.1,21:20
"Bryan Rust, RW",PIT,72,18,17,35,10,15:54,1610,22.4,32:43:00
"Luke Kunin, C",MIN,49,6,11,17,-9,15:53,1014,20.7,45:47:00
"Alexander Steen, LW",STL,65,10,17,27,2,15:50,1429,22,38:08:00
"Yanni Gourde, LW",TB,80,22,26,48,9,15:50,1597,20,26:23:00
"Bryan Little, C",WPG,82,15,26,41,-12,15:50,1719,21,31:39:00
"Slater Koekkoek, D",CHI/TB,31,2,4,6,4,15:50,655,21.1,81:47:00
"Evan Rodrigues, RW",BUF,74,9,20,29,-7,15:49,1528,20.6,40:22:00
