PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Miikka Salomaki, RW",NSH,37,3,4,7,5,10:27,540,14.6,55:16:00
"Adam Cracknell, RW",ANA,2,0,0,0,-1,10:26,35,17.5,0:00
"Marcus Kruger, C",CHI,74,4,8,12,-2,10:25,1231,16.6,64:13:00
"Matt Puempel, LW",DET,8,1,0,1,-2,10:24,116,14.5,83:13:00
"Remi Elie, LW",BUF,16,0,1,1,-3,10:21,235,14.7,165:36:00
"Brett Seney, LW",NJ,51,5,8,13,-14,10:20,705,13.8,40:31:00
"Kalle Kossila, C",ANA,8,1,0,1,-1,10:18,131,16.4,82:26:00
"Nic Dowd, C",WSH,64,8,14,22,10,10:18,862,13.5,29:56:00
"Jean-Sebastien Dea, C",NJ/PIT/FLA,23,4,2,6,0,10:15,339,14.7,39:18:00
"Nate Prosser, D",MIN,15,0,0,0,1,10:13,209,13.9,0:00
"Sam Carrick, C",ANA,6,0,1,1,-1,10:13,96,16,61:19:00
"Michael Amadio, C",LA,43,6,7,13,-1,10:12,606,14.1,33:45:00
"Dillon Heatherington, D",DAL,5,0,1,1,4,10:11,71,14.2,50:56:00
"Danick Martel, C",TB,9,0,2,2,3,10:11,124,13.8,45:48:00
"Nikita Scherbak, LW",LA/MTL,8,1,0,1,-4,10:11,114,14.3,81:25:00
"Vinni Lettieri, C",NYR,27,1,2,3,-7,10:09,359,13.3,91:24:00
"Phil Di Giuseppe, LW",CAR/NSH,24,1,3,4,-3,10:08,339,14.1,60:48:00
"Nelson Nogier, D",WPG,1,0,0,0,0,10:06,11,11,0:00
"Dmitrij Jaskin, RW",WSH,37,2,6,8,-5,10:05,462,12.5,46:38:00
"Dillon Dube, C",CGY,25,1,4,5,2,10:04,350,14,50:20:00
"Nicolas Deslauriers, LW",MTL,48,2,3,5,-12,10:02,668,13.9,96:21:00
"Martin Necas, C",CAR,7,1,1,2,0,10:01,103,14.7,35:05:00
"Rocco Grimaldi, C",NSH,53,5,8,13,-2,10:00,747,14.1,40:47:00
"Valentin Zykov, RW",EDM/CAR/VGS,28,2,3,5,-5,9:57,342,12.2,55:43:00
"William Carrier, LW",VGS,54,8,1,9,-4,9:57,700,13,59:40:00
"Tyler Ennis, LW",TOR,51,12,6,18,-6,9:56,683,13.4,28:09:00
"Jacob Middleton, D",SJ,3,0,1,1,-1,9:56,41,13.7,29:48:00
"Jonny Brodzinski, C",LA,13,2,1,3,0,9:55,176,13.5,43:00:00
"Mark Alt, D",COL,2,0,0,0,0,9:55,29,14.5,0:00
"Sammy Blais, LW",STL,32,2,2,4,-1,9:51,429,13.4,78:49:00
"Travis Boyd, C",WSH,53,5,15,20,6,9:50,695,13.1,26:02:00
