,CAP HIT,CHIP,GAMES MISSED,INJURY TYPE,PLAYER,POSITION,SEASON,TEAM
8135,6.875,251.52439024400002,3,Abdominal,Seabrook Brent,D,2018/19,Chicago
8137,6.0,365.85365853699994,5,Concussion,Crawford Corey,G,2018/19,Chicago
8138,6.0,2048.780487805,28,Concussion,Crawford Corey,G,2018/19,Chicago
8139,6.0,73.170731707,1,Groin,Crawford Corey,G,2018/19,Chicago
8141,3.0,146.341463415,4,Knee,Ward Cam,G,2018/19,Chicago
8142,1.4,102.43902439,6,Lower body,Andrighetto Sven,F,2018/19,Colorado
8143,1.0,195.12195122,16,Concussion,Compher J.T.,F,2018/19,Colorado
8144,1.6733330000000002,81.626,4,Head,Jost Tyson,F,2018/19,Colorado
8145,0.894167,567.0327317069999,52,Shoulder,Kamenev Vladislav,F,2018/19,Colorado
8146,1.1375,55.487804878,4,Upper body,Kerfoot Alexander,F,2018/19,Colorado
8147,5.571429,611.498304878,9,Shoulder,Landeskog Gabriel,F,2018/19,Colorado
8148,1.975,48.170731707,2,Lower body,Nieto Matt,F,2018/19,Colorado
8149,1.975,361.280487805,15,Lower body,Nieto Matt,F,2018/19,Colorado
8151,3.9375,48.018292683,1,Lower body,Wilson Colin,F,2018/19,Colorado
8152,3.9375,384.14634146300006,8,Shoulder,Wilson Colin,F,2018/19,Colorado
8153,3.9375,384.14634146300006,8,Upper body,Wilson Colin,F,2018/19,Colorado
8154,1.45,141.463414634,8,Head,Barberio Mark,D,2018/19,Colorado
8155,1.45,335.975609756,19,Upper body,Barberio Mark,D,2018/19,Colorado
8156,5.5,268.292682927,4,Lower body,Barrie Tyson,D,2018/19,Colorado
8157,4.25,570.12195122,11,Orbital bone,Cole Ian,D,2018/19,Colorado
8158,6.0,146.341463415,2,Concussion,Johnson Erik,D,2018/19,Colorado
8159,2.5,60.975609756000004,2,Upper body,Nemeth Patrik,D,2018/19,Colorado
8160,2.15,262.195121951,10,Lower body,Zadorov Nikita,D,2018/19,Colorado
8161,2.15,26.219512195,1,Upper body,Zadorov Nikita,D,2018/19,Colorado
8163,5.9,143.902439024,2,Lower body,Varlamov Semyon,G,2018/19,Colorado
8164,5.875,71.646341463,1,Facial,Atkinson Cam,F,2018/19,Columbus
8166,5.85,499.39024390199995,7,Hip,Dubinsky Brandon,F,2018/19,Columbus
8167,5.85,285.36585365900004,4,Lower body,Dubinsky Brandon,F,2018/19,Columbus
8168,5.85,713.414634146,10,Oblique,Dubinsky Brandon,F,2018/19,Columbus
8170,0.675,49.390243901999995,6,Upper body,Hannikainen Markus,F,2018/19,Columbus
8171,3.75,137.195121951,3,Ankle,Jenner Boone,F,2018/19,Columbus
8177,6.0,73.170731707,1,Lower body,Panarin Artemi,F,2018/19,Columbus
8178,0.675,16.463414634,2,Concussion,Harrington Scott,D,2018/19,Columbus
8180,5.4,460.975609756,7,Knee,Jones Seth,D,2018/19,Columbus
8181,2.75,167.682926829,5,Upper body,McQuaid Adam,D,2018/19,Columbus
8183,2.825,34.451219512,1,Lower body,Murray Ryan,D,2018/19,Columbus
8184,2.825,826.829268293,24,Upper body,Murray Ryan,D,2018/19,Columbus
8187,7.425,90.54878048799999,1,Upper body,Bobrovsky Sergei,G,2018/19,Columbus
8188,9.5,115.853658537,1,Upper body,Benn Jamie,F,2018/19,Dallas
8189,9.5,231.70731707299998,2,Upper body,Benn Jamie,F,2018/19,Dallas
8190,3.25,118.902439024,3,Upper body,Cogliano Andrew,F,2018/19,Dallas
8192,2.4,87.804878049,3,Upper body,Comeau Blake,F,2018/19,Dallas
8193,0.875,117.37804878,11,Back,Dickinson Jason,F,2018/19,Dallas
8194,0.875,21.341463415,2,Lower body,Dickinson Jason,F,2018/19,Dallas
8195,0.65,23.780487805,3,Upper body,Dowling Justin,F,2018/19,Dallas
8196,2.2,26.829268293000002,1,Neck,Faksa Radek,F,2018/19,Dallas
8197,4.75,57.926829268,1,Back,Hanzal Martin,F,2018/19,Dallas
8198,4.75,1679.87804878,29,Back,Hanzal Martin,F,2018/19,Dallas
8199,4.75,2606.707317073,45,Back,Hanzal Martin,F,2018/19,Dallas
8201,2.95,71.951219512,2,Lower body,Nichushkin Valeri,F,2018/19,Dallas
8202,2.95,107.92682926799999,3,Lower body,Nichushkin Valeri,F,2018/19,Dallas
8203,2.95,107.92682926799999,3,Upper body,Nichushkin Valeri,F,2018/19,Dallas
8205,1.0,365.85365853699994,30,Wrist,Pitlick Tyler,F,2018/19,Dallas
8207,6.25,304.87804878,4,Lower body,Radulov Alexander,F,2018/19,Dallas
8208,6.25,457.317073171,6,Lower body,Radulov Alexander,F,2018/19,Dallas
8209,1.75,21.341463415,1,Hand,Ritchie Brett,F,2018/19,Dallas
8210,1.75,42.682926829,2,Hand,Ritchie Brett,F,2018/19,Dallas
8211,1.75,21.341463415,1,Upper body,Ritchie Brett,F,2018/19,Dallas
8212,1.75,85.365853659,4,Upper body,Ritchie Brett,F,2018/19,Dallas
8213,2.3,112.195121951,4,Lower body,Shore Devin,F,2018/19,Dallas
8215,3.15,653.048780488,17,Arm,Zuccarello Mats,F,2018/19,Dallas
8216,1.3,428.04878048800003,27,Foot,Carrick Connor,D,2018/19,Dallas
8219,2.35,2350.0,82,Head,Johns Stephen,D,2018/19,Dallas
8220,4.25,932.926829268,18,Hand,Klingberg John,D,2018/19,Dallas
8221,4.9,119.51219512200001,2,Lower body,Methot Marc,D,2018/19,Dallas
8222,4.9,4182.926829268,70,Lower body,Methot Marc,D,2018/19,Dallas
8223,4.9,59.756097561000004,1,Soreness,Methot Marc,D,2018/19,Dallas
8226,4.916666,119.918682927,2,Lower body,Bishop Ben,G,2018/19,Dallas
8227,4.916666,239.837365854,4,Lower body,Bishop Ben,G,2018/19,Dallas
8228,4.916666,299.796707317,5,Lower body,Bishop Ben,G,2018/19,Dallas
8229,4.916666,359.75604878,6,Upper body,Bishop Ben,G,2018/19,Dallas
8230,4.25,570.12195122,11,Leg,Abdelkader Justin,F,2018/19,Detroit
8232,3.0,73.170731707,2,Upper body,Athanasiou Andreas,F,2018/19,Detroit
8233,1.4,119.51219512200001,7,Upper body,Bertuzzi Tyler,F,2018/19,Detroit
8234,0.9,98.780487805,9,Heart,De La Rose Jacob,F,2018/19,Detroit
8235,0.9,32.926829268,3,Upper body,De La Rose Jacob,F,2018/19,Detroit
8237,3.85,985.975609756,21,Upper body,Helm Darren,F,2018/19,Detroit
8238,6.1,371.95121951199997,5,Neck,Larkin Dylan,F,2018/19,Detroit
8239,6.1,74.390243902,1,Oblique,Larkin Dylan,F,2018/19,Detroit
8240,3.3,603.658536585,15,Hand,Mantha Anthony,F,2018/19,Detroit
8241,5.25,320.12195122,5,Concussion,Nielsen Frans,F,2018/19,Detroit
8245,1.7108330000000003,208.63817073200002,10,Hamstring,Rasmussen Michael,F,2018/19,Detroit
8246,1.7108330000000003,166.910536585,8,Upper body,Rasmussen Michael,F,2018/19,Detroit
8247,3.0,109.756097561,3,Hip,Vanek Thomas,F,2018/19,Detroit
8248,3.0,292.682926829,8,Lower body,Vanek Thomas,F,2018/19,Detroit
8249,3.0,256.097560976,7,Mid-body,Vanek Thomas,F,2018/19,Detroit
8250,3.9545449999999995,3954.545,82,Concussion,Franzen Johan,"F ""retired""",2018/19,Detroit
8251,6.0833330000000005,6083.3330000000005,82,Back,Zetterberg Henrik,"F ""retired""",2018/19,Detroit
8252,0.894166,21.808926829,2,Upper body,Cholowski Dennis,D,2018/19,Detroit
8253,3.166666,77.235756098,2,Back,Daley Trevor,D,2018/19,Detroit
8254,3.166666,424.796658537,11,Back,Daley Trevor,D,2018/19,Detroit
8255,3.166666,617.88604878,16,Foot,Daley Trevor,D,2018/19,Detroit
8256,3.166666,193.08939024400001,5,Lower body,Daley Trevor,D,2018/19,Detroit
8257,3.166666,154.471512195,4,Upper body,Daley Trevor,D,2018/19,Detroit
8258,5.0,487.804878049,8,Hand,DeKeyser Danny,D,2018/19,Detroit
8259,5.0,1158.536585366,19,Hand,DeKeyser Danny,D,2018/19,Detroit
8260,5.0,182.926829268,3,Lower body,DeKeyser Danny,D,2018/19,Detroit
8261,4.25,259.146341463,5,Lower body,Ericsson Jonathan,D,2018/19,Detroit
8263,4.25,362.804878049,7,Upper body,Ericsson Jonathan,D,2018/19,Detroit
8266,5.375,852.134146341,13,Lower body,Green Mike,D,2018/19,Detroit
8269,3.0,146.341463415,4,Upper body,Bernier Jonathan,G,2018/19,Detroit
8270,5.291666,64.532512195,1,Back,Howard Jimmy,G,2018/19,Detroit
8274,1.5,73.170731707,4,Hand,Caggiula Drake,F,2018/19,Edmonton
8276,1.5,54.87804878,3,Lower body,Caggiula Drake,F,2018/19,Edmonton
8277,0.65,23.780487805,3,Knee,Chiasson Alex,F,2018/19,Edmonton
8278,1.95,23.780487805,1,Neck,Kassian Zack,F,2018/19,Edmonton
8279,0.675,41.158536585,5,Foot,Khaira Jujhar,F,2018/19,Edmonton
8282,6.0,146.341463415,2,Hip,Lucic Milan,F,2018/19,Edmonton
8283,6.0,73.170731707,1,Lower body,Lucic Milan,F,2018/19,Edmonton
8285,3.425,1044.207317073,25,Hip,Puljujarvi Jesse,F,2018/19,Edmonton
8286,0.8,68.292682927,7,Mid-body,Rattie Ty,F,2018/19,Edmonton
8287,2.0,317.073170732,13,Upper body,Rieder Tobias,F,2018/19,Edmonton
8289,1.124166,109.674731707,8,Upper body,Yamamoto Kailer,F,2018/19,Edmonton
8291,1.9,92.682926829,4,Upper body,Benning Matt,D,2018/19,Edmonton
8293,4.167,1067.158536585,21,Hand,Klefbom Oscar,D,2018/19,Edmonton
8294,1.95,142.682926829,6,Concussion,Petrovic Alex,D,2018/19,Edmonton
8295,4.0,487.804878049,10,Groin,Russell Kris,D,2018/19,Edmonton
8296,5.5,3890.243902439,58,Achilles,Sekera Andrej,D,2018/19,Edmonton
8297,4.1,800.0,16,Upper body,Bjugstad Nick,F,2018/19,Florida
8298,3.0,36.585365854,1,Upper body,Brassard Derick,F,2018/19,Florida
8300,0.925,45.12195122,4,Lower body,Hawryluk Jayce,F,2018/19,Florida
8301,1.375,1358.231707317,81,Shoulder,MacKenzie Derek,F,2018/19,Florida
8303,0.693333,50.731682927,6,Upper body,Malgin Denis,F,2018/19,Florida
8304,1.25,15.243902439000001,1,Upper body,McCann Jared,F,2018/19,Florida
8305,3.333333,1951.219317073,48,Back,McGinn Jamie,F,2018/19,Florida
8307,1.2,248.780487805,17,Hand,Sceviour Colton,F,2018/19,Florida
8308,4.75,1564.024390244,27,Ankle,Trocheck Vincent,F,2018/19,Florida
8309,0.925,22.56097561,2,Jaw,Kiselevich Bogdan,D,2018/19,Florida
8310,4.875,237.80487804900002,4,Lower body,Matheson Mike,D,2018/19,Florida
8311,2.733333,199.99997561,6,Upper body,Pysyk Mark,D,2018/19,Florida
8312,0.9,43.902439023999996,4,Concussion,Weegar MacKenzie,D,2018/19,Florida
8313,0.9,43.902439023999996,4,Lower body,Weegar MacKenzie,D,2018/19,Florida
8314,0.9,32.926829268,3,Shoulder,Weegar MacKenzie,D,2018/19,Florida
8315,0.9,76.829268293,7,Upper body,Weegar MacKenzie,D,2018/19,Florida
8316,4.533333,442.276390244,8,Knee,Luongo Roberto,G,2018/19,Florida
8317,4.533333,276.422743902,5,Lower body,Luongo Roberto,G,2018/19,Florida
8318,3.4,207.31707317099998,5,Lower body,Reimer James,G,2018/19,Florida
8319,0.65,467.682926829,59,Shoulder,Brodzinski Jonny,F,2018/19,Los Angeles
8320,5.875,716.463414634,10,Finger,Brown Dustin,F,2018/19,Los Angeles
8321,5.272727,321.507743902,5,Lower body,Carter Jeff,F,2018/19,Los Angeles
8322,5.272727,64.30154878,1,Upper body,Carter Jeff,F,2018/19,Los Angeles
8323,1.6,136.585365854,7,Upper body,Clifford Kyle,F,2018/19,Los Angeles
8324,3.75,914.634146341,20,Knee,Hagelin Carl,F,2018/19,Los Angeles
8325,0.894167,10.90447561,1,Upper body,Kempe Adrian,F,2018/19,Los Angeles
8327,6.25,762.195121951,10,Ankle,Kovalchuk Ilya,F,2018/19,Los Angeles
8328,6.25,76.219512195,1,Upper body,Kovalchuk Ilya,F,2018/19,Los Angeles
8329,0.65,71.341463415,9,Lower body,Leipsic Brendan,F,2018/19,Los Angeles
8330,2.0,926.829268293,38,Foot,Lewis Trevor,F,2018/19,Los Angeles
8331,1.063333,12.96747561,1,Lower body,Scherbak Nikita,F,2018/19,Los Angeles
8333,0.925,45.12195122,4,Lower body,Wagner Austin,F,2018/19,Los Angeles
8334,0.925,11.280487805,1,Upper body,Wagner Austin,F,2018/19,Los Angeles
8335,0.65,23.780487805,3,Lower body,Fantenberg Oscar,D,2018/19,Los Angeles
8336,0.825,50.304878048999996,5,Upper body,LaDue Paul,D,2018/19,Los Angeles
8337,0.675,24.695121950999997,3,Upper body,MacDermid Kurtis,D,2018/19,Los Angeles
8338,4.0,390.243902439,8,Upper body,Martinez Alec,D,2018/19,Los Angeles
8339,4.0,682.926829268,14,Upper body,Martinez Alec,D,2018/19,Los Angeles
8340,5.25,448.17073170699996,7,Upper body,Phaneuf Dion,D,2018/19,Los Angeles
