,PLAYER,INJURY COUNT,CAP HIT,CHIP,GAMES MISSED,INJURY TYPE,POSITION,SEASON,TEAM
0,Abdelkader Justin,1,4.25,570.12195122,11,Leg,F,2018/19,Detroit
1,Aberg Pontus,1,0.65,63.414634146000004,8,Lower body,F,2018/19,Minnesota
2,Andersen Frederik,2,5.0,365.85365853699994,6,Groin,G,2018/19,Toronto
3,Andersen Frederik,2,5.0,60.975609756000004,1,Knee,G,2018/19,Toronto
4,Anderson Craig,2,4.75,637.195121951,11,Concussion,G,2018/19,Ottawa
5,Anderson Craig,2,4.75,173.780487805,3,Eye,G,2018/19,Ottawa
6,Anderson Joey,1,0.925,372.256097561,33,Ankle,F,2018/19,New Jersey
7,Andrighetto Sven,1,1.4,102.43902439,6,Lower body,F,2018/19,Colorado
8,Anisimov Artem,1,4.55,221.951219512,4,Concussion,F,2018/19,Chicago
9,Archibald Josh,1,0.675,32.926829268,4,Upper body,F,2018/19,Arizona/Phoenix
10,Armia Joel,1,1.85,564.024390244,25,Knee,F,2018/19,Montreal
11,Arvidsson Viktor,2,4.25,155.487804878,3,Lower body,F,2018/19,Nashville
12,Arvidsson Viktor,2,4.25,1088.414634146,21,Thumb,F,2018/19,Nashville
13,Aston-Reese Zach,2,0.925,146.646341463,13,Hand,F,2018/19,Pittsburgh
14,Aston-Reese Zach,2,0.925,146.646341463,13,Lower body,F,2018/19,Pittsburgh
15,Athanasiou Andreas,1,3.0,73.170731707,2,Upper body,F,2018/19,Detroit
16,Atkinson Cam,1,5.875,71.646341463,1,Facial,F,2018/19,Columbus
17,Backes David,1,6.0,365.85365853699994,5,Upper body,F,2018/19,Boston
18,Backlund Mikael,1,5.35,260.975609756,4,Concussion,F,2018/19,Calgary
19,Baertschi Sven,2,3.3666660000000004,944.308756098,23,Concussion,F,2018/19,Vancouver
20,Baertschi Sven,2,3.3666660000000004,1231.707073171,30,Concussion,F,2018/19,Vancouver
21,Barberio Mark,2,1.45,141.463414634,8,Head,D,2018/19,Colorado
22,Barberio Mark,2,1.45,335.975609756,19,Upper body,D,2018/19,Colorado
23,Barrie Tyson,1,5.5,268.292682927,4,Lower body,D,2018/19,Colorado
24,Bastian Nathan,1,0.905,154.512195122,14,Upper body,F,2018/19,New Jersey
25,Beagle Jay,1,3.0,878.048780488,24,Arm,F,2018/19,Vancouver
26,Beaulieu Nathan,1,2.4,117.07317073200001,4,Upper body,D,2018/19,Buffalo
27,Benn Jamie,2,9.5,115.853658537,1,Upper body,F,2018/19,Dallas
28,Benn Jamie,2,9.5,231.70731707299998,2,Upper body,F,2018/19,Dallas
29,Bennett Sam,2,1.95,47.56097561,2,Upper body,F,2018/19,Calgary
30,Bennett Sam,2,1.95,118.902439024,5,Upper body,F,2018/19,Calgary
31,Benning Matt,1,1.9,92.682926829,4,Upper body,D,2018/19,Edmonton
32,Bergeron Patrice,1,6.875,1341.463414634,16,Sternoclavicular,F,2018/19,Boston
33,Berglund Patrik,1,3.85,234.756097561,5,Upper body,F,2018/19,Buffalo
34,Bernier Jonathan,1,3.0,146.341463415,4,Upper body,G,2018/19,Detroit
35,Bertuzzi Tyler,1,1.4,119.51219512200001,7,Upper body,F,2018/19,Detroit
36,Bishop Ben,4,4.916666,119.918682927,2,Lower body,G,2018/19,Dallas
37,Bishop Ben,4,4.916666,239.837365854,4,Lower body,G,2018/19,Dallas
38,Bishop Ben,4,4.916666,299.796707317,5,Lower body,G,2018/19,Dallas
39,Bishop Ben,4,4.916666,359.75604878,6,Upper body,G,2018/19,Dallas
40,Bishop Clark,1,0.713333,69.593463415,8,Lower body,F,2018/19,Carolina
41,Bjugstad Nick,1,4.1,800.0,16,Upper body,F,2018/19,Florida
42,Blackwood Mackenzie,1,0.913333,33.414621951,3,Lower body,G,2018/19,New Jersey
43,Blais Sammy,1,0.725833,115.071085366,13,Lower body,F,2018/19,St. Louis
44,Bobrovsky Sergei,1,7.425,90.54878048799999,1,Upper body,G,2018/19,Columbus
45,Boedker Mikkel,1,4.0,341.463414634,7,Mid-body,F,2018/19,Ottawa
46,Boeser Brock,2,1.491667,36.382121951,2,Groin,F,2018/19,Vancouver
47,Boeser Brock,2,1.491667,200.101670732,11,Groin,F,2018/19,Vancouver
48,Bogosian Zach,5,5.142857,62.717768293,1,Lower body,D,2018/19,Buffalo
49,Bogosian Zach,5,5.142857,125.435536585,2,Lower body,D,2018/19,Buffalo
50,Bogosian Zach,5,5.142857,313.588841463,5,Lower body,D,2018/19,Buffalo
51,Bogosian Zach,5,5.142857,501.74214634099997,8,Lower body,D,2018/19,Buffalo
52,Bogosian Zach,5,5.142857,62.717768293,1,Upper body,D,2018/19,Buffalo
53,Bolland Dave,1,5.5,5500.0,82,Lower body,"F ""retired""",2018/19,Arizona/Phoenix
54,Borowiecki Mark,5,1.2,87.804878049,6,Foot,D,2018/19,Ottawa
55,Borowiecki Mark,5,1.2,175.609756098,12,Hand,D,2018/19,Ottawa
56,Borowiecki Mark,5,1.2,14.634146341,1,Lower body,D,2018/19,Ottawa
57,Borowiecki Mark,5,1.2,14.634146341,1,Upper body,D,2018/19,Ottawa
58,Borowiecki Mark,5,1.2,58.536585366000004,4,Upper body,D,2018/19,Ottawa
59,Bortuzzo Robert,2,1.15,14.024390244000001,1,Lower body,D,2018/19,St. Louis
60,Bortuzzo Robert,2,1.15,224.390243902,16,Lower body,D,2018/19,St. Louis
61,Bouwmeester Jay,1,5.4,197.56097561,3,Hip,D,2018/19,St. Louis
62,Boychuk Johnny,1,6.0,146.341463415,2,Concussion,D,2018/19,NY Islanders
63,Boyd Travis,1,0.8,117.07317073200001,12,Lower body,F,2018/19,Washington
64,Boyle Brian,2,2.55,31.097560976,1,Lower body,F,2018/19,Nashville
65,Boyle Brian,2,2.55,155.487804878,5,Upper body,F,2018/19,New Jersey
66,Bozak Tyler,1,5.0,548.780487805,9,Concussion,F,2018/19,St. Louis
67,Brassard Derick,3,3.0,36.585365854,1,Upper body,F,2018/19,Florida
68,Brassard Derick,3,3.0,329.26829268299997,9,Lower body,F,2018/19,Pittsburgh
69,Brassard Derick,3,3.0,36.585365854,1,Upper body,F,2018/19,Pittsburgh
70,Bratt Jesper,3,0.825,130.79268292700002,13,Jaw,F,2018/19,New Jersey
71,Bratt Jesper,3,0.825,20.12195122,2,Lower body,F,2018/19,New Jersey
72,Bratt Jesper,3,0.825,150.914634146,15,Lower body,F,2018/19,New Jersey
73,Braun Justin,1,3.8,185.365853659,4,Knee,D,2018/19,San Jose
74,Brisebois Guillaume,1,0.888333,75.833304878,7,Hip,D,2018/19,Vancouver
75,Brodzinski Jonny,1,0.65,467.682926829,59,Shoulder,F,2018/19,Los Angeles
76,Brossoit Laurent,1,0.65,63.414634146000004,8,Lower body,G,2018/19,Winnipeg/Atlanta
77,Brown Dustin,1,5.875,716.463414634,10,Finger,F,2018/19,Los Angeles
78,Buchnevich Pavel,2,0.925,11.280487805,1,Concussion,F,2018/19,NY Rangers
79,Buchnevich Pavel,2,0.925,146.646341463,13,Thumb,F,2018/19,NY Rangers
80,Butcher Will,1,3.775,46.036585366000004,1,Lower body,D,2018/19,New Jersey
81,Byfuglien Dustin,4,7.6,1760.975609756,19,Ankle,D,2018/19,Winnipeg/Atlanta
82,Byfuglien Dustin,4,7.6,370.731707317,4,Concussion,D,2018/19,Winnipeg/Atlanta
83,Byfuglien Dustin,4,7.6,1390.2439024389998,15,Leg,D,2018/19,Winnipeg/Atlanta
84,Byfuglien Dustin,4,7.6,185.365853659,2,Upper body,D,2018/19,Winnipeg/Atlanta
85,Byron Paul,4,1.166667,85.365878049,6,Arm,F,2018/19,Montreal
86,Byron Paul,4,1.166667,199.18704878,14,Lower body,F,2018/19,Montreal
87,Byron Paul,4,1.166667,28.455292683000003,2,Upper body,F,2018/19,Montreal
88,Byron Paul,4,1.166667,14.227646341,1,Wrist,F,2018/19,Montreal
89,Caggiula Drake,3,1.5,237.80487804900002,13,Concussion,F,2018/19,Chicago
90,Caggiula Drake,3,1.5,73.170731707,4,Hand,F,2018/19,Edmonton
91,Caggiula Drake,3,1.5,54.87804878,3,Lower body,F,2018/19,Edmonton
92,Callahan Ryan,2,5.8,282.926829268,4,Shoulder,F,2018/19,Tampa Bay
93,Callahan Ryan,2,5.8,141.463414634,2,Upper body,F,2018/19,Tampa Bay
94,Campbell Jack,1,0.675,189.32926829299998,23,Knee,G,2018/19,Los Angeles
95,Capobianco Kyle,1,0.894166,305.32497561,28,Lower body,D,2018/19,Arizona/Phoenix
96,Carlo Brandon,1,0.894167,98.14028048799999,9,Upper body,D,2018/19,Boston
97,Carlson John,1,8.0,97.56097561,1,Lower body,D,2018/19,Washington
98,Carpenter Ryan,1,0.65,63.414634146000004,8,Upper body,F,2018/19,Vegas
99,Carrick Connor,1,1.3,428.04878048800003,27,Foot,D,2018/19,Dallas
100,Carrier William,1,0.725,123.780487805,14,Upper body,F,2018/19,Vegas
101,Carter Jeff,2,5.272727,321.507743902,5,Lower body,F,2018/19,Los Angeles
102,Carter Jeff,2,5.272727,64.30154878,1,Upper body,F,2018/19,Los Angeles
103,Ceci Cody,2,4.3,157.317073171,3,Upper body,D,2018/19,Ottawa
104,Ceci Cody,2,4.3,209.756097561,4,Upper body,D,2018/19,Ottawa
105,Cehlarik Peter,1,0.925,22.56097561,2,Lower body,F,2018/19,Boston
106,Cernak Erik,1,0.89,21.707317073000002,2,Lower body,D,2018/19,Tampa Bay
107,Chabot Thomas,2,1.223333,59.674780488,4,Toe,D,2018/19,Ottawa
108,Chabot Thomas,2,1.223333,119.349560976,8,Upper body,D,2018/19,Ottawa
109,Chara Zdeno,1,6.75,1564.024390244,19,Knee,D,2018/19,Boston
110,Chiarot Ben,1,1.4,68.292682927,4,Lower body,D,2018/19,Winnipeg/Atlanta
111,Chiasson Alex,1,0.65,23.780487805,3,Knee,F,2018/19,Edmonton
112,Cholowski Dennis,1,0.894166,21.808926829,2,Upper body,D,2018/19,Detroit
113,Chychrun Jakob,3,1.35,263.41463414599997,16,Knee,D,2018/19,Arizona/Phoenix
114,Chychrun Jakob,3,1.35,65.853658537,4,Lower body,D,2018/19,Arizona/Phoenix
115,Chychrun Jakob,3,1.35,32.926829268,2,Upper body,D,2018/19,Arizona/Phoenix
116,Cizikas Casey,3,3.35,40.853658537,1,Lower body,F,2018/19,NY Islanders
117,Cizikas Casey,3,3.35,81.707317073,2,Lower body,F,2018/19,NY Islanders
118,Cizikas Casey,3,3.35,245.12195122,6,Lower body,F,2018/19,NY Islanders
119,Claesson Fredrik,2,0.7,110.975609756,13,Shoulder,D,2018/19,NY Rangers
120,Claesson Fredrik,2,0.7,76.829268293,9,Upper body,D,2018/19,NY Rangers
121,Clarkson David,1,5.25,5250.0,82,Back,"F ""retired""",2018/19,Vegas
122,Clifford Kyle,1,1.6,136.585365854,7,Upper body,F,2018/19,Los Angeles
123,Clutterbuck Cal,3,3.5,42.682926829,1,Lower body,F,2018/19,NY Islanders
124,Clutterbuck Cal,3,3.5,85.365853659,2,Upper body,F,2018/19,NY Islanders
125,Clutterbuck Cal,3,3.5,128.048780488,3,Upper body,F,2018/19,NY Islanders
126,Coburn Braydon,1,3.7,45.12195122,1,Upper body,D,2018/19,Tampa Bay
127,Cogliano Andrew,1,3.25,118.902439024,3,Upper body,F,2018/19,Dallas
128,Cole Ian,1,4.25,570.12195122,11,Orbital bone,D,2018/19,Colorado
129,Coleman Blake,1,1.8,87.804878049,4,Upper body,F,2018/19,New Jersey
130,Comeau Blake,1,2.4,87.804878049,3,Upper body,F,2018/19,Dallas
131,Compher J.T.,1,1.0,195.12195122,16,Concussion,F,2018/19,Colorado
132,Comtois Maxime,1,0.925,157.926829268,14,Lower body,F,2018/19,Anaheim
133,Connauton Kevin,2,1.375,16.768292683,1,Lower body,D,2018/19,Arizona/Phoenix
134,Connauton Kevin,2,1.375,83.841463415,5,Lower body,D,2018/19,Arizona/Phoenix
135,Copp Andrew,1,1.0,36.585365854,3,Concussion,F,2018/19,Winnipeg/Atlanta
136,Couturier Sean,1,4.3333330000000005,105.69104878,2,Lower body,F,2018/19,Philadelphia
137,Crawford Corey,3,6.0,365.85365853699994,5,Concussion,G,2018/19,Chicago
138,Crawford Corey,3,6.0,2048.780487805,28,Concussion,G,2018/19,Chicago
