,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
1,Byfuglien Dustin,WPG,80,13,39,52,10,27:27,2327,29.1,42:13, D
2,Doughty Drew,LA,82,12,32,44,8,27:09,2657,32.4,50:35, D
3,Suter Ryan,MIN,82,9,31,40,34,26:55,2319,28.3,55:11, D
4,Karlsson Erik,OTT,77,17,54,71,10,26:50,2425,31.5,29:06, D
5,Ristolainen Rasmus,BUF,79,6,39,45,-9,26:28,2341,29.6,46:28, D
6,Keith Duncan,CHI,80,6,47,53,22,25:37,2379,29.7,38:40, D
7,Letang Kris,PIT,41,5,29,34,2,25:31,1207,29.4,30:46, D
8,Pietrangelo Alex,STL,80,14,34,48,3,25:17,2468,30.9,42:08, D
9,Josi Roman,NSH,72,12,37,49,7,25:04,2076,28.8,36:50, D
10,Weber Shea,MTL,78,17,25,42,20,25:04,2218,28.4,46:32, D
12,Trouba Jacob,WPG,60,8,25,33,4,24:58,1716,28.6,45:23, D
13,Burns Brent,SJ,82,29,47,76,19,24:52,2295,28.0,26:49, D
14,Fowler Cam,ANA,80,11,28,39,7,24:51,2258,28.2,50:58, D
15,Ekman-Larsson Oliver,ARI,79,12,27,39,-25,24:37,2332,29.5,49:51, D
16,Hedman Victor,TB,79,16,56,72,3,24:31,2201,27.9,26:53, D
17,Subban P.K.,NSH,66,10,30,40,-8,24:24,1860,28.2,40:16, D
18,McDonagh Ryan,NYR,77,6,36,42,20,24:21,2275,29.5,44:39, D
19,Edler Alexander,VAN,68,6,15,21,-20,24:19,1931,28.4,78:43, D
20,Spurgeon Jared,MIN,76,10,28,38,33,24:02,2084,27.4,48:04, D
21,Ellis Ryan,NSH,71,16,22,38,17,23:57,2028,28.6,44:45, D
23,Giordano Mark,CGY,81,12,27,39,22,23:35,2364,29.2,48:58, D
24,Brodie T.J.,CGY,82,6,30,36,-16,23:35,2379,29.0,53:42, D
25,Green Mike,DET,72,14,22,36,-20,23:33,2042,28.4,47:06, D
26,Ekholm Mattias,NSH,82,3,20,23,4,23:28,2330,28.4,83:38, D
27,Slavin Jaccob,CAR,82,5,29,34,23,23:26,2135,26.0,56:31, D
28,Jones Seth,CBJ,75,12,30,42,6,23:24,2247,30.0,41:47, D
29,Klingberg John,DAL,80,13,36,49,2,23:21,2209,27.6,38:07, D
30,Chara Zdeno,BOS,75,10,19,29,18,23:20,1958,26.1,60:20, D
31,Goligoski Alex,ARI,82,6,30,36,-9,23:20,2356,28.7,53:08, D
32,Barrie Tyson,COL,74,7,31,38,-34,23:18,2050,27.7,45:23, D
34,Ceci Cody,OTT,79,2,15,17,-11,23:12,2418,30.6,107:50, D
35,Faulk Justin,CAR,75,17,20,37,-18,23:08,1987,26.5,46:54, D
36,Phaneuf Dion,OTT,81,9,21,30,-6,23:02,2476,30.6,62:12, D
37,Stralman Anton,TB,73,5,17,22,1,22:54,1963,26.9,75:59, D
38,Leddy Nick,NYI,81,11,35,46,-3,22:43,1912,23.6,40:00, D
39,Carlson John,WSH,72,9,28,37,7,22:43,1916,26.6,44:11, D
40,Lindholm Hampus,ANA,66,6,14,20,13,22:27,1786,27.1,74:05, D
41,Bouwmeester Jay,STL,81,1,14,15,6,22:24,2366,29.2,120:59, D
42,Klefbom Oscar,EDM,82,12,26,38,7,22:22,2197,26.8,48:16, D
43,Muzzin Jake,LA,82,9,19,28,-21,22:18,2472,30.1,65:17, D
