Date,Team,Acquired,Relinquised,Notes
10/3/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10/6/2010,Pistons,,Jonas Jerebko,torn right Acchilles tendon (out indefinitely)
10/6/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
10/8/2010,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
10/8/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
10/8/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
10/8/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
10/9/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
10/12/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
10/12/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
10/17/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
10/18/2010,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
10/19/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
10/22/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
10/25/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
10/25/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
10/26/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
10/27/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
10/27/2010,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP)
10/28/2010,Grizzlies,,Zach Randolph,back injury (DTD)
10/28/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
10/28/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
10/29/2010,Heat,Mario Chalmers,,returned to lineup
10/29/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
10/30/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/2/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/2/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Hawks,,Jamal Crawford,turf toe (DNP)
11/3/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP)
11/3/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
11/3/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
11/3/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/3/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Warriors,,Brandan Wright,stomach virus (DTD)
11/4/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
11/5/2010,Bucks,,Andrew Bogut,migraine headache (DNP)
11/5/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/5/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP)
11/5/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
11/6/2010,Blazers,,Rudy Fernandez,back injury (DNP)
11/6/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
11/6/2010,Raptors,,Sonny Weems,ankle injury (DTD)
11/7/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/8/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/8/2010,Magic,,Mickael Pietrus,DNP
11/9/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/10/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/10/2010,Clippers,,Chris Kaman,sprained left ankle (DNP)
11/10/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/10/2010,Raptors,,David Andersen,flu (DTD)
11/10/2010,Timberwolves,,Wayne Ellington,thigh injury (DTD)
11/10/2010,Clippers,,Eric Gordon,sore left shoulder (DNP)
11/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/11/2010,Rockets,,Yao Ming,sprained left ankle (DTD)
11/11/2010,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
11/11/2010,Warriors,,David Lee,placed on IL with infection in left elbow
11/12/2010,Warriors,,David Lee,surgery on left elbow to repair infection
11/12/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/13/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/13/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/13/2010,Raptors,,Reggie Evans,flu-like symptoms (DNP)
11/14/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
11/14/2010,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
11/14/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
11/15/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/15/2010,Jazz,,Raja Bell,strained left abductor (DNP)
11/15/2010,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
11/15/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
11/16/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/16/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/17/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/17/2010,Jazz,,Kyrylo Fesenko,dizziness (DNP)
11/17/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
11/18/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/18/2010,Magic,,Jason Williams,foot injury (DTD)
11/19/2010,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
11/19/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/19/2010,Heat,,Juwan Howard,broken nose (DNP)
11/19/2010,Knicks,,Timofey Mozgov,left calf injury (DNP)
11/19/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/20/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/20/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/20/2010,Suns,,Steve Nash,strained groin (DNP)
11/21/2010,Wizards,,John Wall (a),sprained left foot (DNP)
11/22/2010,Hornets,,Marcus Thornton (T.),DNP
11/22/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/23/2010,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
11/24/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/24/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/24/2010,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
11/24/2010,Celtics,,Delonte West,broken right wrist (out indefinitely)
11/24/2010,Magic,Jason Williams,,returned to lineup
11/24/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/26/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/26/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/26/2010,Raptors,,Reggie Evans,broken right foot (out indefinitely)
11/26/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/27/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/27/2010,Bucks,,Corey Maggette,sore left ankle (DNP)
11/27/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
11/27/2010,Wizards,,John Wall (a),bruised right knee (P) / sore left knee (CBC) (DNP)
11/28/2010,Blazers,,Sean Marks,sprained right ankle (DNP)
11/28/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/28/2010,Knicks,,Toney Douglas,bruised right quadriceps (DNP)
11/28/2010,Lakers,,Devin Ebanks,gastroenteritis (DNP)
11/28/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
11/28/2010,Raptors,,Reggie Evans,broken right foot (DNP)
11/29/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/29/2010,Bucks,,Corey Maggette,illness (DNP)
11/29/2010,Bucks,,Drew Gooden,left foot injury (DNP)
11/29/2010,Wizards,,John Wall (a),bruised right knee (P) (DNP)
11/30/2010,Celtics,,Delonte West,surgery to repair broken right wrist
11/30/2010,Knicks,Toney Douglas,,returned to lineup
12/1/2010,Bucks,,Andrew Bogut,sore back (DNP)
12/1/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/2/2010,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
12/3/2010,Hornets,,David West,stomach virus (DNP)
12/3/2010,Magic,,Dwight Howard,stomach virus (DNP)
12/3/2010,Magic,,Jameer Nelson,stomach virus (DNP)
12/3/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/3/2010,Magic,,J.J. Redick,stomach virus (DNP)
12/4/2010,Magic,,Dwight Howard,stomach virus (DNP)
12/4/2010,Magic,,J.J. Redick,stomach virus (DNP)
12/4/2010,Magic,,Jameer Nelson,stomach virus (DNP)
12/4/2010,Magic,,Ryan Anderson,sprained right foot (DNP)
12/4/2010,Timberwolves,,Michael Beasley,sprained right ankle (DNP)
12/5/2010,Celtics,,Rajon Rondo,strained hamstring (DNP)
12/5/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,sore/swollen left knee (DNP)
12/5/2010,Thunder,,D.J. White,sprained right ankle (DTD)
12/5/2010,Warriors,,Rodney Carney,sprained left foot (DTD)
12/6/2010,Magic,,Jameer Nelson,stomach flu (DNP)
12/6/2010,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP)
12/8/2010,Celtics,Rajon Rondo,,returned to lineup
12/8/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
12/8/2010,Nuggets,,Carmelo Anthony,right knee inflammation (DNP)
12/8/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/8/2010,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP)
12/8/2010,Wizards,,John Wall (a),sore left foot (DNP)
12/9/2010,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP)
12/10/2010,Bobcats,,Tyrus Thomas,quadriceps injury (DTD)
12/10/2010,Hawks,,Zaur Pachulia / Zaza Pachulia,illness (DTD)
12/10/2010,Jazz,,Raja Bell,groin injury (DTD)
12/10/2010,Raptors,,Jose Calderon,sore left foot (DTD)
12/10/2010,Thunder,,Nenad Krstic,back injury (DTD)
12/10/2010,Thunder,D.J. White,,returned to lineup
12/10/2010,Timberwolves,Darko Milicic,,returned to lineup
12/10/2010,Warriors,,Stephen Curry,sprained right ankle (DTD)
12/11/2010,Cavaliers,,Ryan Hollins,stomach virus (DTD)
12/11/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
12/11/2010,Jazz,,Raja Bell,strained right abductor (DNP)
12/11/2010,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP)
12/11/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/12/2010,Magic,,Chris Duhon,strained lower back (DNP)
12/13/2010,Jazz,,Raja Bell,strained right abductor (DNP)
12/13/2010,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
12/14/2010,Kings,,Tyreke Evans,left foot injury (DTD)
12/14/2010,Magic,,Mickael Pietrus,sprained left knee (DNP)
12/14/2010,Magic,,Quentin Richardson,sore left elbow (DNP)
12/14/2010,Nuggets,,Chauncey Billups,sprained right wrist (DNP)
12/14/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/15/2010,Bucks,,John Salmons,back spasms (DNP)
12/15/2010,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
12/15/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
12/15/2010,Raptors,,Andrea Bargnani,sore left knee (DNP)
12/15/2010,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
12/15/2010,Wizards,,Yi Jianlian / Jianlian Yi,sprained right knee (out indefinitely)
12/16/2010,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
12/16/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
12/16/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
12/16/2010,Nets,,Anthony Morrow,strained right hamstring (DNP)
12/16/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
12/16/2010,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
12/16/2010,Spurs,,Tiago Splitter,strained right adductor (DTD)
12/16/2010,Wizards,,John Wallace,right knee tendinitis (DNP)
12/17/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/17/2010,Raptors,,Sonny Weems,sore lower back (DNP)
12/18/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/18/2010,Blazers,,Marcus Camby,sore right shoulder (DNP)
12/18/2010,Blazers,,Nicolas Batum,sore right shoulder (DNP)
12/18/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
12/18/2010,Spurs,,George Hill,sprained right big toe (DNP)
12/19/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
12/19/2010,Nets,,Quinton Ross,bruised lower back (DNP)
12/19/2010,Pistons,,Richard Hamilton,upset stomach (DNP)
12/19/2010,Pistons,,Rodney Stuckey,sore left big toe (DNP)
12/19/2010,Raptors,,Andrea Bargnani,sore right ankle (DNP)
12/19/2010,Raptors,,Sonny Weems,back spasms (DNP)
12/20/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/20/2010,Blazers,,Marcus Camby,strained right shoulder (DNP)
12/20/2010,Clippers,,Craig Smith,back injury (out indefinitely)
12/20/2010,Spurs,,George Hill,sprained right big toe (DNP)
12/20/2010,Warriors,,Dan Gadzuric,strained left groin (DNP)
12/20/2010,Bucks,,Carlos Delfino,concussion (DNP)
12/21/2010,Bucks,,Carlos Delfino,concussion (DNP)
12/21/2010,Bucks,,Drew Gooden,sore left foot (DNP)
12/21/2010,Magic,,Malik Allen,sprained left ankle (DNP)
12/21/2010,Nets,,Quinton Ross,bruised lower back (DNP)
12/21/2010,Warriors,,Dan Gadzuric,strained left groin (DNP)
12/22/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
12/22/2010,Nets,,Quinton Ross,bruised lower back (DNP)
12/22/2010,Raptors,,Jerryd Bayless,food poisoning (DNP)
12/22/2010,Raptors,,Sonny Weems,back spasms (DNP)
12/22/2010,Spurs,,George Hill,sprained right big toe (DNP)
12/23/2010,Bucks,,Carlos Delfino,concussion (DNP)
12/23/2010,Bucks,,Drew Gooden,sore left foot (DNP)
12/23/2010,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
12/23/2010,Spurs,,George Hill,sprained right big toe (DNP)
12/25/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/25/2010,Celtics,,Semih Erden,stomach virus (DTD)
12/25/2010,Magic,,Jason Williams,sore left foot (DNP)
12/27/2010,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
12/27/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/27/2010,Bucks,,Drew Gooden,sore left foot (DNP)
12/27/2010,Magic,,Jason Williams,sore left foot (DNP)
12/27/2010,Raptors,,Sonny Weems,back spasms (DNP)
12/28/2010,Blazers,,Brandon Roy,sore left knee (DNP)
12/28/2010,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP)
12/28/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
12/28/2010,Magic,,Jason Williams,sore left foot (DNP)
12/28/2010,Magic,,Quentin Richardson,flu-like symptoms (DNP)
12/28/2010,Raptors,,Jose Calderon,sore ankle (DNP)
12/28/2010,Raptors,,Sonny Weems,back spasms (DNP)
12/29/2010,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
12/29/2010,Celtics,,Semih Erden,upper respiratory infection (DNP)
12/29/2010,Jazz,,C.J. Miles,flu-like symptoms (DNP)
12/29/2010,Nuggets,,Kenyon Martin,sore left knee (DNP)
12/29/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,sore hamstring (DNP)
12/30/2010,Jazz,,C.J. Miles,flu (DNP)
12/30/2010,Jazz,,Mehmet Okur,strained lower back (DNP)
12/30/2010,Magic,,Jason Williams,sore left foot (DNP)
12/30/2010,Magic,,Quentin Richardson,flu-like symptoms (DNP)
12/30/2010,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
12/31/2010,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
12/31/2010,Hawks,,Marvin Williams,bruised back (DTD)
12/31/2010,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
12/31/2010,Raptors,,Sonny Weems,back spasms (DNP)
12/31/2010,Warriors,,Brandan Wright,strained lower back (out indefinitely)
12/31/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
1/1/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/1/2011,Cavaliers,,Daniel Gibson,bruised left thigh (DNP)
1/1/2011,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
1/1/2011,Grizzlies,,Rudy Gay,stomach virus (DNP)
1/1/2011,Grizzlies,,Xavier Henry,sore right knee (DNP)
1/1/2011,Jazz,,C.J. Miles,flu-like symptoms (DNP)
1/1/2011,Mavericks,,Shawn Marion,bruised thigh (DNP)
1/1/2011,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
1/2/2011,Blazers,,Brandon Roy,sore left knee (DNP)
1/2/2011,Knicks,,Timofey Mozgov,shin injury (DTD)
1/2/2011,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
1/2/2011,Raptors,,Sonny Weems,back spasms (DNP)
1/3/2011,76ers,,Spencer Hawes,strained back (DNP)
1/3/2011,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
1/3/2011,Pistons,,Chris Wilcox,groin injury (DTD)
1/3/2011,Warriors,Brandan Wright,,returned to lineup
1/4/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/4/2011,Grizzlies,,O.J. Mayo,bronchitis (DNP)
1/4/2011,Grizzlies,,Xavier Henry,sore right knee (DNP)
1/4/2011,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
1/5/2011,76ers,,Tony Battie,rotator cuff injury (DTD)
1/5/2011,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
1/5/2011,Bobcats,,Stephen Jackson,hyperextended left knee (DNP)
1/5/2011,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
1/5/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/5/2011,Jazz,,Paul Millsap,bruised right hip (DNP)
1/6/2011,Cavaliers,,Daniel Gibson,sprained left ankle (DTD)
1/6/2011,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
1/7/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/7/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/7/2011,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
1/7/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
1/7/2011,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
1/7/2011,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
1/7/2011,Raptors,,Sonny Weems,back spasms (DNP)
1/8/2011,Bucks,,Andrew Bogut,virus (DNP)
1/8/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/8/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/8/2011,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
1/8/2011,Nets,,Devin Harris,bruised right quadriceps (DNP)
1/9/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
1/9/2011,Nuggets,,Ty Lawson,strained left knee (DNP)
1/9/2011,Raptors,,Sonny Weems,back spasms (DNP)
1/10/2011,Rockets,,Brad Miller,sore right knee (DNP)
1/11/2011,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP)
1/11/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
1/11/2011,Knicks,,Anthony Randolph,flu-like symptoms (DNP)
1/11/2011,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
1/12/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/12/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/12/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
1/12/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
1/12/2011,Rockets,,Brad Miller,sore right knee (DNP)
1/12/2011,Warriors,,Reggie Williams,Achilles tendon injury (DTD)
1/13/2011,Heat,,LeBron James,sprained left ankle (DNP)
1/13/2011,Wizards,,Andray Blatche,sprained right shoulder (DNP)
1/14/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/14/2011,Cavaliers,,Christian Eyenga,sprained right ankle (DNP)
1/14/2011,Cavaliers,,Daniel Gibson,sprained left ankle (DNP)
1/14/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/14/2011,Celtics,,Kevin Garnett,strained right leg (DNP)
1/14/2011,Knicks,,Ronny Turiaf,right hip pointer (DTD)
1/14/2011,Raptors,,Leandro Barbosa,strained right hamstring (DTD)
1/14/2011,Spurs,,Matt Bonner,sore right knee (DTD)
1/14/2011,Warriors,,Brandan Wright,strained lower back (DTD)
1/14/2011,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
1/15/2011,Cavaliers,,Christian Eyenga,sprained left ankle (DNP)
1/15/2011,Cavaliers,,Daniel Gibson,sprained right ankle (DNP)
1/15/2011,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
1/15/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
1/15/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
1/15/2011,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP)
1/15/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
1/16/2011,Spurs,,Matt Bonner,sore right knee (DNP)
1/17/2011,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
1/17/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/17/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
1/17/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/17/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
1/17/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
1/17/2011,Raptors,,Jerryd Bayless,sore left ankle (DNP)
1/17/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
1/17/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
1/17/2011,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP)
1/18/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
1/19/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
1/19/2011,Bucks,,John Salmons,sore right hip (DNP)
1/19/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/19/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
1/19/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
1/20/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
1/20/2011,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus
1/20/2011,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
1/21/2011,Bucks,,John Salmons,sore right hip (DNP)
1/21/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/21/2011,Celtics,,Shaquille O'Neal,hip injury (DTD)
1/21/2011,Hornets,,Trevor Ariza,right ankle tendinitis / knee tendinitis (CBC) (DNP)
1/21/2011,Pistons,,Charlie Villanueva,sprained left ankle (DTD)
1/21/2011,Raptors,,Joey Dorsey,sore right knee (DTD)
1/21/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
1/21/2011,Spurs,,George Hill,sprained right thumb (DNP)
1/21/2011,Wizards,,Kirk Hinrich,sprained elbow (DTD)
1/22/2011,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
1/22/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
1/22/2011,Bucks,,John Salmons,strained right hip (DNP)
1/22/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
1/22/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
1/22/2011,Celtics,,Shaquille O'Neal,sore right knee (DNP)
1/22/2011,Heat,,Dwyane Wade,migraine headache (DNP)
1/22/2011,Hornets,,Trevor Ariza,right knee tendinitis (DNP)
1/22/2011,Magic,,Jason Williams,foot injury (out indefinitely)
1/22/2011,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
1/22/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
1/22/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
1/22/2011,Spurs,,George Hill,sprained right thumb (DNP)
1/24/2011,Bucks,,John Salmons,strained right hip (DNP)
1/24/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
1/24/2011,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
1/24/2011,Raptors,,Jose Calderon,flu-like symptoms / ankle injury (CBC) (DNP)
1/24/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
1/25/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
1/25/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
1/26/2011,Bucks,,John Salmons,strained right hip (DNP)
1/26/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
1/26/2011,Nuggets,,Kenyon Martin,left knee injury (DNP)
1/27/2011,Celtics,,Shaquille O'Neal,sore right hip (DNP)
1/28/2011,Bucks,,John Salmons,strained right hip (DNP)
1/28/2011,Heat,,Dwyane Wade,sprained right wrist (DNP)
1/28/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
1/28/2011,Jazz,,Mehmet Okur,strained lower back (DTD)
1/28/2011,Nets,,Jordan Farmar,strained lower back (DNP)
1/28/2011,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
1/28/2011,Wizards,,Kirk Hinrich,sprained right ankle (DNP)
1/29/2011,Bucks,,John Salmons,strained right hip (DNP)
1/29/2011,Nets,,Jordan Farmar,strained lower back (DNP)
1/29/2011,Wizards,,Mustafa Shakur,right leg injury (DTD)
1/30/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
1/30/2011,Knicks,,Wilson Chandler,sore left calf (DNP)
1/30/2011,Magic,,Gilbert Arenas,bruised left knee (P) / sore right knee (CBC) (DNP)
1/30/2011,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
1/30/2011,Suns,,Gani Lawal,surgery on right knee to repair torn ACL and partially torn MCL (out for season)
1/31/2011,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
1/31/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
1/31/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
1/31/2011,Magic,,J.J. Redick,sore left shoulder (DTD)
1/31/2011,Nets,,Jordan Farmar,strained lower back (DNP)
2/1/2011,Kings,,Jason Thompson,sprained right ankle (DNP)
2/1/2011,Lakers,,Andrew Bynum,bone bruised in left knee (DNP)
2/2/2011,Bucks,,Keyon Dooling,flu (DNP)
2/2/2011,Bucks,,Larry Sanders,illness (DNP)
2/2/2011,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
2/2/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
2/2/2011,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
2/2/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
2/2/2011,Pistons,,Jason Maxiell,sore back (DNP)
2/2/2011,Rockets,,Jordan Hill,sprained ankle (DNP)
2/3/2011,Bucks,,Chris Douglas-Roberts,DNP
2/3/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
