Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Pos,MP
Brandon Jennings,,,,,,,,,,,,,,,,,,,,PG,14.6
Jonas Jerebko,,,,,,,,,,,,,,,,,,,,PF,15.3
Brice Johnson,,,,,,,,,,,,,,,,,,,,PF,5.4
Brice Johnson,,,,,,,,,,,,,,,,,,,,PF,4.2
Brice Johnson,,,,,,,,,,,,,,,,,,,,PF,6.7
Dakari Johnson,,,,,,,,,,,,,,,,,,,,C,5.2
James Johnson,,,,,,,,,,,,,,,,,,,,PF,26.6
Joe Johnson,,,,,,,,,,,,,,,,,,,,SF,21.9
Joe Johnson,,,,,,,,,,,,,,,,,,,,SF,21.9
Joe Johnson,,,,,,,,,,,,,,,,,,,,SF,22.0
Omari Johnson,,,,,,,,,,,,,,,,,,,,PF,18.8
Stanley Johnson,,,,,,,,,,,,,,,,,,,,SF,27.4
Tyler Johnson,,,,,,,,,,,,,,,,,,,,PG,28.5
Wesley Johnson,,,,,,,,,,,,,,,,,,,,SF,20.1
Nikola Jokic,,,,,,,,,,,,,,,,,,,,C,32.6
Damian Jones,,,,,,,,,,,,,,,,,,,,C,5.9
Derrick Jones,,,,,,,,,,,,,,,,,,,,SF,12.3
Derrick Jones,,,,,,,,,,,,,,,,,,,,SF,5.5
Derrick Jones,,,,,,,,,,,,,,,,,,,,SF,15.1
Jalen Jones,,,,,,,,,,,,,,,,,,,,SF,11.3
Jalen Jones,,,,,,,,,,,,,,,,,,,,SF,4.8
Jalen Jones,,,,,,,,,,,,,,,,,,,,SF,13.5
Tyus Jones,,,,,,,,,,,,,,,,,,,,PG,17.9
DeAndre Jordan,,,,,,,,,,,,,,,,,,,,C,31.5
Cory Joseph,,,,,,,,,,,,,,,,,,,,PG,27.0
Frank Kaminsky,,,,,,,,,,,,,,,,,,,,PF,23.2
Enes Kanter,,,,,,,,,,,,,,,,,,,,C,25.8
Luke Kennard,,,,,,,,,,,,,,,,,,,,SG,20.0
Michael Kidd-Gilchrist,,,,,,,,,,,,,,,,,,,,SF,25.0
Sean Kilpatrick,,,,,,,,,,,,,,,,,,,,SG,12.3
Sean Kilpatrick,,,,,,,,,,,,,,,,,,,,SG,11.4
Sean Kilpatrick,,,,,,,,,,,,,,,,,,,,SG,8.9
Sean Kilpatrick,,,,,,,,,,,,,,,,,,,,SG,9.5
Sean Kilpatrick,,,,,,,,,,,,,,,,,,,,SG,23.8
Maxi Kleber,,,,,,,,,,,,,,,,,,,,PF,16.8
Furkan Korkmaz,,,,,,,,,,,,,,,,,,,,SG,5.7
Luke Kornet,,,,,,,,,,,,,,,,,,,,PF,16.3
Kyle Korver,,,,,,,,,,,,,,,,,,,,SG,21.6
Kosta Koufos,,,,,,,,,,,,,,,,,,,,C,19.6
Kyle Kuzma,,,,,,,,,,,,,,,,,,,,PF,31.2
Mindaugas Kuzminskas,,,,,,,,,,,,,,,,,,,,SF,2.0
Skal Labissiere,,,,,,,,,,,,,,,,,,,,PF,20.7
Jeremy Lamb,,,,,,,,,,,,,,,,,,,,SG,24.6
Shane Larkin,,,,,,,,,,,,,,,,,,,,PG,14.4
Joffrey Lauvergne,,,,,,,,,,,,,,,,,,,,C,9.7
Zach LaVine,,,,,,,,,,,,,,,,,,,,SG,27.3
Jake Layman,,,,,,,,,,,,,,,,,,,,SF,4.6
T.J. Leaf,,,,,,,,,,,,,,,,,,,,PF,8.7
Courtney Lee,,,,,,,,,,,,,,,,,,,,SG,30.4
Damion Lee,,,,,,,,,,,,,,,,,,,,SG,26.9
Walt Lemon,,,,,,,,,,,,,,,,,,,,PG,7.0
Kawhi Leonard,,,,,,,,,,,,,,,,,,,,SF,23.3
Meyers Leonard,,,,,,,,,,,,,,,,,,,,C,7.7
Jon Leuer,,,,,,,,,,,,,,,,,,,,PF,17.0
Caris LeVert,,,,,,,,,,,,,,,,,,,,SF,26.3
DeAndre Liggins,,,,,,,,,,,,,,,,,,,,SG,12.5
DeAndre Liggins,,,,,,,,,,,,,,,,,,,,SG,15.5
DeAndre Liggins,,,,,,,,,,,,,,,,,,,,SG,9.0
Damian Lillard,,,,,,,,,,,,,,,,,,,,PG,36.6
Jeremy Lin,,,,,,,,,,,,,,,,,,,,PG,25.0
Shaun Livingston,,,,,,,,,,,,,,,,,,,,PG,15.9
Kevon Looney,,,,,,,,,,,,,,,,,,,,C,13.8
Brook Lopez,,,,,,,,,,,,,,,,,,,,C,23.4
Robin Lopez,,,,,,,,,,,,,,,,,,,,C,26.4
Kevin Love,,,,,,,,,,,,,,,,,,,,C,28.0
Kyle Lowry,,,,,,,,,,,,,,,,,,,,PG,32.2
Timothe Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,SF,15.5
Tyler Lydon,,,,,,,,,,,,,,,,,,,,PF,2.0
Trey Lyles,,,,,,,,,,,,,,,,,,,,PF,19.1
Shelvin Mack,,,,,,,,,,,,,,,,,,,,PG,19.8
Josh Magette,,,,,,,,,,,,,,,,,,,,PG,12.0
Ian Mahinmi,,,,,,,,,,,,,,,,,,,,C,14.9
Thon Maker,,,,,,,,,,,,,,,,,,,,C,16.7
Lauri Markkanen,,,,,,,,,,,,,,,,,,,,PF,29.7
Jarell Martin,,,,,,,,,,,,,,,,,,,,PF,22.8
Frank Mason,,,,,,,,,,,,,,,,,,,,PG,18.9
Mangok Mathiang,,,,,,,,,,,,,,,,,,,,C,5.0
Wesley Matthews,,,,,,,,,,,,,,,,,,,,SF,33.8
Luc Mbah a Moute,,,,,,,,,,,,,,,,,,,,PF,25.6
James Michael McAdoo,,,,,,,,,,,,,,,,,,,,PF,6.0
Patrick McCaw,,,,,,,,,,,,,,,,,,,,SG,16.9
CJ McCollum,,,,,,,,,,,,,,,,,,,,SG,36.1
T.J. McConnell,,,,,,,,,,,,,,,,,,,,PG,22.4
Erik McCree,,,,,,,,,,,,,,,,,,,,SF,2.0
Chris McCullough,,,,,,,,,,,,,,,,,,,,PF,4.7
Doug McDermott,,,,,,,,,,,,,,,,,,,,SF,21.8
Doug McDermott,,,,,,,,,,,,,,,,,,,,SF,21.3
Doug McDermott,,,,,,,,,,,,,,,,,,,,SF,22.9
JaVale McGee,,,,,,,,,,,,,,,,,,,,C,9.5
Rodney McGruder,,,,,,,,,,,,,,,,,,,,SG,16.6
Trey McKinney-Jones,,,,,,,,,,,,,,,,,,,,SG,1.0
Josh McRoberts,,,,,,,,,,,,,,,,,,,,PF,3.0
Jodie Meeks,,,,,,,,,,,,,,,,,,,,SG,14.5
Salah Mejri,,,,,,,,,,,,,,,,,,,,C,12.0
Jordan Mickey,,,,,,,,,,,,,,,,,,,,PF,12.3
Khris Middleton,,,,,,,,,,,,,,,,,,,,SF,36.4
C.J. Miles,,,,,,,,,,,,,,,,,,,,SF,19.1
Darius Miller,,,,,,,,,,,,,,,,,,,,SF,23.7
Malcolm Miller,,,,,,,,,,,,,,,,,,,,SF,8.4
Patty Mills,,,,,,,,,,,,,,,,,,,,PG,25.7
Paul Millsap,,,,,,,,,,,,,,,,,,,,PF,30.1
Nikola Mirotic,,,,,,,,,,,,,,,,,,,,PF,27.2
Nikola Mirotic,,,,,,,,,,,,,,,,,,,,PF,24.9
Nikola Mirotic,,,,,,,,,,,,,,,,,,,,PF,29.1
Donovan Mitchell,,,,,,,,,,,,,,,,,,,,SG,33.4
Naz Mitrou-Long,,,,,,,,,,,,,,,,,,,,SG,1.0
Malik Monk,,,,,,,,,,,,,,,,,,,,SG,13.6
Greg Monroe,,,,,,,,,,,,,,,,,,,,C,20.4
Greg Monroe,,,,,,,,,,,,,,,,,,,,C,15.8
Greg Monroe,,,,,,,,,,,,,,,,,,,,C,23.3
Greg Monroe,,,,,,,,,,,,,,,,,,,,C,19.1
Luis Montero,,,,,,,,,,,,,,,,,,,,SG,4.0
Ben Moore,,,,,,,,,,,,,,,,,,,,PF,4.5
E'Twaun Moore,,,,,,,,,,,,,,,,,,,,SG,31.5
Eric Moreland,,,,,,,,,,,,,,,,,,,,PF,12.0
Jaylen Morris,,,,,,,,,,,,,,,,,,,,SG,16.3
Marcus Morris,,,,,,,,,,,,,,,,,,,,PF,26.8
Markieff Morris,,,,,,,,,,,,,,,,,,,,PF,27.0
Monte Morris,,,,,,,,,,,,,,,,,,,,PG,8.3
Johnathan Motley,,,,,,,,,,,,,,,,,,,,PF,16.0
Timofey Mozgov,,,,,,,,,,,,,,,,,,,,C,11.6
Emmanuel Mudiay,,,,,,,,,,,,,,,,,,,,PG,19.5
Emmanuel Mudiay,,,,,,,,,,,,,,,,,,,,PG,17.9
Emmanuel Mudiay,,,,,,,,,,,,,,,,,,,,PG,22.4
Shabazz Muhammad,,,,,,,,,,,,,,,,,,,,SF-SG,9.7
Shabazz Muhammad,,,,,,,,,,,,,,,,,,,,SF,9.4
Shabazz Muhammad,,,,,,,,,,,,,,,,,,,,SG,10.6
Xavier Munford,,,,,,,,,,,,,,,,,,,,SG,3.5
Dejounte Murray,,,,,,,,,,,,,,,,,,,,PG,21.5
Jamal Murray,,,,,,,,,,,,,,,,,,,,PG,31.7
Mike Muscala,,,,,,,,,,,,,,,,,,,,C,20.0
Larry Nance,,,,,,,,,,,,,,,,,,,,C,21.5
Larry Nance,,,,,,,,,,,,,,,,,,,,C,22.0
Larry Nance,,,,,,,,,,,,,,,,,,,,C,20.8
Shabazz Napier,,,,,,,,,,,,,,,,,,,,PG,20.7
Jameer Nelson,,,,,,,,,,,,,,,,,,,,PG,20.3
Jameer Nelson,,,,,,,,,,,,,,,,,,,,PG,20.9
Jameer Nelson,,,,,,,,,,,,,,,,,,,,PG,16.6
Raul Neto,,,,,,,,,,,,,,,,,,,,PG,12.1
Georges Niang,,,,,,,,,,,,,,,,,,,,PF,3.6
Joakim Noah,,,,,,,,,,,,,,,,,,,,C,5.7
Nerlens Noel,,,,,,,,,,,,,,,,,,,,C,15.7
Lucas Nogueira,,,,,,,,,,,,,,,,,,,,C,8.5
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,C,24.7
Frank Ntilikina,,,,,,,,,,,,,,,,,,,,PG,21.9
Jusuf Nurkic,,,,,,,,,,,,,,,,,,,,C,26.4
David Nwaba,,,,,,,,,,,,,,,,,,,,SG,23.5
Johnny O'Bryant,,,,,,,,,,,,,,,,,,,,PF,10.5
Royce O'Neale,,,,,,,,,,,,,,,,,,,,SF,16.7
Kyle O'Quinn,,,,,,,,,,,,,,,,,,,,C,18.0
Semi Ojeleye,,,,,,,,,,,,,,,,,,,,PF,15.8
Emeka Okafor,,,,,,,,,,,,,,,,,,,,C,13.6
Jahlil Okafor,,,,,,,,,,,,,,,,,,,,C,12.6
Jahlil Okafor,,,,,,,,,,,,,,,,,,,,C,12.5
Jahlil Okafor,,,,,,,,,,,,,,,,,,,,C,12.6
Victor Oladipo,,,,,,,,,,,,,,,,,,,,SG,34.0
Kelly Olynyk,,,,,,,,,,,,,,,,,,,,PF,23.4
Chinanu Onuaku,,,,,,,,,,,,,,,,,,,,C,22.0
Cedi Osman,,,,,,,,,,,,,,,,,,,,SF,11.0
Kelly Oubre,,,,,,,,,,,,,,,,,,,,SF,27.5
Zaza Pachulia,,,,,,,,,,,,,,,,,,,,C,14.1
Marcus Paige,,,,,,,,,,,,,,,,,,,,PG,5.6
Georgios Papagiannis,,,,,,,,,,,,,,,,,,,,C,7.2
Georgios Papagiannis,,,,,,,,,,,,,,,,,,,,C,7.4
Georgios Papagiannis,,,,,,,,,,,,,,,,,,,,C,4.0
Jabari Parker,,,,,,,,,,,,,,,,,,,,PF,24.0
Tony Parker,,,,,,,,,,,,,,,,,,,,PG,19.5
Chandler Parsons,,,,,,,,,,,,,,,,,,,,SF,19.2
Patrick Patterson,,,,,,,,,,,,,,,,,,,,PF,15.5
Justin Patton,,,,,,,,,,,,,,,,,,,,C,4.0
Brandon Paul,,,,,,,,,,,,,,,,,,,,SG,9.0
Chris Paul,,,,,,,,,,,,,,,,,,,,PG,31.8
Adreian Payne,,,,,,,,,,,,,,,,,,,,PF,8.6
Cameron Payne,,,,,,,,,,,,,,,,,,,,PG,23.3
Elfrid Payton,,,,,,,,,,,,,,,,,,,,PG,28.7
Elfrid Payton,,,,,,,,,,,,,,,,,,,,PG,28.6
Elfrid Payton,,,,,,,,,,,,,,,,,,,,PG,29.0
Gary Payton,,,,,,,,,,,,,,,,,,,,PG,9.6
Gary Payton,,,,,,,,,,,,,,,,,,,,PG,8.8
Gary Payton,,,,,,,,,,,,,,,,,,,,PG,10.5
Kendrick Perkins,,,,,,,,,,,,,,,,,,,,C,15.0
London Perrantes,,,,,,,,,,,,,,,,,,,,PG,4.7
Alec Peters,,,,,,,,,,,,,,,,,,,,PF,11.3
Marshall Plumlee,,,,,,,,,,,,,,,,,,,,C,6.5
Mason Plumlee,,,,,,,,,,,,,,,,,,,,C,19.4
Miles Plumlee,,,,,,,,,,,,,,,,,,,,C,16.7
Jakob Poeltl,,,,,,,,,,,,,,,,,,,,C,18.6
Quincy Pondexter,,,,,,,,,,,,,,,,,,,,SF,8.5
Otto Porter,,,,,,,,,,,,,,,,,,,,SF,31.6
Kristaps Porzingis,,,,,,,,,,,,,,,,,,,,PF,32.4
Dwight Powell,,,,,,,,,,,,,,,,,,,,C,21.2
Norman Powell,,,,,,,,,,,,,,,,,,,,SG,15.2
Jacob Pullen,,,,,,,,,,,,,,,,,,,,PG,2.0
Rodney Purvis,,,,,,,,,,,,,,,,,,,,SG,18.1
Zhou Qi,,,,,,,,,,,,,,,,,,,,C,6.9
Tim Quarterman,,,,,,,,,,,,,,,,,,,,SG,4.3
Ivan Rabb,,,,,,,,,,,,,,,,,,,,PF,14.3
Julius Randle,,,,,,,,,,,,,,,,,,,,C,26.7
Zach Randolph,,,,,,,,,,,,,,,,,,,,PF,25.6
Xavier Rathan-Mayes,,,,,,,,,,,,,,,,,,,,SG,23.6
J.J. Redick,,,,,,,,,,,,,,,,,,,,SG,30.2
Davon Reed,,,,,,,,,,,,,,,,,,,,SG,11.5
Willie Reed,,,,,,,,,,,,,,,,,,,,C,10.2
Willie Reed,,,,,,,,,,,,,,,,,,,,C,10.7
Willie Reed,,,,,,,,,,,,,,,,,,,,C,3.0
Josh Richardson,,,,,,,,,,,,,,,,,,,,SF,33.2
Malachi Richardson,,,,,,,,,,,,,,,,,,,,SG,12.5
Malachi Richardson,,,,,,,,,,,,,,,,,,,,SG,12.8
Malachi Richardson,,,,,,,,,,,,,,,,,,,,SG,5.0
Andre Roberson,,,,,,,,,,,,,,,,,,,,SG,26.6
Devin Robinson,,,,,,,,,,,,,,,,,,,,SF,13.0
Glenn Robinson,,,,,,,,,,,,,,,,,,,,SF,14.7
Rajon Rondo,,,,,,,,,,,,,,,,,,,,PG,26.2
Derrick Rose,,,,,,,,,,,,,,,,,,,,PG,16.8
Derrick Rose,,,,,,,,,,,,,,,,,,,,PG,19.3
Derrick Rose,,,,,,,,,,,,,,,,,,,,PG,12.4
Terrence Ross,,,,,,,,,,,,,,,,,,,,SG,25.0
Terry Rozier,,,,,,,,,,,,,,,,,,,,PG,25.9
Ricky Rubio,,,,,,,,,,,,,,,,,,,,PG,29.3
D'Angelo Russell,,,,,,,,,,,,,,,,,,,,PG,25.7
Domantas Sabonis,,,,,,,,,,,,,,,,,,,,C,24.5
JaKarr Sampson,,,,,,,,,,,,,,,,,,,,SF,15.6
Dario Saric,,,,,,,,,,,,,,,,,,,,PF,29.6
Tomas Satoransky,,,,,,,,,,,,,,,,,,,,SG,22.5
Dennis Schroder,,,,,,,,,,,,,,,,,,,,PG,31.0
Mike Scott,,,,,,,,,,,,,,,,,,,,PF,18.5
Thabo Sefolosha,,,,,,,,,,,,,,,,,,,,SF,21.2
Wayne Selden,,,,,,,,,,,,,,,,,,,,SG,19.8
Ramon Sessions,,,,,,,,,,,,,,,,,,,,PG,14.0
Ramon Sessions,,,,,,,,,,,,,,,,,,,,PG,12.8
Ramon Sessions,,,,,,,,,,,,,,,,,,,,PG,15.0
Iman Shumpert,,,,,,,,,,,,,,,,,,,,SG,19.7
Pascal Siakam,,,,,,,,,,,,,,,,,,,,PF,20.7
Xavier Silas,,,,,,,,,,,,,,,,,,,,SG,3.5
Jonathon Simmons,,,,,,,,,,,,,,,,,,,,SG,29.4
Kobi Simmons,,,,,,,,,,,,,,,,,,,,PG,20.1
Kyle Singler,,,,,,,,,,,,,,,,,,,,SF,4.9
Marcus Smart,,,,,,,,,,,,,,,,,,,,SG,29.9
Dennis Smith,,,,,,,,,,,,,,,,,,,,PG,29.7
Ish Smith,,,,,,,,,,,,,,,,,,,,PG,24.9
J.R. Smith,,,,,,,,,,,,,,,,,,,,SG,28.1
Jason Smith,,,,,,,,,,,,,,,,,,,,C,8.6
Josh Smith,,,,,,,,,,,,,,,,,,,,PF,4.0
Tony Snell,,,,,,,,,,,,,,,,,,,,SG,27.4
Marreese Speights,,,,,,,,,,,,,,,,,,,,C,13.0
Nik Stauskas,,,,,,,,,,,,,,,,,,,,SG,12.8
Nik Stauskas,,,,,,,,,,,,,,,,,,,,SG,7.5
Nik Stauskas,,,,,,,,,,,,,,,,,,,,SG,13.7
Lance Stephenson,,,,,,,,,,,,,,,,,,,,SG,22.6
David Stockton,,,,,,,,,,,,,,,,,,,,PG,3.0
Julyan Stone,,,,,,,,,,,,,,,,,,,,SG,7.6
Edmond Sumner,,,,,,,,,,,,,,,,,,,,PG,2.0
Caleb Swanigan,,,,,,,,,,,,,,,,,,,,PF,7.0
Jayson Tatum,,,,,,,,,,,,,,,,,,,,SF,30.5
Isaiah Taylor,,,,,,,,,,,,,,,,,,,,PG,17.4
Jeff Teague,,,,,,,,,,,,,,,,,,,,PG,33.0
Marquis Teague,,,,,,,,,,,,,,,,,,,,PG,24.7
Mirza Teletovic,,,,,,,,,,,,,,,,,,,,PF,15.9
Garrett Temple,,,,,,,,,,,,,,,,,,,,SG,24.8
Milos Teodosic,,,,,,,,,,,,,,,,,,,,PG,25.2
Jason Terry,,,,,,,,,,,,,,,,,,,,SG,16.0
Daniel Theis,,,,,,,,,,,,,,,,,,,,C,14.9
Isaiah Thomas,,,,,,,,,,,,,,,,,,,,PG,26.9
Isaiah Thomas,,,,,,,,,,,,,,,,,,,,PG,27.1
Isaiah Thomas,,,,,,,,,,,,,,,,,,,,PG,26.8
Lance Thomas,,,,,,,,,,,,,,,,,,,,PF,18.5
Klay Thompson,,,,,,,,,,,,,,,,,,,,SG,34.3
Tristan Thompson,,,,,,,,,,,,,,,,,,,,C,20.2
Sindarius Thornwell,,,,,,,,,,,,,,,,,,,,SG,15.8
Karl-Anthony Towns,,,,,,,,,,,,,,,,,,,,C,35.6
P.J. Tucker,,,,,,,,,,,,,,,,,,,,PF,27.8
Evan Turner,,,,,,,,,,,,,,,,,,,,SF,25.7
Myles Turner,,,,,,,,,,,,,,,,,,,,C,28.2
Ekpe Udoh,,,,,,,,,,,,,,,,,,,,C,12.9
Tyler Ulis,,,,,,,,,,,,,,,,,,,,PG,23.4
Jonas Valanciunas,,,,,,,,,,,,,,,,,,,,C,22.4
Denzel Valentine,,,,,,,,,,,,,,,,,,,,SG,27.2
Fred VanVleet,,,,,,,,,,,,,,,,,,,,PG,20.0
Rashad Vaughn,,,,,,,,,,,,,,,,,,,,SG,7.6
Rashad Vaughn,,,,,,,,,,,,,,,,,,,,SG,7.9
Rashad Vaughn,,,,,,,,,,,,,,,,,,,,SG,4.0
Rashad Vaughn,,,,,,,,,,,,,,,,,,,,SG,7.0
Noah Vonleh,,,,,,,,,,,,,,,,,,,,PF,16.2
Noah Vonleh,,,,,,,,,,,,,,,,,,,,PF,14.4
Noah Vonleh,,,,,,,,,,,,,,,,,,,,PF,19.0
Nikola Vucevic,,,,,,,,,,,,,,,,,,,,C,29.5
Dwyane Wade,,,,,,,,,,,,,,,,,,,,SG,22.9
Dwyane Wade,,,,,,,,,,,,,,,,,,,,SG,23.2
Dwyane Wade,,,,,,,,,,,,,,,,,,,,SG,22.2
Dion Waiters,,,,,,,,,,,,,,,,,,,,SG,30.6
Kemba Walker,,,,,,,,,,,,,,,,,,,,PG,34.2
John Wall,,,,,,,,,,,,,,,,,,,,PG,34.4
Tyrone Wallace,,,,,,,,,,,,,,,,,,,,PG,28.4
Taurean Waller-Prince,,,,,,,,,,,,,,,,,,,,SF,30.0
Derrick Walton,,,,,,,,,,,,,,,,,,,,PG,9.2
Jameel Warney,,,,,,,,,,,,,,,,,,,,PF,9.0
T.J. Warren,,,,,,,,,,,,,,,,,,,,SF,33.0
Travis Wear,,,,,,,,,,,,,,,,,,,,SF,13.4
James Webb,,,,,,,,,,,,,,,,,,,,SF,12.0
Briante Weber,,,,,,,,,,,,,,,,,,,,PG,13.2
Briante Weber,,,,,,,,,,,,,,,,,,,,PG,9.1
Briante Weber,,,,,,,,,,,,,,,,,,,,PG,23.8
David West,,,,,,,,,,,,,,,,,,,,C,13.7
Russell Westbrook,,,,,,,,,,,,,,,,,,,,PG,36.4
Andrew White,,,,,,,,,,,,,,,,,,,,SF,13.9
Derrick White,,,,,,,,,,,,,,,,,,,,PG,8.2
Okaro White,,,,,,,,,,,,,,,,,,,,PF,13.3
Isaiah Whitehead,,,,,,,,,,,,,,,,,,,,PG,11.3
Hassan Whiteside,,,,,,,,,,,,,,,,,,,,C,25.3
Jacob Wiley,,,,,,,,,,,,,,,,,,,,PF,6.6
Damien Wilkins,,,,,,,,,,,,,,,,,,,,SF,8.0
C.J. Williams,,,,,,,,,,,,,,,,,,,,SG,18.6
Derrick Williams,,,,,,,,,,,,,,,,,,,,PF,4.5
Lou Williams,,,,,,,,,,,,,,,,,,,,SG,32.8
Marvin Williams,,,,,,,,,,,,,,,,,,,,PF,25.7
Matt Williams,,,,,,,,,,,,,,,,,,,,SG,3.7
Troy Williams,,,,,,,,,,,,,,,,,,,,SF,14.6
Troy Williams,,,,,,,,,,,,,,,,,,,,SF,4.3
Troy Williams,,,,,,,,,,,,,,,,,,,,SF,17.1
D.J. Wilson,,,,,,,,,,,,,,,,,,,,PF,3.2
Jamil Wilson,,,,,,,,,,,,,,,,,,,,SF,18.3
Justise Winslow,,,,,,,,,,,,,,,,,,,,PF,24.7
Jeff Withey,,,,,,,,,,,,,,,,,,,,C,4.3
Nate Wolters,,,,,,,,,,,,,,,,,,,,PG,3.8
Brandan Wright,,,,,,,,,,,,,,,,,,,,PF,13.6
Brandan Wright,,,,,,,,,,,,,,,,,,,,PF,13.6
Brandan Wright,,,,,,,,,,,,,,,,,,,,PF,15.0
Delon Wright,,,,,,,,,,,,,,,,,,,,PG,20.8
Guerschon Yabusele,,,,,,,,,,,,,,,,,,,,PF,7.1
James Young,,,,,,,,,,,,,,,,,,,,SG,10.2
Joe Young,,,,,,,,,,,,,,,,,,,,PG,10.5
Nick Young,,,,,,,,,,,,,,,,,,,,SG,17.4
Thaddeus Young,,,,,,,,,,,,,,,,,,,,PF,32.2
Cody Zeller,,,,,,,,,,,,,,,,,,,,C,19.0
Tyler Zeller,,,,,,,,,,,,,,,,,,,,C,16.8
Tyler Zeller,,,,,,,,,,,,,,,,,,,,C,16.7
Tyler Zeller,,,,,,,,,,,,,,,,,,,,C,16.9
Paul Zipser,,,,,,,,,,,,,,,,,,,,SF,15.3
Ivica Zubac,,,,,,,,,,,,,,,,,,,,C,9.5
